text,cluster,cluster_corrected
ll.lVlÈla-E,0.0,
BELLE ll.lVlÈla-E,0.0,
Berger,1.0,
ger,1.0,
Ger,1.0,
",- i",1.0,
Bergen,1.0,
nil-ant,2.0,
Posant,2.0,
Devant,2.0,
soixante— dix—,2.0,
santa,2.0,
Quantà,2.0,
eﬁenti—,3.0,
senti—,3.0,
conti—,3.0,
gentils—,3.0,
bâti—,3.0,
serpentine,3.0,
"Ge gentilhomme,_je l’avais",3.0,
d’Or,4.0,
Hameau d’Or,4.0,
Rainèau- d’Or,4.0,
aimais,5.0,
deuimaitns,5.0,
Maisâtez,5.0,
mais‘avais des ordres,5.0,
aimez—,5.0,
L1V-,6.0,
L1v,6.0,
L1V—,6.0,
jura,7.0,
Jura,7.0,
baie des Marmousets,8.0,
baie d’Hudson,8.0,
cap des Monts-Pelés,8.0,
Rameau-d'Or,9.0,
Rameau-,9.0,
a1r‘étantRameau-d Or,9.0,
Rameau-d’Or,9.0,
Hameau,9.0,
Rameau- d‘01,9.0,
Québec,10.0,
Québec permet—,10.0,
sulÏvoquée,10.0,
remet—,10.0,
comtesse de Maleval‘l,11.0,
châtelaine de Maleval,11.0,
comtesse de Maleval,11.0,
comtesse de Malek,11.0,
comtesse de Melvalle,11.0,
Grigny,12.0,
baron de Grigny,12.0,
Gr1gny,12.0,
Carignan,12.0,
Grigny qu’,12.0,
Accidenté,13.0,
Occident,13.0,
Pouvez-,14.0,
couver—,14.0,
souvenez-vons-enl,14.0,
Sauvez-le,14.0,
"pasa‘1""lume1",15.0,
alluma,15.0,
Pas,15.0,
but1e,16.0,
"r',enc0t1e",16.0,
aut1es,16.0,
———-:--—.-—-,17.0,
.-—.-,17.0,
verai,18.0,
bivouaquerai,18.0,
garderai,18.0,
abuserai,18.0,
fort n’,19.0,
4 N’,19.0,
fort Rupert,19.0,
Formé,19.0,
fort honnêtes,19.0,
eﬁ”ort suprême,19.0,
É confortable,19.0,
exag—;pérée,20.0,
exag—,20.0,
ache—,21.0,
achar—,21.0,
détache—,21.0,
Le sachem,21.0,
s’abat,22.0,
aban—,22.0,
s’arrêta,22.0,
s’appuyer,22.0,
J'ai,22.0,
amou—,23.0,
amour—,23.0,
connais—,24.0,
nais—,24.0,
conna—,24.0,
"conna—
rescence",24.0,
anna,24.0,
