text,cluster,cluster_corrected
Garde-les,0,
gars Denis,0,
Savoyard,0,
queue-leu-leu,0,
Avez,1,
Comprenez,1,
Venez,1,
Relevez,1,
colonne Vendôme,1,
Agréez,2,
Désirée,2,
Bérénice,2,
Sois,3,
MOISSON,3,
Bonsoir,3,
buis,3,
Voilà,3,
calme-toi,3,
Médor,4,
Nord,4,
Norine,4,
Sortez,4,
du Nord,4,
Or,4,
Charité,5,
Clarisse,5,
B,5,
Paris,5,
Palais-Royal,5,
Parisien,5,
parigot,5,
Parisiens,5,
Morlincourt,6,
Écoutez,6,
Morlinval,6,
pré Brugnon,7,
couvent Brugnon,7,
Toinon,7,
Où,8,
Poulains,8,
Pour,8,
Tournez,8,
Pourvu,8,
Tour,8,
boursicaut,8,
franciers,9,
la France,9,
Alger,9,
Franciers,9,
Céran,9,
de France,9,
Cellier,9,
bras-le-corps,10,
As-tu,10,
Sens-tu,10,
Hommes-sans-Têtes,10,
T'arrêteras-tu,10,
Crois-tu,10,
Allez,11,
Auriez,11,
Riez,11,
brin,11,
Chacun,12,
Tâche,12,
Crachez,12,
Cachez,12,
Manot,13,
Armandine,13,
Dizy,13,
Vermand,13,
Maman,13,
Jean-Claude,14,
Bonnets,14,
Jeanneton,14,
Jeacquet,14,
petiote,15,
Frotte,15,
Bassette,15,
Favette,15,
Basset,15,
Faut,16,
Pauvre,16,
pau,16,
J'ai,17,
SOUHAITS,17,
J',17,
Rose,18,
V',18,
réserve de monsieur,18,
réserve de la Rose,18,
réserve des furolles,18,
Carrière-Fondue,19,
Saint-Brunelle,19,
Votre,19,
Le soleil,19,
cabaretière de Saint-Brunelle,19,
État,20,
mitan-côte,20,
Artaban,20,
Satané,20,
Bien,21,
Reviendront,21,
Retiens,21,
Tiens,21,
Malicieuse,22,
couseuses,22,
Vénus,22,
Vierge,23,
Vieux,23,
fieux,23,
VI,23,
FRUCTUEUX,23,
répondez,24,
Craintifs,24,
Sylvain,24,
Adonc,24,
Monte,24,
gouaillant,24,
Saint-Quentin,24,
fontaine Sainte-Radegonde,24,
Devinez,25,
Devise,25,
Las,26,
Sitôt,26,
Cassiopée,26,
Assis,26,
Perpétue,27,
Lambin,27,
Habile,27,
per labia,27,
