text,cluster,cluster_corrected
Plymouth,0,
"South
America",0,
plymouth,0,
Portsmouth,0,
Truth,0,
z7,0,
Thou,0,
N-7,0,
Italy,1,
Nota,1,
Alberta,1,
Wales,1,
eNgland,2,
Highland,2,
Leander,2,
Glamorgan,2,
england,2,
Ireland,2,
England,2,
Finland,2,
Old England,2,
"MIster
Perey",3,
Perc,3,
merced,3,
Percy,3,
eUrope,3,
iNdia,4,
ain,4,
INDIA,4,
FInding,4,
India,4,
Edinburgh,4,
continued--,5,
belmont,5,
dElmont,5,
Adelaide,5,
Delmont,5,
Emeline,6,
Emmeliue,6,
Fmmeline,6,
Lmmcline,6,
Providence,7,
Prove-,7,
Sweden,7,
Benevolence,7,
Ill,8,
Ill.,8,
lille,8,
sicily,8,
LL,8,
Grill,8,
x--,9,
"childhood,--and",9,
chile,9,
HO3E,9,
kEm.,10,
kEm,10,
Pembroke,10,
Emm,10,
LOndon,11,
Seldon Grange,11,
hong,11,
lOndon,11,
Ellon,11,
London,11,
herlong,11,
Greville Manor,12,
manns,12,
Groeville,12,
"Groevillc
Manor",12,
Grerille Manor,12,
1ALLIANCE.,13,
Aeliag,13,
israel,13,
Elizabethan,13,
lleaen,14,
Ellen,14,
L-l,14,
el,14,
Helen,14,
but1,15,
butte,15,
it1,15,
Forteseue,16,
Oxford,16,
fort,16,
New York,16,
myrtle,16,
MIlford,16,
Ecuador,16,
Lord County,16,
North,16,
Fortcscuc,16,
"itself,-MOrton",16,
comfort,16,
Mlr.,17,
Mlr,17,
&c.,18,
slc,18,
kc.,18,
Germany,19,
ny,19,
Ny,19,
Mars,20,
MImma,20,
Barbary,20,
Denmark,20,
Komodo,21,
morro,21,
mo,21,
moment''-she,21,
Esq,22,
heston,22,
Weston,22,
Torrington,22,
Ashburton,22,
Atlantic,23,
Scotland,23,
Maitland,23,
Caithness,23,
Mlaitland,23,
MIaitland,23,
Shetland,23,
Lina,24,
Caroline,24,
Carolina,24,
Gaol,24,
Md,25,
md,25,
cHAPTER XIII,26,
YiId,26,
IIis,26,
IIownrd,26,
MIrs.,27,
MIrs,27,
NIrs,27,
Ileaven,28,
Icnven,28,
INvent,28,
I1TE,29,
Easter,29,
Exeter,29,
exeter,29,
MR,30,
Mre,30,
FoIE,31,
FoIE IPLUEOE,31,
FoIE INFLUENCE,31,
FoIE 1FLUENCE,31,
INFlUENCE,31,
LUENCE,31,
FOiE IYTEULENCE,31,
Io INPILCENCE,31,
BOarding,32,
Elward,32,
Elwnrd,32,
l Edward,32,
bDevonshire,33,
Yorkshire,33,
ns awful,33,
Devonshire,33,
niece,34,
deceit,34,
Milan,35,
anl,35,
Llangwillan,35,
Ilangillan,35,
Latin 1',36,
Lady,36,
LA,36,
wasa,37,
Hasty,37,
hapy,37,
has4,37,
ROME,38,
Faroe,38,
acros,38,
Meroe,38,
Feroc,38,
Berry Pomeroy,38,
Cheltenham,39,
Grahame,39,
Grnhame,39,
Lakewood Park,40,
Oakwool,40,
Lakewood,40,
Swansea,41,
PEACE,41,
the Sea ucen,41,
Speak,41,
"the Sea
Green",41,
Seneca,41,
seoul,41,
Sea,41,
Earth,41,
Sambre,42,
Samboe,42,
yon orient,43,
rico,43,
Algiers,43,
lIes,43,
ERIE,43,
Moorlunds,44,
the Faroe Islands,44,
Mloorlnnds,44,
Moorlands,44,
Mloorlands,44,
Haywood,45,
HArris,45,
Lockwood,45,
Lynwood,45,
Dogwood,45,
Norwood,45,
Harcourt,45,
Harwood,45,
