text,cluster,cluster_corrected
marehanderai,0,
VWatan,0,
veines,0,
blmer,0,
"pltisirquae
iai",0,
petitl,0,
vnie,0,
tetel,0,
PAIII,0,
mnains,0,
mereie,0,
rendtt,0,
En0,0,
Nunnatta,0,
nuho,0,
n6anne,1,
ER,0,
Issoudun,0,
Iout,0,
d6sola,0,
djh,0,
meuniere,0,
Grand-Ai,0,
foire proehaine,0,
e,0,
pise de terre,0,
Apres,0,
Nunnetto,1,
e',0,
Bourges,0,
Junne,1,
mhmeIBANKR VYtVE,0,
sane uger,0,
mets-toi,0,
rin,0,
n6,0,
tomhee,0,
Lin nisu,0,
asans,0,
Maman,0,
Ormenux,0,
dshir6,0,
TU,0,
farae do,0,
mbr Nannette,1,
Faut.n,0,
moiti6,0,
vollh,0,
oui80,0,
gehns,0,
iinnutp votshar entse,0,
voulao,0,
S,0,
Iixiar,0,
suf-JEANNR EPOLB EP MInE.,1,
hoir,0,
"mbre
Nannetto",1,
cumphre,0,
troes,0,
tto,0,
Comment dane,0,
Muitra,0,
auprh,0,
PANTIk,0,
s3EANN,1,
bl6,0,
tout6 do,0,
port6,0,
uo,0,
iut,0,
etle poreher,0,
fortPRMIIRRE,0,
rssouree,0,
Jeannel,1,
bAtir,0,
Ormeuux,0,
h Diu,0,
joyeu,0,
frthos,0,
G,0,
aendurantae,0,
Margue-,0,
murut,0,
loanno,1,
entendro,0,
EER,0,
oinquanta,0,
.'Geeseeeeee,0,
Et0I,0,
honnos,0,
Ieanne,1,
psisso,0,
therine,0,
''L,0,
jy,0,
raegut,0,
pus,0,
Iu eompagnio,0,
Io,0,
repondre,0,
luil,0,
io,0,
klle,0,
gaeho,0,
aid6,0,
orue,0,
mattr Tixior,0,
chbnevibre,0,
mero,0,
s6-,0,
J6-,0,
o6t6,0,
quelguo,0,
"I
E",0,
eNviee,0,
lanne,1,
Par-,0,
IL0ISIkME,0,
Etienne,0,
Gatharine,0,
Diaeu,0,
ku pasaunt,0,
Issouimn,0,
caeher,0,
Jasphino,0,
fmllleg,0,
mattresss,0,
Narie,0,
II,0,
Fois,0,
Hlal,0,
lepre,0,
Isure,0,
maiaon,0,
aprbes,0,
provins,0,
ourRIEMIR,0,
hargbr,0,
sart,0,
d6fendu,0,
Ir6chauderiel,0,
granle,0,
Guilluume,0,
Tes,0,
vtie,0,
"Sainte-S-
Ange",0,
"au-
troes",0,
lean Jusserand,0,
Saint-Jean,0,
faisais,0,
tta hussa at la,0,
y-,0,
Sylvain,0,
Touches,0,
EllE,0,
ILaA,0,
Nannottat,1,
Muarguerito,0,
ille anit ikee dei,0,
Catherina,0,
Louiso,0,
pya-eit,0,
t80,0,
Autre,0,
eerivit,0,
"mbre
Nannette",1,
toi,0,
ah,0,
Commae,0,
eir,0,
Or6,0,
Combin,0,
Notre Pere,0,
"E

E",0,
lDieu,0,
Ionis,0,
eprgnee,0,
terrOB,0,
psgnsee,0,
N,0,
viwreP,0,
lespsi,0,
Isanre,0,
or6f,0,
Cala,0,
"charit6 d
lua mbre Nunnetta",1,
maisen,0,
ellae,0,
Haues-loehes,0,
