text,cluster,cluster_corrected
Exijo,-1,
Í,-1,
"rua das
Flores",-1,
Tenho,-1,
Pedir,-1,
Freixo,-1,
Pozeram-me,-1,
balbuciou elle,-1,
És,-1,
Guiné,-1,
Verduras,-1,
Marino Faliero,-1,
Fortunato,-1,
velleidades,-1,
ná,-1,
scismava,-1,
gv,-1,
même,-1,
Carriça,-1,
nossa atmosphera,-1,
tojeiras,-1,
"XXHI

DIPLOMACIA DO CORAÇÃO",-1,
"as-
tros",-1,
Hespanha,-1,
Bonito,-1,
Parva,-1,
Rire-,-1,
INGLEZA,-1,
"fi
lha",-1,
"es
cassa luz",-1,
bella de bel-,-1,
v,-1,
cancella,-1,
Pois,-1,
Bosnia,-1,
— Talvez,-1,
deyo,-1,
lucta,-1,
Estranham-me,-1,
Amaryllida,-1,
L,-1,
Helas,-1,
Ea,-1,
d'essa,-1,
Gonçalo,-1,
Volga,-1,
Rasgue-a,-1,
Chegaram,-1,
Crimeia,-1,
Ailicec,-1,
Bass,-1,
Yess,-1,
Fiambre,-1,
vigilia,-1,
gingerbeer,-1,
despenseira,-1,
Lembrou-lhe,-1,
Sume-te,-1,
sussurra,-1,
"aquella pos
bre",-1,
Abrahão,-1,
pi,-1,
Mostarda... Queijo,-1,
preponderancia,-1,
bom retiro,-1,
Vão com Deus,-1,
saír d'aquelle,-1,
Ir,-1,
Fecha,-1,
Cumpre-me,-1,
"Jei

XXVII",-1,
attracção,-1,
trouxe-m'os,-1,
"passára
alli",-1,
Bu,-1,
resonar,-1,
Salve-me,-1,
Sem-,-1,
Berenice,-1,
cg,-1,
Iamparina,-1,
taboa,-1,
Bispo,-1,
Córou,-1,
Gargantua,-1,
Tempestad,-1,
go,-1,
Precisei,-1,
Virginia,-1,
"ras
zão",-1,
SYMPTOMAS,-1,
Bata-,-1,
Whis,-1,
Erieiza,-1,
ceremonia,-1,
Tableau,-1,
adquiri,-1,
Duvido,-1,
gosar della,-1,
affectuosa,-1,
defeza,-1,
Vôo,-1,
io,-1,
Sim,-1,
dopoá,-1,
biscuit,-1,
dillerença,-1,
hymno da Carta,-1,
Myste-,-1,
Leio-o,-1,
Biblia,-1,
Marianna,-1,
Supponho,-1,
Jecturar,-1,
Chico da Lousã,-1,
proxima,-1,
Batamos,-1,
Ingle-,-1,
vislum+,-1,
Pôz,-1,
Meus,-1,
Kate,-1,
brochura,-1,
