text,cluster,cluster_corrected
fc,-1,
mur,-1,
m’,-1,
lemé repn‘t,-1,
Uninsœnt,-1,
hurle—,-1,
croyais,-1,
Aﬁnée,-1,
"VI

OUT le Jour“ je pensai",-1,
"40 MARIE—CLAIRE

La cloche du coucher",-1,
Es-tu malade {,-1,
Miroir,-1,
"MARIE—CLAIRE 123

j'avais",-1,
Est—ce,-1,
rensei—,-1,
Voulez,-1,
æsayai,-1,
Toi,-1,
tempes,-1,
Elk www,-1,
num—,-1,
La grosse cuillère,-1,
IO MARIE—CLAIRE,-1,
Ele,-1,
"MARIE—CLAIRE 2 I

e 'e'",-1,
remarquai,-1,
qu’,-1,
trem—,-1,
ourhis,-1,
bles,-1,
Qudquæ-unænæe,-1,
Dfaçon,-1,
serais,-1,
Vin,-1,
dugmæ,-1,
I 2 MARIE—CLAIRE,-1,
voulais,-1,
ca chœœ,-1,
toutmtm,-1,
horpmos,-1,
"æsayai‘
de m 'approcher de lui",-1,
MARIE—CLAIRE 101,-1,
Tireli,-1,
venaisde,-1,
I 22,-1,
dimi—,-1,
de—,-1,
100 MARIE—CLAIRE,-1,
marchais,-1,
quan—,-1,
é101gna,-1,
landiers;il,-1,
connais—,-1,
"Colette€

—- Ie",-1,
E,0,
I,0,
M,0,
"«,-_-",0,
mägréungﬂnd,1,
Bﬂcmät,1,
L,2,
q]e,2,
t’,2,
mxtæ,2,
C’,2,
É,2,
!,2,
I',2,
.:;‘J,2,
Ê-,2,
d’,2,
—:-‘,2,
.-—v,3,
m”.-$‘.wæw-&,3,
i’,4,
A,4,
j’,4,
Rome,5,
dome,5,
Sologne,6,
Sologne.ll,6,
n’,7,
Te Deum,7,
porte n’,7,
IO,8,
Næsrzﬂioæàlæ=,8,
Bel—Œil,9,
brassa,9,
Bel-Œil,9,
ñuﬂnlnnil,10,
Ils’,10,
s’,10,
üyadægædæmæpoæra—,11,
Tunesäspeut,11,
Tunesäspeut—ê@epæqu’üyadægædæmæpoæra—,11,
château du Gué Perdu,12,
"Gué
Per u.

La petite rivière",12,
Gué Perdu,12,
Iesecouai,13,
bæucoup,13,
aussi—,14,
Aussitôt,14,
Aussi—,14,
des-Anges,15,
Désirée-des-Anges,15,
dési—,15,
Désirée—des-Anges,15,
Anges,15,
Nous l’,16,
eus l’,16,
l’,17,
L’,17,
A l’,18,
e l’,18,
je l’,18,
agenouülée,19,
engage—,19,
la terre,20,
terre,20,
"…-

w.—.—u—-",21,
.—.—.___‘4-4 4,21,
._,22,
._.kn__.,22,
Enﬁn,23,
Ahñnﬁpæditpadenœetseœdt‘eæaendiæﬂ,23,
ﬁnis,24,
T‘Ta‘r‘r,24,
brindülæ,25,
é—,25,
indiffé—,25,
réﬂéchir,26,
Chicon,26,
réchauﬁer,27,
chauﬁer,27,
créa—,28,
a—,28,
"Mﬂh=,mua—,—-",28,
sépa—,28,
m‘as,29,
Pas,29,
mam,30,
"É

66 mam",30,
nam,30,
mam—,30,
"am 87

fe",30,
long—,31,
Allons,31,
AVﬁS,32,
largœ,32,
arrê—,32,
lavé,32,
santa,33,
Santons,33,
Psadzxyt,34,
sa_ns,34,
de France,35,
conﬁance,35,
puriﬁer,35,
conﬁer,35,
Tirande,35,
funﬁer,35,
Bibiche m’,36,
Bibiche,36,
Châtaigniers,37,
châtaignieis,37,
ger,38,
lingerie,38,
inﬂiger,38,
mars—,39,
lors—,39,
traînéæ transparents,40,
traî—,40,
"traî—
nant",40,
entralna,40,
heur—,41,
l’heure,41,
peure—,41,
labou—,42,
Gaboret,42,
Pourquoi as-tu,43,
Pourt‘aﬁt,43,
Ismétie,44,
Ismérie,44,
Ism&ie,44,
Ismé-,44,
aœut,45,
buta,45,
nart(1,46,
Martine,46,
Augustine,46,
Ma1tine,46,
chmæithcbaæondelîæu,47,
bonds,47,
Communs,47,
nourri—,48,
tournai,48,
nour—,48,
tour—,48,
bour—,48,
Journée,48,
intri—,49,
expri—,49,
Maintenant,50,
enten—,50,
atten—,50,
auberge du,51,
Vierge,51,
bergüe€,51,
eniamber,51,
Saint-Ian,52,
Saint-Jean,52,
La Saint-Jean,52,
se-berçaitz,53,
Va,53,
décro—,53,
Évait,53,
Ien',54,
Combien,54,
bien—,54,
Ie',54,
Tiens,54,
vnie,55,
Méanie,55,
Mélanie,55,
Méla-,55,
laSainte Table,56,
Saintes Huiles,56,
Sainte-Montagne,57,
Sainte—Montagne,57,
.—œ_—=-o—,58,
Co—,58,
aküus‘,59,
pous—,59,
Rouge,59,
brus—,59,
trouvais,59,
trous—,59,
trou—,59,
réveil—,60,
Le soleil,60,
leil,60,
répon—,61,
annon—,61,
comptais,62,
comparai,62,
reietais,62,
Iosentais,62,
Venez,63,
"sene_u‘ssæ,‘h",63,
reﬂet,64,
Eﬂerua,64,
SO,65,
so—,65,
voﬂà,65,
So—,65,
Paris,66,
Parfois,66,
Vois,67,
Sois,67,
Deslois,67,
Prends,68,
reve—,68,
repren—,68,
vre,68,
pres—,69,
Quelquefois,69,
Quelque,69,
ﬁque,69,
ques—,69,
Quelquefoîs,69,
Aucun,70,
onne,70,
tulle,71,
Vülevieille,71,
Villevieüle,71,
Villevieﬂle,71,
Castille,71,
Villevieille,71,
Vﬂlevieille,71,
Ville-,71,
MARIE-CLAIRE,72,
notre Marie-Claire,72,
.ne,73,
dix—neuf,73,
Eugène,73,
Jaune,74,
qu‘au,74,
qu‘une,74,
puiselle,75,
qu‘elle,75,
poche;elle,75,
hruis—,76,
buis,76,
cher—,77,
Cache,77,
beaulis blanc,78,
manche,78,
beau—,78,
Blanche,78,
blan—,78,
la Blanche,78,
appar—,79,
regar—,79,
appré—,80,
approchai,80,
apprxs,80,
appro—,80,
Appuyez,80,
rappelez—,81,
Iappe,81,
Marie-Aimée,82,
Marie—Aimée,82,
Aimée,82,
Laisse,83,
Fais,83,
laissais,83,
lais—,83,
Aimêe,84,
i ’aimais,84,
MARIE—CLAIRE,85,
Marie—Claire,85,
48 MARIE—CLAIRE,86,
8 MARIE—CLAIRE,86,
