text,cluster,cluster_corrected
Villers-Cotterets,0,
cerele,0,
Villeroi,0,
Villers-Cotierets,0,
P,0,
ais,1,
Roï,1,
haissa,1,
Cossé,1,
TR,1,
Jaquais,1,
Que veux-tu,2,
Que veux,2,
Que veux-tu dire,2,
ae Ven nae,2,
Ja-,2,
Là Huit,2,
Quincy,2,
château d’Anizy,3,
Ansizy-le-Châtel,3,
Anizy figura,3,
château de Sissone,3,
"château d'Haï-
val",3,
Anizy,3,
Rhin,3,
château d'Anizy,3,
"Sis-
I",4,
Imsensée,4,
Dis-moi,4,
Sis-,4,
I,5,
Aniy,5,
ÉCLIPSÉ,5,
d’,5,
gagen,5,
Anisy,5,
guérie,6,
Céries,6,
Moyenbrie,6,
homrie,6,
Paris,7,
Pardonnez,7,
pareïls,7,
Croïx-Blanche,8,
Cherche,8,
Argus,8,
Cherchez,8,
f63,8,
Coréy,8,
Tâchez,8,
Rochetort,8,
Dédaigné,9,
gie,9,
Grignan,9,
Pignerol,9,
t’,9,
Craignez,9,
Maintenant,10,
Terre-Sainte,10,
Celte,10,
Lafarre,10,
Corcy,10,
la Terre-Sainte,10,
Ilen,10,
Interrogez-les,10,
La Journée,11,
Bourgogne,11,
Pour-,11,
h LL,11,
la Ga-,11,
Ursulines,12,
Ursulines de Laon,12,
couvent des Ursulines,12,
Adien,13,
Bohémiens,13,
ladie,13,
St Madame,14,
Madarïe,14,
"P

—",14,
cé,14,
Mada-,14,
RL,14,
quellesil,15,
Tcielle,15,
Ellé,15,
sès,15,
crièreni-elles,15,
Gabrielle,15,
Avez,15,
Est-elle,15,
J,15,
Ilaura,16,
jura,16,
Jauraient,16,
Is,16,
lune,17,
Lejeune,17,
AÀ,18,
Bussy-La-,18,
La-,18,
Bussy-Lameth,18,
Bussy,18,
MM.,18,
Bussy-Laméth,18,
ef,19,
assassm,19,
Passionnément,19,
Pas,19,
Absolument,19,
Ramasse,19,
Ÿ.,19,
LT Pas,19,
Cy,20,
Lambertremit,20,
Fêtre,20,
Faut,20,
Votre,20,
sou,20,
Quatre,20,
étre,20,
moiselle de la Vallière,21,
"49

Vallière",21,
Vallière,21,
La Vallière,21,
baïlli,21,
la Vallière,21,
Singulière,21,
Derrière,21,
