text,cluster,cluster_corrected
Wyandotte,0,
HYDE PARK,0,
Hamburg,0,
oie Highlands,0,
Granada,0,
Haliburton,0,
"Saint
James's-square",0,
LONDON,0,
Amelia,0,
Bavaria,0,
Cinq Mars,0,
Kensington,0,
Scotland,0,
fort,0,
Old London,0,
Southwark,0,
London,0,
Achilles,0,
Highlands,0,
Beaufort,0,
King-street,0,
France,0,
Pelham,0,
England,0,
Washington,0,
The Inland Sea,0,
Paradiso,0,
Oak Openings,0,
Harvey,0,
Santa Maria,0,
Billington,0,
the Black Dwarf,0,
London Stone,0,
Mark,0,
Kenilworth,0,
Charles,0,
Charing,0,
Grinding,0,
Thames,0,
Wellington,0,
Hyde Park,0,
Mars,0,
Calabria,0,
Grafton,0,
Warsaw,0,
Strand,0,
Whitefriars,0,
Marion,0,
Waltham,0,
Park,0,
ANTIQUARIES,0,
Abingdon,0,
Farquhar,0,
Park-street,0,
Marked,0,
Ovingdean Grange,0,
Nottingham,0,
Inn-lane,0,
Paris,0,
metheglin,1,
Venice,1,
ROME,1,
Perth,1,
Aldgate,1,
Field,1,
Belvoir,1,
Hermetic,1,
Regent,1,
Rookwood,1,
ROUTLEDGE,1,
HESSE,1,
Santa,1,
Lammermoor,1,
c.g.,1,
Montrose,1,
Nigel,1,
South-,1,
Italy,1,
Midlothian,1,
O’Brien,1,
Minus,1,
Florida,1,
Mackintoshes,1,
Munster Festivals,1,
Title,1,
Tlosiage,1,
penetralia,1,
AINSWORTH,1,
St. James’ss,1,
Old Bailey,1,
"St.
George’s",1,
Bacon,1,
Wakefield,1,
Clara,1,
Unleash,1,
Zoroaster,1,
Turk,1,
Whitehall,1,
Jun.,1,
Pompeii,1,
Chico,1,
L. EL.,1,
W.H.,1,
Wintry,1,
f—-,1,
Sea,1,
Morse,1,
Vol,1,
Bivouac,1,
laurel,1,
Steel Plates,1,
Curzon,1,
master’ll,1,
Dryden,1,
St. Peter,1,
scaly sea-monster,1,
Mississippi,1,
Leicestershire,1,
Routledge,1,
ER,1,
ROSICRUCIAN,1,
NEW YORK,1,
JT,1,
Canterbury,1,
crowne,1,
"you,—‘Ll",1,
FITTS,1,
Damocles,1,
Vignettes,1,
Jaden,1,
Watts,1,
UK,1,
Packet,1,
New Type,1,
Cornhill,1,
Ivanhoe,1,
Quebec,1,
Godolphin,1,
Blenheim,1,
Tn,1,
china,1,
Rome,1,
Lothbury,1,
Beaumont,1,
STATUE,1,
Stowe,1,
Rougemont,1,
nearest kinsman,1,
Richmond,1,
Seto,1,
Rienzi,1,
Zanni,1,
Havre,1,
Spain,1,
Westminster,1,
Emm,1,
DR,1,
Forest Days,1,
Antwerp,1,
Cardiff,1,
Fexh,1,
scagliola,1,
Phantom Ship,1,
Inn,1,
Woodstock,1,
Byron,1,
’s,1,
Wort,1,
anon,1,
Fra,1,
Xp 1/6,1,
Sea Lions,1,
Eastcheap,1,
Sheridan,1,
Isle of Skye,1,
River,1,
Albany,1,
Tasso,1,
Japhet inSearchofaFather,1,
Olla Florida,1,
F. C.,1,
in’t,1,
Ostend,1,
Cesar Borgia,1,
Saint,1,
Bastille,1,
bds.,1,
Fairfax,1,
Finsbury,1,
Portrait,1,
Forum,1,
Serpentine,1,
Thou,1,
Lowell,1,
Diary,1,
America,1,
Waterloo,1,
Holbein,1,
TX,1,
Colours,1,
Stepney-green,1,
Cristiano,1,
AURIOL,1,
sepulchre,1,
Lyndhurst,1,
8vo,1,
verde,1,
Peak,1,
Pictures,1,
EDWARDS,1,
Burbot,1,
Temple-bar,1,
Millbank,1,
Elba,1,
25th Regiment,1,
Ww,1,
Monsieur Violet,1,
gaborone,1,
Oxford,1,
Los Moratorium,1,
KronuEIM,1,
Reeks,1,
Drury,1,
Vanbrugh,1,
Donated,1,
thou,1,
vol,1,
Boscobel,1,
Swan,1,
Ve're,1,
Rotterdam,1,
IL,1,
Isfahan,1,
"Queen
Elizabeth’s time",1,
Beatitudes,1,
St.,1,
Fields,1,
Elia,1,
Trigce,1,
Satan,1,
the Alabama,1,
"Hollywood Es
Hall",1,
Loftus,1,
Author,1,
