text,cluster,cluster_corrected
Marie-Aimee,0,
Soeur Marie-Aimee,0,
Marie-Aimee lavit,0,
Paris,0,
Seur Marie-Aimee,0,
Vin,0,
Douze,0,
Narie-Aimee,0,
Maie-Aimee,0,
arie-Aimee,0,
"II
IIIIIII
YA",0,
ger,0,
Eile,1,
Bel-Eil,1,
exiles,1,
le soleil,1,
II,1,
MARIE-CLAIRB,2,
notre Marie-Claire,2,
1 I1MARIE-CLAIRB,2,
piece,2,
So-,2,
"1 I1MARIE-CLAIRB
noire",2,
laMARIE-CLAIRB,2,
Marie-Claire,2,
Mlanie,3,
F,3,
Melanie,3,
grosse Mlanie,3,
grosse Melanie,3,
Noel,3,
I',3,
G,3,
Mla-,3,
refectoire,4,
leuse,4,
soiree,4,
Tireli,4,
laSainte,5,
Saintes Huiles,5,
Maintenant,5,
IM,5,
Sainte-Montagne,5,
ainsi.r,5,
Josai,5,
S,5,
manche,6,
la Blanche,6,
la manche,6,
YL,6,
Blanche,6,
de France,6,
bobo,7,
Rvelle-to,7,
Gabrielle,7,
"II

S",7,
poche;elle,7,
Elle ajiouta,7,
Es,8,
servantel,8,
Texpliquai,8,
ecroula,8,
A,8,
luisantsde,8,
Tn iour,9,
fourrai,9,
lasserl,10,
passee,10,
serree,10,
M,11,
Tirande,11,
e,11,
grace,12,
1'afne,12,
violacee,12,
lacai,12,
rS,12,
IlIi,13,
allee des chataigniers,13,
chataignier,13,
z=,13,
Ioo,13,
chitaigniers,13,
S5,14,
Allonsl,14,
Sautons,14,
allees,14,
M.Alphonse,14,
alluma,14,
Sois,15,
ri Deslois,15,
Parfois,15,
Deslois,15,
fievre,15,
foins,15,
Dansces,16,
arrete,16,
tournai la tete,16,
"ma
tete",16,
tetes,16,
tete,16,
jetee,16,
Mattre,17,
etais tres inquiete,17,
bruyeres tres hautes,17,
bruyeres,17,
"I
R",17,
Ad2le,17,
Pas tres,17,
I,18,
Castille,18,
Orgueilleuse,18,
poele,18,
reveillon,18,
Villevieille,18,
Ville-,18,
ILl,18,
"vieille
Bibiche",18,
tilleuls,18,
c6te,19,
miens,19,
Mlle Maximilienne,19,
Combien,19,
U,20,
voila Henri,20,
Saint-Iean,20,
fete de la Saint-ean,20,
La Saint-Iean,20,
Saint-ean,20,
"P S
P or",20,
chateau du Gue Perdu,21,
Gue Perdu,21,
"Gue
Perdu",21,
FE,22,
etaissre,22,
prikre,22,
guettais,22,
Jetais,22,
etais,22,
ca,22,
repetais,22,
etais glacee,22,
ler,22,
Seur Maie,23,
Lse,23,
Seur,23,
"IlIi
I",23,
noux,23,
Saeur,23,
-L,23,
lingerie,24,
superieure,24,
Ismrie,24,
Ismerie,24,
moitie,24,
obeir,25,
Apres,25,
pre Chicon,25,
pre,25,
Chicon,25,
vecu,25,
E,25,
Sur Desiree-des-Anges,26,
nuages.a6,26,
hesita,26,
Seur Dsiree-des-Anges,26,
es-,26,
Madeleine,26,
Desiree-des-Anges,26,
Seur Desiree-des-Anges,26,
Desire-des-Anges,26,
accrochee,27,
cheminee,27,
Cache,27,
precher,27,
Merci,27,
Bibiche,27,
bcheron,27,
pimbeche,27,
gagea,28,
Communs,28,
NSJ,28,
prte,28,
ar-,28,
Quelque,29,
Vronique,29,
Quelquefois,29,
Veronique,29,
Paques,29,
J',29,
Eugkne,30,
logne,30,
Eugene,30,
Sologne,30,
Eugne,30,
voyais,31,
.'avais,31,
baissee,31,
Malgre,31,
Javais,31,
aimais,31,
barriere de peupliers,32,
Vierge,32,
buis,32,
W,32,
.Hier,32,
Tes,33,
Chemineau la Bete,33,
bete,33,
Augustine,33,
betes,33,
Table,34,
champs de ble,34,
Rome,34,
champ de ble,34,
Agathe,35,
