text,cluster,cluster_corrected
"Morte-
na",-1,
Silencio,-1,
EM1,-1,
Ia,-1,
PA,-1,
Santo Amoroso,-1,
Dobrara,-1,
amizade.-,-1,
Faz-me,-1,
Vomite,-1,
pAra,-1,
Parece-me,-1,
Traste,-1,
Tenho,-1,
Ca,-1,
"Miseric6rdia,-e",-1,
grata de Deus,-1,
Dois,-1,
Mulher,-1,
"Amaro:- Ouea
voce",-1,
Quere-me,-1,
Leia Gravatas,-1,
Estamos,-1,
Nossa Senhora das Dores,-1,
patrio Godinho,-1,
Chocalhe,-1,
rua da Misericordia,-1,
Campos Delirio,-1,
mara,-1,
Pacatinlo,-1,
Caput,-1,
boa dicta,-1,
Sio,-1,
leos,-1,
cachoar,-1,
botica,-1,
Tome,-1,
"Deus
Gorda",-1,
provotu,-1,
beatas ramada,-1,
Grata,-1,
E1,-1,
Ses,-1,
Persevere,-1,
Senhora Carlotal,-1,
Nantes,-1,
pORTO Do PADRE,-1,
Terra-Nova,-1,
Civilizacao...,-1,
Martyres,-1,
Nossa Senhora da Visitacao,-1,
Come-,-1,
Preparos,-1,
Te,-1,
Godinha,-1,
Aos-,-1,
ciencias nova,-1,
Ihes,-1,
Ldestruicao,-1,
Qual-fez,-1,
Ponte,-1,
tectos baixos do curral,-1,
Certissimo,-1,
Ovidio-,-1,
Sao,-1,
UCRI3E D0 AEIE,-1,
Santar,-1,
Rg.3,-1,
Caminhante,-1,
Josefal,-1,
"s7
n noITE o  DE A T",-1,
I11,-1,
Diga,-1,
Pel,-1,
Obrigada,-1,
"Nossa Senhora
S. Vicente",-1,
Outono,-1,
Nlgas,-1,
"Africa
a91",-1,
Populares,-1,
Novaisitos,-1,
Parto da Santa Virgem,-1,
guarda-sOis,-1,
Chiquital,-1,
Ae,-1,
Seculo,-1,
Imaginava,-1,
mana,-1,
velha,-1,
Insensivel,-1,
Exultante Domino,-1,
Abafava,-1,
Esfregava,-1,
Una,-1,
revelagcoes,-1,
AUXILIo,-1,
Bonito,-1,
Ignorava,-1,
I87l,-1,
ores,-1,
Opp,-1,
N6s,-1,
braga,-1,
Caramba,-1,
Conhecia-a,-1,
Voltava,-1,
