text,cluster,cluster_corrected
Cetie,0,
tenay,0,
Jemais,0,
"VII

  
 
 
 
 
 
    

Henri de Fontenay",0,
Sèvres,0,
Philivpe,0,
J’,0,
Lucile,0,
Es,0,
Quelqu,0,
Vosges,0,
EF,0,
tersps,0,
26À,0,
Assise,0,
Hollande,0,
Rs,0,
cher,0,
Ïl,0,
Madäime,0,
au’,0,
fit-eile,0,
Courbée,0,
Suisse,0,
manche,0,
Los Rs,0,
perse,0,
Ee,0,
tenaÿy,0,
Âlors,0,
cetle,0,
®,0,
Phi-,0,
Peffort,0,
Égypte,0,
Collège de Frar,0,
Dépuis,0,
ñn’,0,
Louvre,0,
mettant,0,
Tyrol,0,
Clichy,0,
Elseneur,0,
aVetses-,0,
Agrigente,0,
Îes,0,
Pallée,0,
"la
Seine bleue",0,
Montez,0,
vigne,0,
Chantez,0,
l'Espagne,0,
pre=.,0,
Pun,0,
Jorsqu,0,
E Henri,0,
LE,0,
de Saxe,0,
jusqu’,0,
ia,0,
Eile,0,
Michelet,0,
mar-,0,
Marsan,0,
du Louvre,0,
Laisse,0,
lapre,0,
Fonteray,0,
Ÿ zor,0,
CR,0,
Curieuse,0,
BR,0,
État,0,
SC,0,
bouscula,0,
l'Oise,0,
AT,0,
Fe,0,
Anglais,0,
Alsace,0,
J'ai,0,
Säbine,0,
Veux-,0,
Parme,0,
.:+,0,
mer d’Azow,0,
joiie,0,
m'’aimais,0,
Î,0,
Eiie,0,
É,0,
corime,0,
Espagne,0,
Ellé,0,
Soupirs,0,
Roïée,0,
Jui,0,
He,0,
Où,0,
ravie,0,
Naf,0,
Tolède,0,
Cousin,0,
Pologne,0,
Di,0,
"togue

È",0,
coinpacte corime,0,
Rozée,0,
iäis,0,
Docteur,0,
Cest,0,
aimais,0,
Saint-Cloud,0,
jais,0,
Pomone,0,
Bruyères,0,
Buiné,0,
Dauphiné,0,
|eoup,0,
Is,0,
Leurs,0,
le soleil,0,
Dominique,0,
rue de Tournon,0,
deFontenay,0,
Anatolie,0,
Pheure,0,
He la D.,0,
conñu,0,
Gravures,0,
Mélancolie,0,
Ponte,0,
lune,0,
"rue madame
Forbier",0,
Partez,0,
Dre,0,
Régent,0,
colombes,0,
Eten,0,
Genève,0,
Suresnes,0,
Be,0,
jardin des Vosges,0,
Obstinée,0,
Fäbieñ Mauri,0,
Quelquefois,0,
Jours,0,
feuillage du Luxembourg,0,
abandoñnér,0,
Rous-,0,
Rome,0,
l'Italie,0,
l’,0,
Manuscrits,0,
y.,0,
au-,0,
Cordoue,0,
fl+,0,
sälon,0,
rs,0,
Les,0,
curinie,0,
Fa,0,
| cher,0,
Ferney,0,
Trocadéro,0,
Voix,0,
rue de l'Ancienne-Comédié,0,
fes,0,
ef,0,
lesoir,0,
Rouen,0,
Au-,0,
d’,0,
F,0,
Forbier,0,
Mèke,0,
la Seine,0,
la pierre,0,
Lausanne,0,
Loire,0,
Bois,0,
niérée,0,
ensembie de,0,
Jolie,0,
Fontenay,0,
Remontée,0,
Atlas,0,
I,0,
Gênes,0,
fächerie,0,
lu,0,
Fheauté,0,
alluma,0,
Mossoul,0,
wagon,0,
Journées,0,
E,0,
Asie Mineure,0,
Piérre,0,
Luxembourg,0,
"vinigt-trois

2",0,
affirmait}.,0,
lüi,0,
bruni,0,
Îles jours,0,
Dété,0,
toisie,0,
moüstache,0,
"rue Jean-
Bart",0,
t’,0,
voudrais,0,
la manche,0,
rue de,0,
maine,0,
Pas,0,
II,0,
Menacée,0,
Jouissait,0,
jéune,0,
kB,0,
CU,0,
Re Îles,0,
b4,0,
de France,0,
æ Où,0,
Naples,0,
massif de myosotis,0,
Bois de Boulogne,0,
VI,0,
crainie,0,
main,0,
Île,0,
"Ï
L",0,
Passy,0,
Berlin,0,
Rose,0,
Märie,0,
Auf,0,
Rentrée,0,
mMéna-,0,
j’,0,
point voluptueuse,0,
sca,0,
Touraine,0,
LC,0,
froïd,0,
château des Bruyères,0,
"vent

Î",0,
mouvanies,0,
d'Italie,0,
RER,0,
Ferney qu’,0,
voyäge,0,
Œ,0,
Corinthe,0,
Jean-Jacques,0,
Pour-,0,
soleil,0,
Ca,0,
Ë,0,
