text,cluster,cluster_corrected
alle,0,
alluma,0,
Flle,0,
Be,0,
élle,0,
Allemagne,0,
b,0,
lle,0,
au Havre,1,
rivige,1,
du Havre,1,
e Havre,1,
le Havre,1,
collège du Havre,1,
1 Havre,1,
Dè,1,
rue du Havre,1,
sais-tu,2,
sais,2,
Sais-tu,2,
Verneuil,3,
S,3,
sernaiñes,3,
hameau de Verneuil,3,
IS,3,
on.se,3,
rêver,3,
alaternes,3,
m’,3,
Es,4,
Iles s’,4,
Blesséos,4,
Ileutmème,4,
Ca,4,
Te,4,
Ile,4,
Ilne,4,
Les,4,
Fa,4,
Iles,4,
Toüt,5,
He,5,
Réponds,6,
Répondez,6,
P,7,
Étre,7,
"sa-
ns",7,
Ajaccio,7,
Étretat,7,
étremoral,7,
2 Li,8,
jusqu’,8,
bosquet,8,
Lomme,8,
qu’,8,
Coco,8,
Océan jusqu’,8,
squ,8,
Yport,9,
Ltorturée,9,
droïte,9,
| Yport,9,
Jambes,9,
Évaporée,9,
Dis,9,
J,9,
ferme d’Életot,10,
Fe di,10,
Lys,10,
ÿ Xi,10,
àvec,10,
Fans,10,
ôrmes,10,
ucune,11,
Ci,11,
Juï,11,
lune,11,
ieau,12,
EH,12,
yme,12,
mon-beau-frère,12,
rémonie,12,
Madère,12,
Ts,12,
Tai,13,
Niolo,13,
Ma-,13,
Capitaine,13,
Était-,13,
Jardin,14,
Lac,14,
R,14,
el,14,
aipardonna,14,
Saint-Léonard,14,
uillon,15,
taillis dépouillés,15,
ILON,15,
F7,15,
habitué,15,
Couillon,15,
venirs,16,
Étouvent,16,
"couvent

de Versailles",16,
trouves-tu,16,
Chambre-aux-Demoiselles,17,
moiselle de la Roche-Aubert,17,
Ellé,17,
Elle,17,
Religion,17,
jeta,17,
Ôt,17,
Ellerentrait,17,
Puiselle,17,
tonnelle,17,
Elle-s’,17,
Ellesse,17,
"|

- Elle",17,
fille;Elle,17,
L’,17,
Éternelle,17,
javelle,17,
rs-,18,
Damas,18,
amazone,18,
rome,18,
ner son amazone,18,
ajones,18,
vallon sauvage d'Ota,19,
"rue
Sauvage",19,
rue du Sauvage,19,
t’,19,
"Rue

Dès",19,
tanda’,20,
iand,20,
Hollande,20,
uand,20,
crois,21,
Croquerat,21,
Quelquefois,21,
Crott,21,
Savez,22,
Faven-,22,
Avez,22,
s’,22,
LS,22,
seulavec,22,
N'ai-je,22,
ournée,23,
lJulién,23,
Bourse,23,
Dour,23,
Etil,23,
Four-,23,
Four,23,
Pourriez-,23,
el hourrue,23,
Livourne,23,
GO Gp,23,
Fer,24,
z0n€,24,
nu-bras,24,
Ïl,24,
Rouen,25,
d2,26,
CE,26,
ublée,26,
gônflée,26,
qü’,26,
Sitôt,26,
mélée,26,
halées,26,
rs,27,
Piana,27,
Cana,27,
d’,27,
Le,28,
ge,28,
I,28,
Gela,28,
Ju-,28,
poür,28,
Ro-,28,
S’,28,
"ruis-

HU seau",29,
Roi-Louis,29,
buis,29,
us,29,
t-luis,29,
Leperthuis,29,
Naples,30,
Grèce,30,
Péuples,30,
Penples,30,
recut,31,
Ilécrivit,31,
Crisange,31,
vert-de-gris,31,
crispé,31,
Cri-,31,
sesavoir,31,
Sacristi,31,
Sacré-Cœur,32,
bois bruni,32,
Sace,32,
Rosalie,33,
artit,33,
kB,33,
t Rosalie,33,
d'Italie,33,
Italie,33,
Vaucotte,34,
tricotani,34,
bécota,34,
Picot,34,
estan,34,
Le soleil,35,
le soleil,35,
soleil,35,
D S,35,
Côte,36,
Mé-,36,
reparue,36,
Rue,36,
Paris,36,
valetsen,37,
Val,37,
val d'Ota,37,
dévala,37,
e’,37,
eval,37,
BA,37,
val,37,
"air
du Val",37,
val d’Ota,37,
Reminil,38,
UT,38,
Remontée,38,
Cany,38,
trembier,38,
Ilsne,39,
"| |

Hauts",39,
Bonsoir,39,
Là-haut,39,
Autrefois,39,
i,39,
rs-accourait,40,
"courant d' air
du porche",40,
Coursil,40,
jura,40,
Coutelier,41,
Coup,41,
caoutchoues,41,
Écoutez,41,
Comptez,41,
souleva,42,
fa-,42,
Poulet,42,
Voulez,42,
Paulet,42,
j’,42,
piéds;. Poulet,42,
Haït,43,
Tolbiac,43,
Bolbec,43,
bé Tolbiac,43,
au-,43,
A84,43,
ES,43,
Océan,44,
Jeanné,44,
EtJeannes’,44,
éanne,44,
Jeinne,44,
nne,44,
pau,44,
Fe,44,
Jéanne,44,
noblésse,45,
Lés,45,
V’,45,
ed’,45,
Ou,46,
Jui,46,
M'sieu,46,
obséquieux,46,
Hieux,46,
Qué,46,
deuxijouts,46,
Bastia,47,
Lastique,47,
Afrique,47,
Amérique,47,
L'Amérique,47,
l'Afrique,47,
s’as-,47,
Normand,48,
Mira,48,
Normandie,48,
Hôtel de Normandie,48,
Normande,48,
"hôtel de

Normandie",48,
Sobrés,48,
pides,48,
É,49,
Tassit,49,
s’assoupir,49,
Sou-,49,
LAS,50,
Las,50,
Ur,50,
F,50,
Æt,50,
Lisan,51,
Lise,51,
Évisa,51,
phare de Fécamp,52,
la Jampe,52,
Camp,52,
Fécamp,52,
Mâdame,53,
Î,53,
Notre-Dame du Gros-Ventre,53,
Mädame,53,
Pyrame,53,
Corse,54,
A comtesse,54,
La Corse,54,
t-la Corse,54,
mer par-dessus,55,
"HE 3

La mer immobile",55,
mer r bleu À,55,
m'’aimer,55,
mer invisible,55,
"É
3 Æ",55,
Vauds,55,
J1,56,
cueillie,56,
Vrilleite,56,
Marseille,56,
Greilles,56,
lille,56,
d’aiguille,56,
ieille,56,
Vrillette,56,
ille,56,
-.Je',56,
ongeur,57,
Lison,57,
sson,57,
Songe,57,
Sonna,57,
Adélaïde,57,
Lest.partout,58,
Lu,58,
utou,58,
toujoürs,58,
Ils’,59,
pays qu’,59,
"pays de
L tout parsemée",59,
golfe de Sagone,59,
D,59,
pays de Caux,59,
Pas de lune,59,
Pontet,60,
mont Riboudet,60,
tont,60,
Midi,60,
Tongs,60,
Fr bornme,61,
Mornes,61,
ns,61,
"el
morne",61,
lu,61,
surfabeno,62,
Brise-,62,
Surprise,62,
un',63,
Barbes,63,
barôn,63,
Le.baron,63,
haron,63,
"ba-
ron",63,
ÏS,64,
"Tue
oo Mais ta mère n’",64,
Ée,64,
aimais,64,
éotnme,64,
ER,64,
maison,64,
P'Angle-,65,
champagne,65,
Enchaînée,65,
changée,65,
heuressans,66,
Ieures,66,
Impureté,66,
Lheure,66,
heurta,66,
serrure,66,
Eure,66,
Gette,67,
Batteviile,67,
Batte-,67,
galo,67,
Gao,68,
l’,68,
cher,69,
Corniche,69,
naie,69,
Gouche,69,
ler,69,
pôche,69,
la manche,69,
"bouche
erté",69,
anca,70,
s‘blancs.-,70,
Thysbé,70,
riseville,71,
Varneville,71,
Briseville,71,
gare de Beuzeville,71,
Batteville,71,
Beuzeville,71,
Brisseville,71,
Cargèse,72,
comtesse Gilberte,72,
Ù,72,
Gilberte,72,
Alber-,72,
|,73,
RRO A,73,
E,73,
Trois-Mares,74,
Londres,74,
Sèvres,74,
Apôtres,74,
"Co |

Dè rares",74,
ls,75,
Sainte-Hélène,75,
hümains,75,
La plaine,75,
Soudain,75,
dain,75,
mariez-les,76,
près-midi,76,
Quittez-le,76,
moi,76,
Mèlez-,76,
apportez-les-moi,76,
Cité,76,
Îles,77,
Île s’,77,
c0chér,77,
Île,77,
.$eS,78,
lign,78,
mignonne,78,
Mignonne,78,
cntra,79,
sapins,79,
entru,79,
Fourville,80,
Barville,80,
terre de Barville,80,
Goderville,80,
Courville,80,
Ÿ,81,
v’'la,81,
Cuitaux,81,
LH nuit,81,
A,81,
Angleterre,82,
s’exalter,82,
la-Méditerranée,82,
quiéter,82,
Méditerranée,82,
terre,82,
perret,82,
ogne,83,
Voix,83,
"col
fl",83,
Cigogne,83,
Cologne,83,
cognac,83,
sen,84,
jous-r’,84,
lsblouse,84,
Vouset,84,
"Er
Etlentement",85,
itemps,85,
s’'augmentent,85,
émus,85,
emps,85,
entemps,85,
honteuse,86,
pothes,86,
dormeuse,86,
"Écu-
meuse",86,
Béelzébuth,86,
meuse,86,
Lo,86,
la France,87,
sance,87,
U— Plus,87,
France,87,
franchit,87,
L{ran,87,
Er,88,
È,88,
la Seine,89,
Romäines,89,
eleis,89,
Athènes,89,
Madeleines,89,
maïns,90,
ca,90,
Goder-,90,
Voyez,90,
