text,cluster,cluster_corrected
aulgrienne,0,
du Nord,0,
beux-rts,0,
Toscane,0,
Madeleine,0,
camlias,0,
got,0,
d6bordes  o,0,
Qui?n,0,
Clerc,0,
Combien,0,
Plilias,0,
rue Saint-Martin,0,
sphre de la salle,0,
quin,0,
Imince,0,
t0t. n,0,
ger,0,
Conference,0,
Irayeur,0,
brune,0,
jurisconsulle,0,
rue de Valois,0,
Californie,0,
"Mlme de
taiel",0,
oque,0,
vagabondge,0,
Celles,0,
dinant,0,
coipagnie,0,
ganse du chapeau,0,
Halles,0,
Iarchander,0,
nuvre,0,
bal des Tuileries,0,
ypes,0,
Iois,0,
A Bray,0,
navre,0,
Iiciance de Napolon,0,
Somme,0,
rue Vivienne,0,
etaitune,0,
bois de Boulogne,0,
Balandard,0,
ia,0,
Chinois,0,
Capitale,0,
toil,0,
Rpublique,0,
dit2,0,
collge de Sens,0,
gravemcnt,0,
moucloirs,0,
ILaromiguire,0,
tamise,0,
Soci4ete,0,
Eugne,0,
oii,0,
Maternite,0,
Dmbreuse,0,
forlune,0,
"se-
maine",0,
Intelligence,0,
mondt,0,
reverraitl,0,
Iussonnct,0,
con nette,0,
Cestune,0,
pyse,0,
ldternelle,0,
"etait136
L",0,
bcsogne,0,
Marchd,0,
IIL,0,
Pologne,0,
pllre,0,
Quelquun,0,
Frcleric,0,
-  A,0,
Alham-,0,
zhef-d'euvre,0,
circulezl,0,
La terre,0,
bcte,0,
rue des Irois-llois,0,
ebranlie,0,
Inlin,0,
Aulcuil,0,
Devant,0,
trulles,0,
crpu,0,
chre,0,
Q',0,
Brie,0,
Poissonnibre,0,
retoutr,0,
prepondrance,0,
Creil,0,
Autorit,0,
lumides,0,
Gauloises,0,
Considerant,0,
cte-l,0,
Bouttevilain,0,
l-bs,0,
renoncant,0,
rotloir,0,
Papal,0,
A05,0,
cclui de Lamoricire,0,
rue Transnonain,0,
aumone,0,
l'alc0ve,0,
congediee,0,
gote,0,
Filly,0,
Genie,0,
Saint-Cloul,0,
de382,0,
Pellerin,0,
Ton,0,
ecria,0,
aprs-midi,0,
Autorile,0,
attroupemenlts,0,
reinc n.,0,
Enlin,0,
lElle,0,
marquede,0,
sige,0,
Vive,0,
Rosannette,0,
Catlerine,0,
Premibres,0,
la Pologne,0,
Icoles,0,
rue Joubert,0,
kEtat,0,
dcembre,0,
disunt,0,
Bonsoir,0,
Francs-Bourgeois-Saint-,0,
Maul-,0,
Hippodrome,0,
Percepteur,0,
Iavseillaise,0,
t0t,0,
"Societe des Fa-
milles",0,
Saint-Franois,0,
ctsques,0,
canape,0,
Ilosanette,0,
-  Tapecz,0,
porte Saint-Denis,0,
neme,0,
Trocadro,0,
".,s-i",0,
euvre,0,
velle,0,
Tournelle,0,
carre-,0,
Bordelais,0,
Iiront,0,
Naples,0,
sricuse,0,
esperance,0,
So-,0,
ecluir,0,
pris?n,0,
jou,0,
lavie,0,
Regim-,0,
Debar-,0,
cerains,0,
Montagne,0,
Murechale,0,
dme du Pantheon,0,
l Dehardeuse,0,
Nogcnltais,0,
Dambreuses,0,
Lyon,0,
croisales,0,
ciseax,0,
oratoir du Pape,0,
d'Italie,0,
OuY.rd,0,
lh-bas,0,
Londres,0,
gand,0,
aristocratel,0,
ommne,0,
Champ de Iars,0,
Ilpublique,0,
Huvre,0,
Ilammes,0,
lanoblesse,0,
paysn,0,
etoupes,0,
rue de Clery,0,
Fr4lerie,0,
Chambrion,0,
vis-a-vis,0,
Trone,0,
Vatnaz,0,
Palais,0,
chile,0,
layes,0,
boulevrd,0,
rue de la Ferme ?,0,
Norvins,0,
emeute,0,
Toutle,0,
Aure,0,
pont de la Concorde,0,
Benedicite,0,
lachete,0,
h Martinon,0,
-  Bien,0,
Hussonnet,0,
lousie,0,
blme d'exagere,0,
p1es-,0,
regagnantsa,0,
"Trois-
rbres-Provencaux",0,
llavre,0,
lexislence,0,
quartier Breda,0,
hasta,0,
serin-L,0,
pItesque feroce,0,
ouvragcs,0,
IPologne,0,
Jardin des llautes,0,
Iille,0,
pagnon,0,
Buins-Chinois,0,
enveloppee,0,
Sane-et-,0,
Ga-,0,
httel,0,
"Jardin des Plantes.ed
L' E",0,
Malemoiselle,0,
Loure,0,
Vienne,0,
dunger,0,
Pollerin,0,
t:::---,0,
Mai-,0,
piquees,0,
ceda,0,
Pvescrition,0,
-  Eh,0,
Chine ct,0,
"ti 
I
 i 1eitiuiiitiifiiiii
.:tnehihuiwf",0,
lche,0,
Etretat,0,
Senecal,0,
.l,0,
Lc,0,
quaprs,0,
Oricnt,0,
Cisy?n,0,
la Tournelle,0,
ppieres entrc-closes,0,
Al0naise,0,
Flacourt,0,
Art,0,
Cez les Dambreuse,0,
Las,0,
Almanach du Commerce,0,
Saint-Jacques,0,
pcrsonne,0,
Mlichiel-Angge,0,
.::,0,
bles,0,
hrume,0,
auteuil,0,
noyees,0,
Postillon,0,
Ceur,0,
"Senc-
cal",0,
b6-,0,
pele-mele,0,
lace cramoisie,0,
IlOS,0,
quell,0,
Notre-Dame,0,
monleln,0,
pont de Charenton,0,
Carpenltras,0,
c0,0,
perse,0,
uuquel,0,
-  Ah,0,
Mlle,0,
lBastille,0,
le Bugcaud,0,
Grce  Dussardier,0,
carbonaro,0,
Iinit,0,
Laval,0,
rue de Rivoli,0,
Ma-,0,
rue Jacob,0,
Carrousel,0,
la142,0,
L'aprs,0,
Champ de Mars,0,
hse,0,
Appar,0,
sance,0,
m-,0,
Temple,0,
seucestochre do,0,
Suriret,0,
Miserables,0,
caises,0,
Sainte-Genevieve,0,
l'Eure,0,
blama,0,
Bourgeoise,0,
adicu,0,
Russe,0,
Japon,0,
tqui,0,
soie gris,0,
Fr6leric,0,
Institut,0,
osanette,0,
Marchale,0,
Freres-Siamois,0,
Iort,0,
licole,0,
Flanque-la dehorslon,0,
iille,0,
Deloin,0,
chbevre,0,
-  Pas,0,
Chailly,0,
Chateau-,0,
Con,0,
Fu-,0,
san,0,
vicux,0,
I72,0,
Cite,0,
recemmenf,0,
l'Assem0lee,0,
"recensemcnt lIu-
t mann",0,
Collge de France,0,
Osage,0,
Letourncur,0,
Villenauxe,0,
Dame-des-Victoires,0,
c::ccc,0,
Liberte,0,
depute,0,
clerg,0,
ler,0,
hauss6e,0,
Saint-Cloud,0,
irus-gii;;i3It,0,
Chambres devraicnt,0,
Frisonne,0,
barribre,0,
IIl,0,
Vlour,0,
Irappces,0,
Jrdin,0,
l'Aube,0,
Ilesperides,0,
v0tre,0,
Vu-,0,
matu,0,
Regence,0,
rultrapa,0,
fiacre,0,
Francais,0,
toul,0,
Puys,0,
"Champ de
Iars",0,
Monopole,0,
mele,0,
MI arrondissement,0,
Nogent-sur-Seine,0,
rue Caumartin,0,
Mlarechale,0,
Troplong,0,
aad,0,
Bordelaise,0,
precise,0,
laltirerent,0,
Amerique du Sud,0,
Limportance,0,
llle,0,
Arnou,0,
Iront,0,
Iysteres de Paris,0,
Jcu-,0,
ngres,0,
Nantes,0,
Gilet,0,
au-,0,
voleurslon,0,
Nest,0,
rue Drouot,0,
Conservatoire,0,
Quels,0,
s6,0,
el l,0,
avaitrecu,0,
secouaicnt,0,
Plazot,0,
lns,0,
avanca,0,
rue Coq-Ileron,0,
E,0,
le Precepteur,0,
Sanson,0,
accreditee depui,0,
Vazeille,0,
Hapsbourg,0,
Anjou,0,
Sorbonne,0,
Champs-Elysees,0,
Fr6lic,0,
candideslo,0,
insree dns,0,
mimi?n,0,
Saint-Paul,0,
mateclot,0,
Avt,0,
Andalouse,0,
Causons,0,
Ro-,0,
juqu',0,
Vincennes,0,
poudrc,0,
cortge,0,
glee,0,
Jardin des Plantes,0,
lEtat,0,
"Pe-
cherie",0,
l-bas,0,
Oter,0,
ecrans de la cleminec,0,
lebarquait  Saint-Cloud,0,
A6,0,
couleuu,0,
souflle,0,
cossais,0,
Berlin,0,
Espagnolet,0,
Notrc-Dame,0,
Debardeuse,0,
Iln',0,
Donc,0,
Saint-Nicolas,0,
ux Tuileries,0,
Puris,0,
roulte,0,
damas,0,
Allemagne,0,
chicards,0,
Frde-,0,
Il1,0,
Pwris,0,
Chartres,0,
hochantla tete,0,
cygne,0,
Magis-,0,
do Venise,0,
Enfantin,0,
moiselle,0,
"rue
Iauteville",0,
eul,0,
Toi,0,
Attendrais-tu ton lidalgo,0,
".,'.-",0,
Carousel,0,
Dulaure,0,
l1l',0,
quai d'Orsay,0,
I',0,
blme,0,
rue Rumfort,0,
qulon,0,
EnUCA,0,
rue Descartes,0,
llI0tel-de-Ville,0,
Sourdun,0,
V0us,0,
Pharamond,0,
llisbeth-Olympe-Louise HRoque,0,
sevre,0,
barrirc,0,
licn,0,
tuille,0,
rayonnemcnt,0,
picd,0,
d Espagne,0,
desert,0,
cenltuple,0,
iaon mediocre,0,
Sene--,0,
Eure,0,
paule,0,
Lembarras,0,
cinabe,0,
hire,0,
IArt,0,
Loulou,0,
Ineuves,0,
A gcnoux,0,
considera,0,
courbe cn,0,
Voyez,0,
garles nationaux,0,
emouvoir,0,
lentendant chanterl,0,
reveni,0,
lticn,0,
rue de l'Arcade,0,
Clerc abusaitle,0,
clle avuit reluse,0,
Voilh,0,
Vanneroy,0,
Languedoc,0,
Comimnent,0,
Villeneuve-l'Archevque,0,
baionnetles,0,
Paris,0,
rue d'Anjou,0,
.A12,0,
"sc-
maine",0,
la piece,0,
Albion,0,
so,0,
Desluuriers,0,
prilt,0,
lEurope,0,
scuris,0,
mademoiselle,0,
Andilly,0,
boulevard sen,0,
San,0,
Molire,0,
Rque,0,
Societe,0,
Bourgogne,0,
Quelqu,0,
retou,0,
Aspremont,0,
Suresne,0,
bete-lh,0,
vicomles,0,
"exprs louvrage do
Gobet",0,
P,0,
Richelicu,0,
la Madeleine,0,
vtue de nankin,0,
ablmes,0,
"rue de
Choiseul",0,
autrcs,0,
A-,0,
Poisson-,0,
c0te de Paris,0,
l,0,
mdiocre,0,
Ecosse,0,
lamitie,0,
Svres,0,
fnee,0,
Mrelle,0,
h Deslau-,0,
Deslauricrs,0,
EDUCA,0,
Marthe,0,
vOulez-Vus,0,
silencicuse,0,
-  Trente-sept,0,
Drouillard,0,
rue de Chabrol,0,
Commcntl,0,
Seville,0,
Champs-lilysees,0,
Barante,0,
