text,cluster,cluster_corrected
Mnais,0,
Inais,0,
sais,0,
ceonnaissant,0,
mnaisonnette,0,
mnains,0,
soldut,1,
soldatd',1,
Pdldu,1,
toldos,1,
fort Necessite,2,
Necessite,2,
193,2,
fort Ncessite,2,
s5,2,
Quoi7,3,
- Pourquoi7,3,
poulquoi,3,
Quoil,3,
lroquois,3,
.qu',3,
Voil,4,
Voilh,4,
voila,4,
savoir7,4,
Vois,4,
voi,4,
Voili,4,
ompagnons,5,
accompague,5,
cotpagnon,5,
L2,5,
Revenons,5,
Iagon,5,
yeux7,6,
euxs,6,
payeus,6,
auixyeux,6,
alfreux,6,
Veux-tu,6,
FORT DUQUESNE,7,
fort Duquesne,7,
Iort Duquesne,7,
Duquesne,7,
fort Duquesnel,7,
Chuque,7,
"fort
Duquesne",7,
Duquese,7,
fot Duquesne,7,
Kouha-Hande,8,
louha-Hande,8,
hha,8,
Iouha-,8,
Iouha-Hand6,8,
Kouha,8,
Iouha-Hande,8,
loup-Hande,8,
IKouha-Hande,8,
malgre,9,
Malge,9,
Malgre,9,
gre,9,
Lhidalgo,9,
Viens,10,
Idiens,10,
Inliens,10,
Viens-tu?,10,
revienlt,10,
Vienne,10,
Tiens,10,
miens,10,
avie,10,
francais,11,
Fancais,11,
brancad,11,
Francais,11,
Irancais,11,
lrancais,11,
Franeais,11,
Etats-Unis,12,
etat,12,
ET-,12,
F,12,
tad,12,
etais apelcu,12,
"etat de
defense",12,
GG,12,
zeeta,12,
Canudienne,13,
Canudien,13,
Guyenne,13,
Ennui-a,13,
Menne-,13,
douai,14,
Doue,14,
Douai-Hande,14,
Douai,14,
Douai-Hand6,14,
Douai-lande,14,
PensA7,15,
B,15,
A7,15,
Pensa,15,
tompei,16,
MP,16,
trompei,16,
A60,17,
A6,17,
Cunadien,18,
Canadien,18,
metropole canadienne,18,
Canadieon,18,
Cnadien,18,
Canada,18,
Canadiens,18,
Le Canadienjelta,18,
Canadions,18,
Cauadien,18,
Canadienne,18,
ILe Canadien,18,
Canadien loes,18,
Cana-,18,
chasseu canadien,18,
le Caadien,18,
Indien,19,
toldos indiens,19,
Indiens,19,
Dinwidie,19,
Indies,19,
L'Indien,19,
Dieppe,19,
Lesindividus,19,
L'indifferenee,19,
.%,19,
cinIndiens,19,
L'Indien sourit,19,
¬¬,20,
a¬¬.,20,
N,20,
ÇA,20,
Longtemnps,21,
Lona,21,
Osna,21,
Iayelon,21,
g3i,21,
colons.-,21,
- Allonsl,21,
Lo,21,
G,21,
Leona,21,
gueirre,22,
guee,22,
divulguee,22,
.2-,23,
".2-
-
 
2


E",23,
E2-,23,
sachem,24,
J',24,
saclem,24,
sachet,24,
chassel,25,
chasseu,25,
chasseui,25,
s''1,26,
S',26,
M,26,
"A
 I
l--
I
riii",27,
"II
III
 
 I
1I
'
1
I
I1",27,
"I
I
II
II
 
III
I
II",27,
"II

I
t
'
:i:
II
L.
E",27,
"II
I
1Y",27,
"II

I
II
M",27,
"1I
II
I

1
I",27,
"I
I
III
IL",27,
"II
I
E

E",27,
G¬,27,
"II
III
I
II

L",27,
