text,cluster,cluster_corrected
fourrai,0,
tournai,0,
Saint-Jean,1,
La Saint-Jean,1,
Sainte-Montagne,1,
Saintes Huiles,1,
lassai,1,
auberge du,2,
Vierge,2,
Hier,2,
lingerie,2,
– Es-tu folle,3,
– Est,3,
– Es-tu malade,3,
– Vois-tu,3,
Rome,4,
Communs,4,
Merci,4,
–,5,
Paris,6,
Parfois,6,
comparai,6,
Quelquefois,6,
Pas,6,
Prends,7,
– Rentre,7,
terre,7,
Eau,8,
– Étoile du matin,8,
château du Gué Perdu,8,
Châtaigniers,8,
– Cache les couteaux,8,
Gué Perdu,8,
Ismérie,9,
notre Marie-Claire,9,
Marie-Aimée,9,
Notre voisine,9,
Fais,10,
voyais,10,
Venez,11,
"– Bien, ma Mère",11,
Vin,11,
Tiens,11,
Reviens,11,
Viens,11,
Maximilienne,11,
Désiré-des-Anges,12,
Sœur Désirée-des-Anges,12,
Désirée-des-Anges,12,
Tes yeux,12,
Le soleil,13,
Réveille-toi,13,
Mlle,13,
Villevieille,13,
Bel-Œil,13,
tilleuls,13,
Castille,13,
La grosse cuillère,13,
Sologne,14,
Eugène,14,
Augustine,14,
Bibiche,15,
de France,15,
Chicon,15,
lavé,15,
Mélanie,15,
Blanche,15,
– Oui,16,
Voulez,16,
Appuyez,16,
– Ouvrez,16,
sauta,17,
– Non,17,
Sautons,17,
l'Orphelinat,18,
Tirande,18,
Tireli,18,
