text,cluster,cluster_corrected
rue Feydeau,-1,
Tre Monasteri,-1,
Simplon,-1,
braset lamena,-1,
Spielberg,-1,
lomene,-1,
Pere-La-],-1,
Con-,-1,
n5ineidinais,-1,
sinau aesnior,-1,
famlle,-1,
Lions-le-Saul-,-1,
A]g,-1,
nimosamnis,-1,
riolece de lorag,-1,
yisont le eaer,-1,
Camps,-1,
sian,-1,
tiennes7,-1,
egee e,-1,
trne,-1,
Rehecea,-1,
sanctuaire Yoici lai,-1,
sa]- Oui,-1,
germanico-gallique,-1,
A h0pital,-1,
.(nee princesse Soderin,-1,
i ii,-1,
"yeu
e narais ianais cru",-1,
Bois,-1,
liennes,-1,
i nrue,-1,
"Pa  e es
meuse heritiere de Besangon",-1,
Leloquence,-1,
meie esimable,-1,
Sicilienne,-1,
piresrue,-1,
nuit2,-1,
aristocraliques,-1,
MIa-,-1,
"naiia iihi
Iere",-1,
rue do cliehs,-1,
caleche Francesca `divinemiint mise,-1,
tintemens,-1,
eigge,-1,
septiemeiour,-1,
Montemnisselle,-1,
griseltes de Besancon,-1,
veemeni,-1,
giitantBesangan,-1,
menton,-1,
lBsperance,-1,
enissant  io u ssg,-1,
Gii,-1,
Experience,-1,
geegggeegee,-1,
Manerville,-1,
Mulhouse,-1,
meurtrirs,-1,
Aoeel,-1,
Marie-,-1,
fronldes grands hommes,-1,
Gouvernement,-1,
ti brille,-1,
st ous aveepeur d'una lnttel,-1,
aGaiGrGGi,-1,
chiambre des pairs,-1,
LHygiene,-1,
Gramont,-1,
adiu,-1,
Pilale,-1,
Alhel,-1,
naivemenl Francesca,-1,
ellE - eee eeegi e]   ueae yeuessea,-1,
Fgfnes,-1,
egaree,-1,
Bugey,-1,
Neue-es-,-1,
traijusqu,-1,
Les negocians,-1,
abbe,-1,
gg;g-,-1,
caleinee,-1,
Opéra,-1,
io ae tier,-1,
cetle sainte,-1,
uno mobilite feb ile,-1,
maltraitee,-1,
turna pouir entreir,-1,
Caroline,-1,
ru-es,-1,
iruiste,-1,
Marietle,-1,
oroiuio,-1,
lac de ] ture,-1,
faus-e muette,-1,
venez  lhotel de Rupl,-1,
reputalionsee,-1,
maison Janrenaud,-1,
Rololphe,-1,
bDe,-1,
dAnegeliue,-1,
Jutts,-1,
diableI,-1,
caratere d'in yjoe,-1,
suffages,-1,
ICI,-1,
bapteme,-1,
craoye,-1,
justile,-1,
oup de deux heu-,-1,
"lende-
des monceaux",-1,
Saihnt-,-1,
Normandie,-1,
cGGEiiiGG,-1,
ivartisseent,-1,
Iadame do Watteville,-1,
Jardin des Plantes,-1,
Champagne,-1,
Wyiriciinie,-1,
Alert lla,-1,
metaphysiciens,-1,
renseignemens,-1,
.:,-1,
Espard,-1,
Iemme,-1,
intrigue2,-1,
iiisi iya ns anroci,-1,
yettee-ggeyggggy,-1,
gAgegeeg2,-1,
Etienne,-1,
Cuton,-1,
Effort,-1,
momens,-1,
Russe,-1,
brillanta,-1,
Cmedis Mumaine.)86,-1,
leioenseisfeton,-1,
