text,cluster,cluster_corrected
Jéanne,0,
Océan,0,
Jéante,0,
éanne,0,
Jéanne-,0,
nn,0,
Las,1,
Lac,1,
brassa,1,
Lastique,1,
R,1,
Tassit,1,
Etla,1,
Adélaïde,1,
v’,2,
V’,2,
Mignonne,3,
mignonne,3,
Ma mignonne,3,
besogne,4,
Cigogne,4,
cigogne,4,
champagne,4,
Cologne,4,
gne,4,
cognac,4,
colzas,5,
"col
fl",5,
fl,5,
Italie,6,
Cuitaux,6,
j’,6,
d'Italie,6,
Rue,7,
"Rue

Dès",7,
rue du Sauvage,7,
"rue
Sauvage",7,
reparue,7,
lu,8,
l’angélus,8,
Lu,8,
iluie,8,
"salua,-et",8,
ille,9,
fille;Elle,9,
Marseille,9,
Ille,9,
ieille,9,
lille,9,
Êlle,9,
Vrillette,9,
Greilles,9,
Vrilleite,9,
Versailles,9,
tranquille,9,
tressailli,9,
Grèce,10,
gr,10,
suis,11,
uis,11,
buis,11,
Suisse,11,
promiscuités,11,
Paris,12,
Surprise,12,
Briseville,12,
Varneville,12,
le Jembris,12,
Brisseville,12,
Brise-,12,
Brisseville s’,12,
Beuzeville,12,
Courville,13,
Four-,13,
Fourville,13,
e Fourville,13,
D,13,
Goderville,13,
Barville,13,
Rosalie,14,
salis,14,
.g,14,
Rosaliéi,14,
alle,15,
Allemagne,15,
élle,15,
Folle,15,
Allez,15,
Rollebosc,15,
us,16,
mer par-dessus,16,
jous-r’,16,
nousn’,16,
Vouset,16,
usa,16,
Vois-tu,17,
POI Parfois,17,
oserais-tu demander,17,
vois-tu,17,
Trois-Mares,17,
sais-tu,17,
bois bruni,17,
Sais-tu,17,
Xi,17,
Er,18,
Coutelier,18,
rêver,18,
ger,18,
s’'enfoncer,18,
ler,18,
Croquerat,18,
Verneuil,18,
larmoyer,18,
Éperdue,18,
Per l’,18,
ER,18,
Goder-,18,
barbu,19,
barôn,19,
bouquets,20,
fouet,20,
bosquet j,20,
Fection,21,
àvec,21,
CT,21,
Chinoiïs,22,
Chine,22,
ÏS,22,
Lapons,23,
Allons,23,
Couillon,23,
Ïl,23,
reculons,23,
Voyons,23,
meuse,24,
"Écu-
meuse",24,
Écu-,24,
collège du Havre,25,
1 Havre,25,
Haït,25,
du Havre,25,
au Havre,25,
le Havre,25,
rue du Havre,25,
e Havre,25,
Rouen jusqu’,26,
Rouen,26,
Océan jusqu’,26,
Lomme,27,
grosse somme,27,
commeelle,27,
cesommeil,27,
rome,27,
Npaya,28,
pau premier,28,
Mie,28,
Reminil,28,
Ç,29,
Thysbé,29,
Lys,29,
qu’,30,
Quänd,30,
u’,30,
Ÿ,30,
Qué,30,
qu’on l’,30,
Ilécrivit,31,
rivige,31,
Lés,31,
Cri-,31,
tricot,32,
tricotani,32,
