text,cluster,cluster_corrected
Nannotte,-1,
Estimez,-1,
ar-,-1,
Margue-,-1,
choirs,-1,
Gathorino,-1,
Monge,-1,
Jugez,-1,
défrotter,-1,
Embrasse,-1,
Saint-Pierre,-1,
tôte,-1,
la somme,-1,
pou,-1,
Je,-1,
Pompes,-1,
Jouanno,-1,
porte de la eure,-1,
provins,-1,
jamüis,-1,
monsieur,-1,
So-,-1,
le japon,-1,
Menuet,-1,
Lécœur,-1,
Es-tu,-1,
Ca,-1,
Siû,-1,
Ettu,-1,
A,-1,
vendange,-1,
Apprenez,-1,
jy,-1,
Achetez,-1,
porto,-1,
veux-tu dtre.ma,-1,
Ê,0,
s’,0,
Ü,0,
SL,0,
|,0,
J1,1,
a6,1,
Ïl,1,
s09,1,
e’,1,
Îà,1,
S,1,
Kh,1,
Où,1,
ct,1,
F,1,
I,1,
E,1,
j’,1,
+,1,
M,1,
@t,1,
L’,1,
En Bretagne,2,
Bretagne,2,
maman,3,
Maman,3,
Savez,4,
Avez,4,
Vatan,5,
Sylvain,5,
Sylvan,5,
Astu,6,
Pas,6,
qu’,7,
Afrique,7,
Mesdemoiselles,8,
moselle,8,
mademoiselle,8,
Payez-les-moi,8,
hôpital de Bourges,9,
Bourges,9,
Berrÿ,10,
Berry,10,
Mapauvrefille,11,
entreéla,11,
vivreé,11,
Isaure,12,
Isauro,12,
Îsauve,12,
nir,13,
garniront,13,
juil,14,
IL,14,
brune,15,
lune,15,
Jeune,16,
"jeuné

—",16,
ferme des Ormeaux,17,
tairie des Ormeaux,17,
Ormeaux,17,
kermesse,17,
réchauff,18,
Cinquante,18,
Tréchaufferie,18,
blämer,19,
Merci,19,
MERE,19,
Voulez,20,
croyez,20,
Voyez,20,
Ri-haut,21,
Hautes-,21,
broc,21,
Roches,21,
Hautes-Roches,21,
printétps,22,
meprie,22,
forez,23,
meitras,23,
"se-
maine",24,
Île capitaine,24,
maine,24,
cupées,25,
veines,25,
pée,25,
Jo-,26,
"Jo-
séphine",26,
José-,26,
SERVICE,27,
SERVIR,27,
Coupez,28,
occupez,28,
Écoutez,28,
sère-le tout,29,
tout.—C',29,
le-profit -de la vigne tout,29,
lâle,30,
Blanche,30,
bâle,30,
rioux,31,
mâtériaux,31,
france,32,
de France,32,
fran,32,
la France,32,
ler,33,
éle,33,
ge,34,
rige,34,
Durand,35,
endureît,35,
Grand-Bai,35,
Grand Bail,35,
Grand,35,
chand,35,
"Chétif-
Bail",35,
"Grand-
Bail",35,
Jusserand,35,
Grand-Bail,35,
Grand-Bal,35,
charrue,36,
"char-

- gée du ménage",36,
Regardez,37,
"au-
tres",37,
au-,37,
AL,38,
Allons,38,
Bi,39,
BI,39,
rougeur,40,
euré,40,
heurèse,40,
beurrée,40,
cüré,41,
Prévôt,41,
n'’aidait,42,
Nantaise,42,
Aidez,42,
n'’ôtais,42,
Tixier,42,
Combien,43,
serbie,43,
los vendre,44,
Flandre,44,
Tiens,45,
Conviens,45,
miens,45,
vienne,46,
"93

Senne",46,
rennes,46,
ner,47,
Borderie,47,
lingerie,47,
Péonnerie,47,
Péinertiel,47,
QUATRIÈNE PARTIR,48,
TROISIÈME PARTIR,48,
PARTIE,48,
cher,49,
"département du
Cher",49,
sempêcher,49,
Cher,49,
sou,50,
Mudamè,50,
soudan,50,
Issoudun,51,
Inourables d'Issoudun,51,
mülin,52,
lincou,52,
nankin,52,
In,52,
Los,53,
Lo,53,
Attends,54,
Entends-tu,54,
la Grise,55,
Crise,55,
église n’,55,
Pares,56,
Paris,56,
J loin,57,
Lois,57,
Voie,57,
Vois,57,
Sois,57,
Jeantié,58,
Mettez,58,
"Pierres-
Folles",59,
Pierres-,59,
Is-,60,
Is,60,
buis,60,
Louiso,60,
Oui,60,
crois-tu,61,
Crois-tu,61,
Crois,61,
aimais,62,
aimais-tu,62,
Sais-tu,62,
Annette,63,
Nanette,63,
Suisse,64,
suisse,64,
Suisse-le done faire,64,
Laisse,65,
valais,65,
Jeanno,66,
JEANNE,66,
champ de Jeanne,66,
grenier;-car Jeanne,66,
Joanne,66,
"ai

Jeanne",66,
JEANNE VEUVE,66,
"PETITE JEANNE

LE DEVOIR",67,
Petite Jeanne,67,
petite Jeanne,67,
Saint-Jean,68,
"Saint-
Jean",68,
Solange,69,
Sainte-So-,69,
sainte-Solange,69,
sainte,69,
Sainte-Solange,69,
