text,cluster,cluster_corrected
Portsmouth,0,
China,0,
Iphigenia,0,
Colonies,0,
Caroline,0,
"excess,—a",0,
Montgomery,0,
Russia,0,
Dunbar,0,
Notice,0,
Clara Granville's,0,
Clara Novello,0,
Great Britain,0,
Christ,0,
Britain,0,
Limerick,0,
Spain,0,
Studley,0,
Beaujolie Manor,0,
"earth,—by",0,
St. James',0,
F.R.S.,0,
Providence,0,
Charles,0,
Margate,0,
m'est,0,
Jesuitical,0,
TOWNSEND,0,
Rosemount Villa,0,
Holyrood,0,
Byron,0,
Thames,0,
Lincolnshire,0,
Fatherly,0,
Ernest,0,
Carlisle,0,
Chester,0,
Espagne,0,
India,0,
Truth,0,
Italy,0,
the United Kingdoms of Great Britain,0,
Mesdames,0,
St. John's,0,
Saul,0,
Birmingham,0,
the King of Prussia,0,
Watteau,0,
Rome,0,
turkey,0,
Infirmary,0,
Dublin,0,
Strand,0,
Granby,0,
Sheffield,0,
Kelso,0,
St. Abbsbury,0,
Fife,0,
Clara,0,
Windows,0,
the Arabian Nights,0,
Clara Granville,0,
Melton,0,
Crawfords,0,
Hebe,0,
Holyrood House,0,
better!—'We,0,
Poussin,0,
the Vicar of Wakefield's,0,
Zoological Gardens,0,
Marion,0,
St. Leger,0,
Thou,0,
Fountain,0,
Duvernay,0,
Kinross,0,
Agrippina,0,
Ill,0,
St. Cecilia,0,
Sea,0,
Park,0,
Jesuit,0,
Davenport,0,
"mustachios,—crowds",0,
Waterloo,0,
Canada,0,
Middlesex,0,
Courant,0,
Sultan,0,
London,0,
Japan,0,
us,0,
Granville,0,
Abbey,0,
Trafalgar,0,
Argyleshire,0,
"room,—a",0,
Henry,0,
Florence,0,
Kings,0,
Europe,0,
Achilles,0,
Knaresborough,0,
"not,—I",0,
Van Amburgh,0,
Geneva,0,
Doncaster,0,
Continent,0,
Agnes,0,
Leeds,0,
the United Kingdoms,0,
Queensferry,0,
Dresden china,0,
Brighton,0,
Oxford,0,
NEW YORK,0,
beaux,0,
Canterbury,0,
Paradise,0,
France,0,
Israel,0,
Ripley,0,
Finden,0,
thou,0,
Ripon,0,
Edinburgh,0,
Samaritan,0,
Golconda,0,
Cowper,0,
Yorkshire,0,
bien,0,
Spitalfields,0,
Bibles,0,
Plumpton,0,
Dresden,0,
Cape Madeira,0,
Jupiter,0,
Macbeth,0,
Tunbridge,0,
Unburden,0,
wi,0,
Charlotte,0,
Seabeach Cottage,0,
Eloquence,0,
Paris,0,
Huzzars,0,
Australia,0,
Siberia,0,
Jacob,0,
"favor,—if",0,
St.,0,
Portobello,0,
Brussels,0,
inn,0,
Geranium,0,
Milton,0,
Satan,0,
Agnes Dunbar,0,
china,0,
Friendship,0,
Louis,0,
"money,—a",0,
Shetland,1,
Ireland,1,
Newfoundland,1,
Scotland,1,
"heart,—and",1,
Highland,1,
"lang=""fr",1,
England,1,
New Zealand,1,
