text,cluster,cluster_corrected
Vois,0,
Voilà,0,
Sois,0,
Fougeroux,1,
Pérou,1,
Annou,1,
Alfort,2,
Infortunes,2,
École d’Alfort,2,
trompe-la-mort,2,
I,2,
LES,3,
Naples,3,
baie de Naples,3,
Ë,3,
les Angélus,3,
îles Marquises,3,
"Coucou-
Blanc",4,
Micou,4,
Mile Coucou-Blanc,4,
Coucou-,4,
COUCOU-BLANC,4,
Æ,4,
Blanc,4,
Coucou,4,
Coucou-Blanc,4,
Coucou-Blanc!.,4,
Boucoyran,4,
Chers,5,
recopiât,5,
du cher,5,
Mon cher,5,
Cher,5,
Université,5,
d’,5,
mans,6,
la manche,6,
Lakçamana,6,
C’,6,
boulevard Montparnasse,7,
Montparnasse,7,
théâtre Montparnasse,7,
RCE,8,
AT,8,
RCE S ON,8,
Enr,9,
lapromenade,9,
Rome,9,
Providence,9,
Men,9,
Faust,9,
Cadet,9,
Promettez,9,
Palais-Royal,10,
Palais-Mazarin,10,
uma,10,
S,10,
Odéon,11,
Nous vivions,11,
Consterna-,11,
Pouah,11,
Religion,11,
Poussé,11,
Bonsoir,11,
sabré,12,
théâtre de Paris Quant,13,
titis de l’,13,
Théâtre-Français,13,
théâtre de Paris,13,
Amour,14,
bourrée,14,
—- Bonjour,14,
VIOT,14,
Cunocépa,14,
Tribou,14,
Luxembourg,14,
Viçva-,15,
Anastasie,15,
Rogé,15,
mastoïdes,15,
Gymnase,15,
Rana-Valo,15,
Anastagille,15,
O,16,
Rue des Dames,16,
rue des Dames,16,
d’hippopotames,16,
rue de Lille,16,
Pme,16,
Jardin des Plantes,16,
porte Zéperons,17,
Roberte,17,
ronfla,17,
Emporte,17,
Vénus,17,
Zéperons,17,
Prairie,18,
la Prairie,18,
Voudrait-,18,
"TES

Sd",19,
"Tes

l’air",19,
A l’aube,19,
LS L,19,
tueras là-haut,19,
Écoutez,20,
Arrêtez,20,
F,20,
Prêtez,20,
veux-tu,21,
J',21,
Voyez,21,
Océan,21,
Fanfan-la-Tulipe,21,
Eux,21,
aimais,22,
J'aimais,22,
Rà,22,
lui!.,22,
Sceaux,23,
Pruneaux,23,
bordeaux,23,
Beaux,23,
Cuba,23,
Sarlandais,24,
Sarlande,24,
Sar-,24,
Saint-Théophile,25,
église Saint-Pierre,25,
Saint-,25,
Saint-Esprit,25,
Saint-Nizier,25,
Saint-Pétesbourg,25,
Saint-Pierre,25,
rue Saint-Benoît,25,
Saint-Emilion,25,
Saint-Cloud,25,
Frinc,26,
Port-au-Prince,26,
principal,26,
Palerme,26,
principal n’,26,
Carmélites,27,
Éliacin,27,
LS,27,
Tes,27,
Escargots,27,
Amalécites,27,
Daniel,28,
Pilois,28,
RÊVE,28,
Pilois!.,28,
Pilouitt!.,28,
EE,28,
DAME,29,
Dame,29,
victoria de la dame,29,
j’,30,
mitra,30,
Raspail,30,
Travaille,30,
Bravo,30,
SRE,30,
As-tu bien travaillé,30,
"FETE

AE",31,
LA BÊTE A BON DIEU,31,
"Ps

A ii

D",31,
"LA BÊTE A BON DIEU

Quoi donc ?

LE PAPILLON",31,
LA BÊTE À BON DIEU,31,
LA BÊTE A BON,31,
"PIERROTTE 145

oo",32,
"Pierrotte!

Pierrotte",32,
Pierrotte,32,
