text,cluster,cluster_corrected
Silencio,0.0,
"bom
Silencio",0.0,
bom Silencio,0.0,
Violencia,0.0,
Dobrara,1.0,
Obra,1.0,
Lembraram-lhe,1.0,
arara,1.0,
Faz-me,2.0,
Rapaz-,2.0,
Faz,2.0,
Fazem-me,2.0,
pAra,3.0,
Parado,3.0,
Paraiso,3.0,
Parabens,3.0,
Parece-me,4.0,
careca.-,4.0,
Pareceu-,4.0,
Receru-,4.0,
Praga,5.0,
braga,5.0,
casa de braga,5.0,
praga,5.0,
Fraga,5.0,
Nagaioi,5.0,
anda,6.0,
Anda,6.0,
Outra-Banda,6.0,
irlanda,6.0,
Mandara,6.0,
Andava,6.0,
Anda-me,6.0,
ajudanda,6.0,
veneranda,6.0,
Mulher,7.0,
Hereticus,7.0,
Tulherias,7.0,
Hei-de,8.0,
Hei-de-lhe,8.0,
Hi-de,8.0,
HEi-de,8.0,
Caput,9.0,
Capit,9.0,
papuda,9.0,
Sio,10.0,
sioes,10.0,
Rossio,10.0,
cachoar,11.0,
Cacetel,11.0,
Rabicho,11.0,
riacho ue,11.0,
Fechou,11.0,
alegre,12.0,
Alegres,12.0,
tao alegre,12.0,
provotu,13.0,
Provarei,13.0,
devota.-,13.0,
Ihes,14.0,
Iarselhesa,14.0,
Lethes,14.0,
Impunham-Ihe,14.0,
Ihe,14.0,
Ldestruicao,15.0,
Aldeia de Honra destruido.l,15.0,
prostituicao,15.0,
Qual-fez,16.0,
Al-fez,16.0,
Ponte,17.0,
Ponte Nova,17.0,
Ponho,17.0,
monte Olimpol,17.0,
Contemplal,17.0,
ma negocio ponttal,17.0,
Defronte,17.0,
Outono,18.0,
Outr-,18.0,
Imnonotonas,18.0,
Doutor,18.0,
"Africa
a91",19.0,
Rica,19.0,
Ricas,19.0,
Frica,19.0,
Africa,19.0,
africa,19.0,
Seculo,20.0,
Recu-,20.0,
Calcula,20.0,
secura:-- Tenho,20.0,
Imaginava,21.0,
imaginagcao,21.0,
Imaginara,21.0,
Imaginei,21.0,
Imagine,21.0,
Imaginas,21.0,
Imaginem,21.0,
imaginaco da rapariga,21.0,
mana,22.0,
Manon,22.0,
Satanaz,22.0,
Anaro,22.0,
Manias,22.0,
revelagcoes,23.0,
consolagcoes,23.0,
revelava,23.0,
tentagcoes,23.0,
plantagcoes,23.0,
Bonito,24.0,
Dezoito,24.0,
Bonita,24.0,
ores,25.0,
Arvore,25.0,
Tres,25.0,
londres,25.0,
Louvores,25.0,
Pires,25.0,
Coreto,25.0,
"tam-
dores",25.0,
Flores,25.0,
florescencla,25.0,
grata de Deus,26.0,
O1dE DE P,26.0,
Bairro de David,26.0,
victoria de Deus,26.0,
Hotel de Ville,26.0,
Torre de Babel,26.0,
Minuete de Mozart,26.0,
Jardim de Lazaro,26.0,
ria de pe,26.0,
"Sol
de Dezembro",26.0,
NLLYehas anedotas de frades,26.0,
Padre,27.0,
Padrinho,27.0,
PADRE,27.0,
