text,cluster,cluster_corrected
Aldgate,0,
Steel Plates,0,
Seto,0,
Isle of Skye,0,
Waterloo,0,
Donated,0,
Field,1,
Wakefield,1,
Fields,1,
HYDE PARK,2,
L. EL.,2,
Bivouac,2,
Dryden,2,
Paradiso,2,
Hyde Park,2,
Cesar Borgia,2,
Park,2,
Park-street,2,
Regent,3,
ER,3,
FITTS,3,
Serpentine,3,
25th Regiment,3,
vol,3,
Granada,4,
France,4,
Rome,4,
Tasso,4,
Grafton,4,
Strand,4,
Ovingdean Grange,4,
Satan,4,
ROUTLEDGE,5,
South-,5,
Title,5,
Routledge,5,
Zanni,5,
TX,5,
Trigce,5,
HESSE,6,
Santa,6,
Ivanhoe,6,
Antwerp,6,
Phantom Ship,6,
ANTIQUARIES,6,
Haliburton,7,
Old Bailey,7,
Whitehall,7,
Mississippi,7,
F. C.,7,
Burbot,7,
c.g.,8,
Montrose,8,
Beaumont,8,
Rougemont,8,
Richmond,8,
IL,8,
LONDON,9,
Old London,9,
London,9,
London Stone,9,
’s,9,
8vo,9,
Florida,10,
Sheridan,10,
Olla Florida,10,
Los Moratorium,10,
Bavaria,11,
Santa Maria,11,
Calabria,11,
Whitefriars,11,
Marion,11,
Paris,11,
Loftus,11,
Tlosiage,12,
"Saint
James's-square",13,
St. James’ss,13,
New Type,13,
Rienzi,13,
Thames,13,
America,13,
sepulchre,13,
Cinq Mars,14,
Inn,14,
Mars,14,
Warsaw,14,
Unleash,15,
Turk,15,
f—-,15,
Italy,16,
W.H.,16,
Vol,16,
Watts,16,
Munster Festivals,17,
Zoroaster,17,
master’ll,17,
scaly sea-monster,17,
Leicestershire,17,
Jaden,17,
Westminster,17,
Eastcheap,17,
Swan,17,
oie Highlands,18,
Clara,18,
Scotland,18,
Morse,18,
Highlands,18,
England,18,
The Inland Sea,18,
Xp 1/6,18,
bds.,18,
Inn-lane,18,
fort,19,
Beaufort,19,
Portrait,19,
Beatitudes,19,
Midlothian,20,
Minus,20,
ROSICRUCIAN,20,
Cristiano,20,
Ww,20,
Packet,21,
the Black Dwarf,21,
in’t,21,
EDWARDS,21,
the Alabama,21,
Chico,22,
"you,—‘Ll",22,
Godolphin,22,
china,22,
Temple-bar,22,
Canterbury,23,
Lothbury,23,
Finsbury,23,
Drury,23,
Bacon,24,
Quebec,24,
STATUE,24,
Vanbrugh,24,
Southwark,25,
Mark,25,
Fairfax,25,
Marked,25,
Boscobel,25,
Venice,26,
Perth,26,
AINSWORTH,26,
Blenheim,26,
Kenilworth,26,
Wort,26,
Damocles,27,
Harvey,27,
Charles,27,
Farquhar,27,
nearest kinsman,28,
Forest Days,28,
Forum,28,
Pictures,28,
Oxford,28,
Cardiff,29,
Lammermoor,30,
laurel,30,
Curzon,30,
Fexh,30,
Diary,30,
scagliola,31,
AURIOL,31,
Monsieur Violet,31,
King-street,32,
Oak Openings,32,
Charing,32,
Grinding,32,
Abingdon,32,
Kensington,33,
Washington,33,
Billington,33,
Tn,33,
Wellington,33,
Rookwood,34,
Stowe,34,
Woodstock,34,
verde,34,
"Hollywood Es
Hall",34,
metheglin,35,
Hermetic,35,
Sea,35,
Sea Lions,35,
Japhet inSearchofaFather,35,
Lowell,35,
ROME,36,
Mackintoshes,36,
Wintry,36,
Spain,36,
Saint,36,
Ve're,36,
Hamburg,37,
Jun.,37,
NEW YORK,37,
Pelham,37,
Emm,37,
Waltham,37,
Nottingham,37,
Pompeii,38,
Havre,38,
Ostend,38,
Stepney-green,38,
Reeks,38,
Fra,39,
Colours,39,
Lyndhurst,39,
Achilles,40,
Cornhill,40,
Albany,40,
Bastille,40,
Millbank,40,
Elba,40,
Belvoir,41,
UK,41,
Byron,41,
anon,41,
Holbein,41,
gaborone,41,
KronuEIM,41,
Thou,42,
thou,42,
Author,42,
Wyandotte,43,
crowne,43,
Vignettes,43,
DR,43,
Rotterdam,43,
Nigel,44,
JT,44,
River,44,
Peak,44,
Isfahan,44,
O’Brien,45,
"St.
George’s",45,
St. Peter,45,
St.,45,
Amelia,46,
penetralia,46,
"Queen
Elizabeth’s time",46,
Elia,46,
