text,cluster,cluster_corrected
Regardez,0,
regardez,0,
regardez le soleil,0,
Niagara,0,
Accordez,0,
Beauregard,0,
Voyez,1,
Fuyez,1,
Essayez,1,
Soyez,1,
Virginie,1,
fier,2,
Singuliers,2,
Vierge,2,
Opossum,2,
cap Rosier,2,
Kouha,2,
Eh,2,
Ferney,3,
mornes,3,
Acceptez,4,
Restez,4,
Pas,4,
hâtez,4,
Consentez,4,
remettez-le-moi,4,
Notez,4,
Comptez,4,
Le Saint-Laurent,5,
fleuve Saint-Laurent,5,
Tels,5,
Saint-Laurent,5,
II,5,
Luy,6,
haussa,6,
Laisse,7,
Ouais,7,
Françaises,7,
sais,7,
Français,7,
Anglais,7,
J'avais,7,
Mauvaise,7,
Castille,8,
Tulle,8,
Nulle,8,
Versailles,8,
Jumonville,8,
Mlle,8,
Menneville,8,
égorgille,8,
Bas,8,
de Versailles,8,
Téocalis,9,
taillis,9,
Votre,9,
Yankées,9,
English,9,
l'Amérique du Nord,10,
Amérique du Nord,10,
l'Amérique,10,
du Nord,10,
Amérique,10,
Nord,10,
cap du Chat,10,
Dieppe,11,
Cordieu,11,
Dinwidie,11,
Nouvelle-Hollande,12,
Nouvelle-Orléans,12,
Nouvelle-France,12,
Holà,12,
Guyenne,13,
Vienne,13,
Reviendrez,13,
Faut,13,
Cincinnatus américain,14,
méritez,14,
Soudain,14,
Américains,14,
Déjeunons,15,
mons,15,
Revenons,15,
Grognon,15,
Pour,16,
Ours-Gris,16,
courre,16,
Encouragés,16,
Pittsbourg,16,
bourrelé,16,
Peuh,17,
château de,17,
au Havre,17,
Châteaux-Blancs,17,
château de Beauregard,17,
Embroché,17,
Camarades,18,
jura,18,
Totem,18,
Royal-Marine,18,
Hermine,18,
Chichimèques,19,
Karnac celtique,19,
golfe du Mexique,19,
Mexique,19,
Quels,19,
VI,19,
océan Atlantique,19,
briquet,19,
Duquesne,19,
Pardonnez,20,
Sonne,20,
Abandonnez,20,
Pardon,20,
Pardonne,20,
anse des Marigots,21,
Marigots,21,
Anse-aux-Marigots,21,
Berger,21,
baie des Marmousets,21,
Lovelace,22,
Placée,22,
lac Érié,22,
Eux,22,
Canadiens,23,
Canada,23,
Canadien,23,
J',23,
Canadienne,23,
Peau-Rouge,24,
Le Peau,24,
Rameau-d'Or,24,
Eau-Jaune,24,
Bordeaux,24,
Peaux-Rouges,24,
Asie,25,
Louisiane,25,
Parisien,25,
merisier,25,
Nick,25,
Caen,25,
Paris,25,
Indien Belaware,26,
Indien,26,
toldos indiens,26,
hein,26,
Indiens,26,
L'Indien sourit,26,
brelandier,26,
Va,26,
Les Indiens,26,
L'Indien,26,
rivière de Montmorency,27,
Saut de Montmorency,27,
Montréal,27,
cap des Monts-Pelés,27,
Précédez,28,
Rendez,28,
Prends,28,
faix,28,
Répondez,28,
Bisons-Hurons,29,
Loups-Hurons,29,
Remonterons,29,
