text,cluster,cluster_corrected
lavie,0,
re,0,
Avide,0,
Lavocat,0,
Savigny,0,
Ft,0,
Laval,0,
crivit,1,
Privilge,1,
Crivent,1,
on276,1,
Ga-,1,
Fois,2,
chaquefois,2,
oIs,2,
Democratie,3,
mocratie,3,
La Democratie,3,
Fille,4,
"lille Com-
ain",4,
Milles,4,
17T1,4,
lille,4,
Marseille,4,
Lille,4,
Canaille,4,
volaille,4,
tranquille,4,
Vazeille,4,
gilles,4,
lIlle,4,
Frayeur,5,
elfraya,5,
cn,5,
ayeec,5,
effray,5,
coles,6,
Coles,6,
nole,6,
arles,6,
cole peut-tre,6,
-  Ah,7,
-  A,7,
n L,7,
"n
- Ah",7,
Madrid,8,
Trocadro,8,
madras,8,
Suisse,9,
suischagrin,9,
chagrin?n,9,
".,'.-",9,
"jaun
blanches",10,
la manche,10,
manche,10,
lanc?n,10,
Marechale,11,
Murcchale,11,
Marechal,11,
Dcs,11,
Mlurchale,11,
n27E2,11,
et6e,11,
Mareschal,11,
Et1,11,
Ecoutez,12,
Ecoutez-,12,
v0-,12,
Marthe,13,
Ile Marthe,13,
Parthenon,13,
rs,13,
santerre,14,
glcterre,14,
serrure,14,
l3,14,
La terre,14,
Angleterre,14,
D,14,
gutierrez,14,
Brie,15,
-  Bristol,15,
s':'.t,15,
c0,15,
t0t,15,
-  Bah,15,
du Nord,16,
ligne du Nord,16,
xL,16,
Nord,16,
lLoris,17,
pris?n,17,
lhorizon,17,
Carrousel,18,
"place du
Carrousel",18,
Andalouse,18,
place du Carrousel,18,
Carousel,18,
-  Mois,19,
Ma-,19,
-  Moi,19,
.:;;;.e,19,
Freres-Siamois,19,
Cisy 2,20,
Cisy?n,20,
.L,20,
Cisy,20,
rultrapa,21,
trafne,21,
I17,21,
a.-,21,
Culte-,21,
Lyon,21,
Ton,22,
Creton,22,
aNtony,22,
-  Sortons,22,
H,22,
elton,22,
Ln,22,
Blackstone,22,
mediocre,23,
Samedi,23,
diocre,23,
ge,23,
Mondor,24,
Pharamond,24,
Fond,24,
Theodore,24,
Monopole,24,
Saumon,24,
bire,25,
retirez,25,
hire,25,
lemire,25,
Lire,25,
Lamoricire,25,
s6,25,
tapissires,25,
liiIrencc,25,
ILaromiguire,25,
Leurs,26,
voleurslon,26,
t0t. n,26,
leurs101,26,
meurs?n,26,
Fleurs,26,
leuRs,26,
Jouffroy,27,
passage Jouffroy,27,
soufFle,27,
Pondre,28,
IM,28,
rpondre,28,
repondre,28,
Londres,28,
Flandres,28,
prepondrance,28,
Phedre,28,
rue Tronche,29,
e Tronche,29,
rue Transnonain,29,
cida,29,
Amerique,30,
Amerique du Sud,30,
l'Amerique,30,
O0orleans,31,
Orleans,31,
Bac,31,
Orlans,31,
At,31,
ger,32,
b,32,
r6diger,32,
gErard,32,
Auger,32,
gere,32,
Femmes,33,
recemmenf,33,
Flammes,33,
Chateau,34,
Chatelet,34,
Cate,34,
Chateau-,34,
"Chateau-
d'Eau",34,
Chhteauroux,34,
Saint-Valery,35,
Saint-,35,
Saint-Franois,35,
chapelle Saint-Satur-,35,
Saint-Paul,35,
Int,35,
Saint-Pre,35,
Saint-Thomas,35,
Saint-Cloud,35,
Saint-Antoine,35,
quai Saint-Bernard,35,
Saint-Honor6,35,
Saint-Marceau,35,
Saint-Louis,35,
la Saint-Barthelemy,35,
Saint-Germain,35,
"Saint-Satur-
nin",35,
Saint-Nicolas,35,
Saintonge,35,
Mont-Saint-Michel,35,
Saint-Roch,35,
la Cardeuse,36,
la Boardeuse,36,
l'Assem0lee,37,
Classements,37,
passee,37,
Brasseur,37,
el,37,
au-,38,
"au-
res",38,
Gorge-au-Loup,38,
"au-
Tes",38,
Au-,38,
Dessau-,38,
Poissards,39,
Poissarde,39,
Alpes,39,
Frederic,40,
Deric,40,
MIis,40,
Fr6eric,40,
rwanda Frederic,40,
Misericorde,40,
Fr6deric,40,
Fr4deric,40,
T1,40,
Saint-Jacques,41,
A52,41,
rue Saint-Jacques,41,
sAint-Jacques,41,
Jacques,41,
tche,42,
Richelieu,42,
Niches,42,
Psyche,42,
lche,42,
Fr6dic,43,
Fr6lic,43,
Mlichiel,43,
Flic,43,
toi,44,
"dortoir,18
L' i",44,
toil,44,
Toi,44,
Forchambeaux,45,
Ft Forchambeaux,45,
Notre-,46,
