text,cluster,cluster_corrected
China,0,
America,0,
de Portugal,0,
Davenport,0,
Barton,0,
Waterloo,0,
Canada,0,
Portugal,0,
Cumberland,0,
Rose,0,
LEIPZIG,0,
Golden,0,
London,0,
TA,0,
Foolishest,0,
Manchester,0,
Jew,0,
Newson,0,
Death,0,
lOndon,0,
Lancashire,0,
Christ,0,
CALIFORNIA,0,
Helen,0,
n’t,0,
Tellme,0,
Providence,0,
Continent,0,
Sophy,0,
Oldham,0,
New Bailey,0,
beaux,0,
Mrs.!Davenport,0,
Liverpool,0,
Wesse,0,
Skelton,0,
Willows,0,
before’em,0,
Toronto,0,
Blackthorne,0,
England,0,
Alnaschar,0,
the United Stated,0,
Isle,0,
St. Patriot’s,0,
Halifax,0,
Ritling,0,
thou,0,
Sorrowfully,0,
OLDHAM,0,
Glasgow,0,
Yorkshire,0,
Buckinghamshire,0,
"mercy,—he",0,
the Isle of Man,0,
Clem,0,
know-,0,
Richer,0,
wi,0,
Westmoreland,0,
Goptaatt,0,
Fahrmann,0,
Borgia,0,
Old England,0,
Holyhead,0,
inn,0,
chester,0,
the’gown,0,
the John Copper,0,
Thou,0,
