text,cluster,cluster_corrected
Vois,-1,
voﬂà,-1,
Laisse,-1,
approdhæ d‘oilè,-1,
l.lwl\n.vîtl‘l,-1,
Quelque,-1,
Ma1tine,-1,
Ismé-,-1,
Tunesäspeut,-1,
Mélanie,-1,
A demain,-1,
.:;‘J,-1,
mademoiselle,-1,
Sois,-1,
Dfaçon,-1,
conﬁance,-1,
Désirée-des-Anges,-1,
tournai,-1,
cmmn,-1,
La grosse,-1,
trou—,-1,
Castille,-1,
bobo,-1,
manche,-1,
marchais,-1,
m’,-1,
arrê—,-1,
Iosentais,-1,
cestàpeine,-1,
recon—,-1,
porte n’,-1,
com,-1,
quan—,-1,
Tes,-1,
Am&ntiem’,-1,
chmæithcbaæondelîæu,-1,
aœut,-1,
Ahñnﬁpæditpadenœetseœdt‘eæaendiæﬂ,-1,
"ñuﬂnlnnil

.‘l",-1,
Vierge,-1,
n’,-1,
dix—neuf,-1,
W’,-1,
puiselle,-1,
Eﬂerua,-1,
urai,-1,
ﬂanœ,-1,
Iesecouai,-1,
"Marie—
Annee",-1,
bæucoup,-1,
traînéæ transparents,-1,
Marie—,-1,
queie,-1,
annon—,-1,
Orgueﬁleuse,-1,
Châtaigniers,-1,
lingerie,-1,
répon—,-1,
peure—,-1,
Saintes Huiles,-1,
traî—,-1,
"«,-_-",-1,
qu‘au,-1,
hurle—,-1,
appro—,-1,
Es-tu folle,-1,
Es-tu malade,-1,
Maintenant,-1,
brindülæ,-1,
Bﬂcmät,-1,
la Blanche,-1,
É,-1,
I',-1,
Bel-Œil,-1,
reve—,-1,
leuse,-1,
long—,-1,
rappelez—,-1,
"pas
dérmgæœæecäosedivinequiétätsæmp£ed",-1,
jusqu’,-1,
mum-am 75,-1,
Désirée,-1,
Brabant,-1,
Sylvain,-1,
jappe,-1,
fc,-1,
Lg-h.,-1,
heur—,-1,
"13

Parfois",-1,
ﬁxer,-1,
a—,-1,
remarquai,-1,
Eugène,-1,
conﬁer,-1,
Prends,-1,
"mum-am 75

Le vacher",-1,
atæsi,-1,
Rome,-1,
ourhis,-1,
.—œ_—=-o—,-1,
Jeune,-1,
"MARIE—CLAIRE

Maintenant",-1,
rencon—,-1,
beau—,-1,
horpmos,-1,
Méla-,-1,
grosse Mélanie,-1,
aper—,-1,
lors—,-1,
"traî—
nant",-1,
Tiens,-1,
Bibiche,-1,
Elk www,-1,
æuva,-1,
laSainte Table,-1,
Ismérie,-1,
s’,-1,
gran—,-1,
SO MARIE—,-1,
qu’,-1,
ﬁnesse,-1,
Chicon,-1,
tour—,-1,
Aussitôt,-1,
nour—,-1,
Vülevieille,-1,
poche;elle,-1,
Désirée—des—Anges,-1,
Ils’,-1,
m’étaitinœnnu,-1,
bien—,-1,
dési—,-1,
de France,-1,
créa—,-1,
"Eﬂeplumüt
douœment—",-1,
Ien',-1,
mägréungﬂnd,-1,
®hwÿeœäxwàmmmduvükdthiæge,-1,
.—.—.___‘4-4,-1,
La grosse Mélanie,-1,
labou—,-1,
Combien,-1,
E,-1,
restais,-1,
lais—,-1,
noux,-1,
aimais,-1,
Saint—Jean,-1,
appré—,-1,
Marie.—Aimée,-1,
Méanie,-1,
Hier,-1,
Santons,-1,
repren—,-1,
vachœ,-1,
È:.l,-1,
Geneviève,-1,
Ie,-1,
MARIE-CLAIRE,-1,
engage—,-1,
—- Voyons,-1,
grand your,-1,
ser—,-1,
üyadægædæmæpoæra—,-1,
I,-1,
iävais,-1,
bergüe€,-1,
commu—,-1,
jy,-1,
notre Marie-Claire,-1,
château du Gué Perdu,-1,
inﬂiger,-1,
l‘a,-1,
gagea,-1,
chan—,-1,
Paris,-1,
Jaune,-1,
Communs,-1,
Chemineau la Bête,-1,
i‘eqaë‘rais,-1,
puriﬁer,-1,
.,-1,
chauﬁer,-1,
Psadzxyt,-1,
é101gna,-1,
Pauvre,-1,
._,-1,
trous—,-1,
onne,-1,
Vin,-1,
Gué Perdu,-1,
ﬁnit,-1,
Aimée,-1,
teintes chan—,-1,
Iesouﬁraisbeau—,-1,
n—,-1,
"Gué-
Perdu",-1,
Douze,-1,
buis,-1,
Journée,-1,
expri—,-1,
Saint—Iean,-1,
Elkreùtvæsmä,-1,
.-J.‘u,-1,
Marie—Aimée,-1,
nart(1,-1,
mnt,-1,
Voilà,-1,
Marie—Claim,-1,
Martine,-1,
—elle,-1,
supérieure,-1,
regar—,-1,
appar—,-1,
Villevieille,-1,
d’,-1,
miens,-1,
"Gué
Per u.

La petite rivière",-1,
connais—,-1,
suﬁt,-1,
mars—,-1,
atten—,-1,
Cache,-1,
entralna,-1,
la manche,-1,
nam,-1,
mam,-1,
"…-

w.—.—u—-",-1,
le soleil,-1,
indiffé—,-1,
eniamber,-1,
"am 87

fe",-1,
Tirande,-1,
Ville-,-1,
la terre,-1,
Augustine,-1,
"Mﬂh=,mua—,—-",-1,
æsayai,-1,
A,-1,
repous—,-1,
Uninsœnt,-1,
des-Anges,-1,
Eh,-1,
Cobtœ,-1,
Sœur Marie-Aimée lavit,-1,
"Gué
Per u.",-1,
croyais,-1,
vnie,-1,
par-,-1,
comette,-1,
Dæuwwiouœ,-1,
sépa—,-1,
cherchai,-1,
soleil,-1,
dimi—,-1,
‘“-,-1,
ca chœœ,-1,
largœ,-1,
Mlle Maximilienne,-1,
J,-1,
funﬁer,-1,
main—,-1,
vou—,-1,
Ismétie,-1,
._.kn__.,-1,
Anges,-1,
aussi—,-1,
lesfermer,-1,
cher—,-1,
Rouge,-1,
rensei—,-1,
nourri—,-1,
Enﬁn,-1,
blan—,-1,
So—,-1,
enten—,-1,
intri—,-1,
décro—,-1,
—-ü,-1,
agenouülée,-1,
Pourt‘aﬁt,-1,
Tireli,-1,
q]e,-1,
.ne,-1,
trem—,-1,
rir,-1,
"vieille
Bibiche",-1,
"MARIE—CLAIRE 99

Pâques",-1,
alluma,-1,
ques—,-1,
Gaboret,-1,
44 MARIE—CLAIRE,0,
Marie—Claire,0,
24 MARIE—CLAIRE,0,
MARIE—CLAIRE 89,0,
120 MARIE—CLAIRE,0,
30 MARIE—CLAIRE,0,
28 MARIE—CLAIRE,0,
36 MARIE—CLAIRE,0,
54 MARIE—CLAIRE,0,
20 MARIE—CLAIRE,0,
106 MARIE—CLAIRE,0,
48 MARIE—CLAIRE,0,
MARIE—CLAIRE,0,
IO MARIE—CLAIRE,0,
100 MARIE—CLAIRE,0,
40 MARIE—CLAIRE,0,
102 MARIE—CLAIRE,0,
8 MARIE—CLAIRE,0,
Sainte—Montagne,1,
Sainte-Montagne,1,
ri Deslois,2,
Deslois,2,
L’,3,
l’,3,
Désirée—des-Anges,4,
Dosirée—des-Anges,4,
Quelquefois,5,
Quelquefoîs,5,
Saint-Jean,6,
La Saint-Jean,6,
M7jd—:A,7,
—:-‘,7,
i’,8,
I’,8,
j’,9,
J’,9,
.-—v,10,
m”.-$‘.wæw-&,10,
Jour,11,
Jours,11,
Villevieüle,12,
Villevieﬂle,12,
Sologne,13,
Sologne.ll,13,
