text,cluster,cluster_corrected
Mr.,-1,
Exijo,-1,
Í,-1,
Parece-me,-1,
Tenho,-1,
Pedir,-1,
Freixo,-1,
Coitadinhos,-1,
És,-1,
botica,-1,
Guiné,-1,
Fortunato,-1,
Fumar,-1,
Folgara,-1,
velleidades,-1,
ná,-1,
scismava,-1,
Debil,-1,
"XXHI

DIPLOMACIA DO CORAÇÃO",-1,
Formosa,-1,
Hespanha,-1,
Parva,-1,
INGLEZA,-1,
"fi
lha",-1,
"es
cassa luz",-1,
bella de bel-,-1,
Aspirando,-1,
v,-1,
poleiro,-1,
Fa-,-1,
pe-,-1,
Pois,-1,
CR,-1,
céo Florindo,-1,
— Talvez,-1,
Trauteando,-1,
Amaryllida,-1,
Atividade,-1,
d'essa,-1,
"A

Extincta",-1,
Gonçalo,-1,
Rasgue-a,-1,
Fiambre,-1,
Souto,-1,
Guichard,-1,
gingerbeer,-1,
despenseira,-1,
Lembrou-lhe,-1,
"Cata-
ria",-1,
puerilidades,-1,
Entra,-1,
"aquella pos
bre",-1,
pi,-1,
Mostarda... Queijo,-1,
preponderancia,-1,
bom retiro,-1,
Vão com Deus,-1,
saír d'aquelle,-1,
Fecha,-1,
Cumpre-me,-1,
Queira,-1,
Sempre,-1,
attracção,-1,
ci,-1,
Rebecca,-1,
trouxe-m'os,-1,
Bu,-1,
Roast,-1,
Salve-me,-1,
Sem-,-1,
"Eu-
chtersleben",-1,
belgica,-1,
berne,-1,
lenão,-1,
Tegasse,-1,
braza...,-1,
taboa,-1,
Pulos,-1,
attender,-1,
malvasia,-1,
Bispo,-1,
Anel,-1,
Tempestad,-1,
Seça,-1,
Éo,-1,
go,-1,
Virginia,-1,
Bata-,-1,
Whis,-1,
Ecce Deus qui letificat,-1,
ceremonia,-1,
Tableau,-1,
adquiri,-1,
Duvido,-1,
gosar della,-1,
Guntando,-1,
affectuosa,-1,
acanhado,-1,
defeza,-1,
Vôo,-1,
io,-1,
Sim,-1,
analyso,-1,
Prata,-1,
respiraste,-1,
biscuit,-1,
Leio-o,-1,
Marianna,-1,
Supponho,-1,
jury,-1,
proxima,-1,
Batamos,-1,
Ensinando-me,-1,
Meus,-1,
Distin-,-1,
Trapalhona,-1,
Pantheon,-1,
oceano arrojam,-1,
acrimonia,-1,
innocente,-1,
Lembra-me,-1,
America do Norte,-1,
Milton,-1,
Historia,-1,
Vês,-1,
ni Branca applaudiu,-1,
Tr,-1,
Menina,-1,
Corporal Prim,-1,
Verdade,-1,
Gra,-1,
Humana,-1,
pac,-1,
veigas,-1,
terra dos meetings,-1,
Larguem-me,-1,
capellinha do Padrão,-1,
Ha,-1,
Civilisa-te,-1,
Pantagruel,-1,
Lamparina,-1,
tica desta bureaucracia,-1,
Estroinices,-1,
saír d'alli,-1,
Carmo,-1,
Cachimbo,-1,
Felice Romani,-1,
DER,-1,
Josophico,-1,
Laura,-1,
aquella sardonisca,-1,
campinas,-1,
tos do vaso,-1,
Tambem,-1,
Tenha,-1,
m”o,-1,
"Forte tola!

— B elle",-1,
Mand,-1,
Desbarretem-se,-1,
Serio,-1,
la Tais,-1,
Curvei,-1,
Chico da Losã,-1,
Fonte da Vinha,-1,
calembourg,-1,
Ceder,-1,
Q,-1,
sociaes,-1,
Volveu,-1,
Fa,-1,
La,-1,
Es-,-1,
Quarta,-1,
Pano,-1,
Coimbra,-1,
Europa,-1,
UNA FAMILIA INGLEZA,-1,
Mor-,-1,
Carnaval,-1,
Albyon,-1,
Descansa,-1,
De,-1,
Saraus,-1,
Primor,-1,
escossez,-1,
Mos-,-1,
Apoiado,-1,
Manrique,-1,
F,-1,
Pu,-1,
"cisTirasos
Leva...",-1,
B,-1,
Varreram,-1,
Amplo-,-1,
—,-1,
malícia,-1,
Venho,-1,
tranho,-1,
EU,-1,
Fogo,-1,
Consola,-1,
Escriptura,-1,
d'este,-1,
Anciada,-1,
rua de Santa,-1,
Presentimentos,-1,
Jhar,-1,
Achilles,-1,
"insaci

dos",-1,
"andar uni

quella",-1,
Coisa,-1,
bilhetes de beneficio,-1,
S. Pedro,-1,
Assim-Paciá,-1,
paraça,-1,
Inefficaz,-1,
Prezado,-1,
bre do alto das montanhas,-1,
Repito,-1,
Impressionou-,-1,
Delgado,-1,
Pedra Salgada,-1,
proprio Mr.,-1,
Porisso,-1,
Harmental,-1,
Universidade,-1,
lateraes,-1,
Ceil,-1,
vozeria,-1,
00-,-1,
Marino Ligeiro,-1,
Saturno,-1,
Expliquem-as,-1,
Smithfield,-1,
d'elle,-1,
"Singular-
ral oh!",-1,
elle bebe,-1,
Foz,-1,
lisongeiras,-1,
Ostras,-1,
illudia,-1,
Educação,-1,
Cam-,-1,
nhou,-1,
dandoó-lh'o,-1,
Avintes,-1,
Largos,-1,
cida do baile,-1,
Emile Fugir,-1,
cereaes,-1,
Peso,-1,
Divina Comedia,-1,
Inglezes,-1,
Agonia,-1,
atrazado,-1,
Demais,-1,
"serio tam-
bem",-1,
Assignado,-1,
"aguas dos
rios caudalosos",-1,
Allega-,-1,
Serra do Pilar,-1,
cortezias,-1,
Seguimol-a,-1,
lavras,-1,
Ha-,-1,
penha,-1,
póde,-1,
Cacilda,-1,
Eh,-1,
N,-1,
Al,-1,
Ereciheum club,-1,
"Fei-
toria",-1,
orém,-1,
Subia elle,-1,
Ess,-1,
Concilia,-1,
Providencia,-1,
Clementina Alvaro,-1,
V,-1,
Paiz,-1,
Commigo,-1,
Qu,-1,
"Mes
lho",-1,
Polyphemo,-1,
Vil,-1,
Ai,-1,
ã,-1,
"deserto
pio",-1,
Infeliz,-1,
Appellava,-1,
Rua Ferreira Borges,-1,
"pris

XV",-1,
Tola,-1,
"los
gar",-1,
bom Charles,-1,
chavena,-1,
Estranha-me,-1,
v-,-1,
Racine,-1,
Jari,-1,
Milion,-1,
Observava,-1,
Pires,-1,
Brito,-1,
Yorkshire,-1,
Successos,-1,
Espinho,-1,
Jupiter,-1,
apreciar n'aquella,-1,
AGGRAVAM-SE,-1,
Vêem,-1,
Thebaida,-1,
Campo Pequeno,-1,
Guarda-a,-1,
damasco,-1,
Poetico,-1,
permitte,-1,
"phantasia
popular",-1,
"se-
guinte exclamação",-1,
"Ilha dei-
xára",-1,
Chale,-1,
horrorisado,-1,
Vasado,-1,
Persuas,-1,
Quebrantoões,-1,
agatha,-1,
Ficando,-1,
Multic,-1,
nºum,-1,
baixo Peste,-1,
Sena,-1,
bom gentleman,-1,
Grenlei,-1,
Carinhos,-1,
Ma-,-1,
sc,-1,
perenne contentamento,-1,
"si-

a.",-1,
Rua dos Caldeireiros,-1,
Ma,-1,
PUBLICA,-1,
Strech,-1,
do conchego,-1,
Narrativas,-1,
Raspai,-1,
torre de S. Francisco,-1,
PERA,-1,
Ingl-,-1,
Ob,-1,
Lasciva la dona in pace,-1,
exercito da Saia,-1,
Ribeira,-1,
taes momentos,-1,
— Quem,-1,
l-,-1,
Estouvada,-1,
sta ingratidão,-1,
d'antes,-1,
Safa,-1,
lix de vinho,-1,
Pobre Cecilial,-1,
gracejo,-1,
alameda lateral,-1,
villania,-1,
Provas,-1,
vessou,-1,
Butterfly,-1,
perola,-1,
Bonan,-1,
Medroso,-1,
tenue,-1,
Jockey,-1,
phrenesi,-1,
Vae...,-1,
salvador,-1,
lua,-1,
SimAbicapo,-1,
"Queren's The-
tre",-1,
pinheiros,-1,
mathematicas,-1,
morada d'aquella senhora,-1,
rio da Villa,-1,
Ha n'aquelle,-1,
impossivel fa-,-1,
antecedencias,-1,
ran-ville,-1,
peior,-1,
Ocidente,-1,
molestia,-1,
Terceira,-1,
commiseração,-1,
"v-

rias particularidades",-1,
Nem,-1,
Faço,-1,
estrada do Padrão,-1,
Lados da Cruz da Rasteira,-1,
Abeillard,-1,
Aposentos,-1,
indec,-1,
Cosme Villas-boas,-1,
Atilas,-1,
Australias,-1,
Trazida,-1,
UMA-FAMILIA INGLEZA,-1,
Receio,-1,
Depressa,-1,
sé,-1,
Inglesa,-1,
Cito,-1,
Pôe,-1,
mutua,-1,
Fiz-te,-1,
Pó,-1,
Irei,-1,
tunos,-1,
y,-1,
Julga-me,-1,
"tos
biographia",-1,
eflicacia delle,-1,
gaia casa theatro,-1,
Rego Lameiro,-1,
Mel,-1,
Agradecida,-1,
Sinto,-1,
Passos,-1,
Tibre,0,
bre,0,
RE,0,
funebre,0,
lugubre,0,
Pr,0,
Abre,0,
pre,0,
Paulo,1,
Pobre Paulo,1,
Pobre,1,
Reparem,2,
Reparo,2,
Preparava-se-lhe,2,
Repara,2,
Praça de,3,
Praça,3,
Praça?,3,
Praça com-,4,
Praça Commercial,4,
commerciaes,4,
Rara,5,
Amparar,5,
Rar,5,
Raras,5,
"Cara
Jos",6,
Cara,6,
"Cara
los",7,
"Cara
los 0",7,
Car-,8,
"Car-
Jos",8,
Merc,9,
mercio,9,
Cerco,10,
"57

Exercera",10,
Com-,11,
com-,11,
camara,12,
camarim,12,
Mara-,12,
Alegre,13,
Alegrar,13,
Ande,14,
Shandeismo,14,
Grande,14,
lettra grande,14,
lettras,14,
Anda,15,
Hollanda,15,
Branda,15,
Manoel,16,
Mano,16,
Manoel Quentes,17,
Manoel Que-,17,
"Manoel Que-
tino",17,
"Manoel Que-

tino",17,
Quente,18,
nol Quente,18,
Alexandria,19,
André,19,
Bra,20,
Bra-,20,
Braga,20,
ora-,21,
Ágora,21,
Branca,22,
ni Branca,22,
Mr. Branca!,23,
Mr. Branca —,23,
Mr. Branca,23,
Porque Mr. Branca,23,
"escrit=
Patria de Mr. Brincar",24,
Mr. Brincar,24,
"|

Mr. Brincar",24,
Mr. Brincar Whitestone,24,
"Car-
los Whitestone",24,
Brincar,24,
Osjogos,25,
Jos,25,
Cujos,25,
beijos,25,
Horas de Ocio,26,
Horas,26,
Senhor,27,
penhore,27,
Senhora,27,
Venham,28,
Venha,28,
punhaes,29,
Nha,29,
a-,30,
pa,30,
Pa-,30,
Pa,30,
Adivinhas,31,
Adivinha,31,
Vinha,31,
Adivinho-o,31,
aía,32,
Sa,32,
Saíu,32,
sa,32,
taes estados,33,
taes,33,
caes,33,
Taes,33,
quaes,34,
habituaes,34,
Comquanto,35,
Qual,35,
Quan,35,
"tis
nha",36,
Mist-,36,
"ti-
nha",36,
"mis
nisto",36,
"mis
nha cara",36,
"mis
nha",36,
"|
Antonia",37,
Santo Antonio,37,
Antonia,37,
io santo,37,
"Tanto-
nia",38,
Tanto-,38,
Dºesta,39,
Estações,39,
nºeste,40,
Nºeste,40,
Peste,41,
Vieste,41,
Estás,42,
Estiveste,42,
Estive,42,
Es,43,
es=,43,
es,43,
ES,43,
es|,43,
Des,44,
desviei,44,
podérdes,44,
ade,45,
Adeus,45,
Er,46,
ER,46,
Serão,47,
Ser,47,
Servida,48,
Servi,48,
N'esse,49,
Nºesse,49,
Succeder-lhe-hia,50,
succedeu,50,
Morena,51,
serena,51,
Pena,52,
"fe

Apenas",52,
Pennor,53,
penna,53,
Esteiro,54,
Campanhã,54,
"Esteiro de
Campanhã",54,
Tinhamos,55,
Joséfinha,55,
Josétinha,55,
Josefinha da Agua-benta,56,
Joséfinha da Agua-benta,56,
Agua-benta,56,
Quça,57,
Quçamos,57,
Vamos,57,
PERPATAmaO,58,
Matam,58,
dega,59,
Ega,59,
Socega,59,
zes-me,60,
Dize-me,60,
Dizes-te,60,
Dizes-me,60,
Que-me,61,
Vae,61,
Vae-me,61,
Quereria,62,
Queres,62,
Quer-me,62,
Quero,62,
bar-me,62,
Querem,62,
St,63,
st,63,
Pausa,64,
Causava,64,
Maus,64,
Paus,64,
"ca-
minho",65,
dóminó,65,
Minho,65,
Caminho,65,
Areinho,66,
Reino,66,
quasi,67,
Quasi,67,
Sóentão,68,
Ent,68,
Trai,69,
traiçoeira,69,
tra,69,
Ultra,69,
la rai,70,
Trai la rai,70,
interrogadoramente,71,
mamente,71,
Effectivamente,71,
interrompia,72,
Rompia,72,
ámanhã,73,
Ámanhã,73,
Amanhã,73,
Cavalinho,74,
Cava,74,
Ficava,74,
Princ-,75,
Principiava,75,
Principio,75,
Barbaro,76,
ba,76,
"Porto
e Madeira",77,
Madeira,77,
Porto,78,
Porto mu-,78,
sôfrega curiosidade,79,
Ociosidade,79,
valle,80,
Falle,80,
allemães,80,
Fallára,80,
Fallam,81,
Falla-me,81,
Bria,82,
Ria,82,
Daria,82,
sorrisos,83,
sorri,83,
Morria,83,
Sabem,84,
Saberia,84,
commover,85,
"d'esta
commovente",85,
Commoveu-a,85,
"passára
alli",86,
pallido,86,
alli,86,
"A
Lido",86,
N'aquelle,87,
m'aquelle,87,
n'aquelle,87,
aquelle,88,
Aquelle,88,
nºaquelle,88,
Aquellas,89,
Aquella,89,
Ellas,89,
aquella,89,
nella,90,
"|
Janella",90,
"a-
nella",90,
elle,91,
elleês,91,
nºelle,92,
nºella,92,
casa d'elle,93,
casa delle,93,
cancella,94,
Cellaço,94,
prova d'isso,95,
casa d'isso,95,
idade d'isso,95,
d'isso,95,
baixo das janellas,96,
valle das duas janellas florescia,96,
Excellente,97,
Excellentissima,97,
Cedofeita,98,
bairro de Cedofeita aquelle,98,
contrahida,99,
Contrastava,99,
em Portugal,100,
Portugal,100,
communs,101,
Communicaram,101,
appari,102,
Paris,102,
Raparigas,102,
Foscaris,102,
Dê-lhe,103,
Deem-lhe,103,
Acho-lhe,103,
Ya-lhe,103,
Peço-lhes,104,
— Peço-lhe,104,
— Olhe,105,
Olhe,105,
Olhem,105,
Escolheu,105,
Olha,106,
folha,106,
alto da folha,106,
Sevilha,107,
Ilha,107,
Aonde,108,
Responde-me...,108,
Onde-,108,
suggerir,109,
Etegeria,109,
Parte,110,
Partira,110,
Partirem,110,
Tira,110,
Admira,110,
Douro,111,
Verduras,111,
doura,111,
severo Douro,111,
sonhos dourados,111,
Mouras,111,
Thereza,112,
Xerez,112,
Timas,113,
tilissimas,113,
Valle de lagrimas,114,
lagrimas,114,
Tens,115,
Vens,115,
te,115,
Tens-te,115,
Vate,116,
Bate,116,
Antevejo,117,
Tejo,117,
Est of Enganar,118,
Enganar,118,
Enganas-te,118,
Moraes,119,
Coragem,119,
coraes,119,
Rica,120,
America,120,
Africa,120,
Dica,120,
Norte,121,
do Norte,121,
Forte,122,
"Fortes
edi",122,
Forte-,122,
Cários,123,
Furioso,123,
Varios,123,
Diario,123,
commentarios,123,
sílios,123,
Prompto,124,
SYMPTOMAS,124,
Promptos,124,
Assumptos,125,
assumptos,125,
Assumpto,126,
assumpto,126,
joven,127,
Padre,127,
Padre-nosso,127,
joven padre,127,
Padrão,127,
estrada de cima,128,
estrada da Foz,128,
andar de cima,128,
Expatria,129,
Marcha,129,
patriarchal,129,
Paciência,130,
Impaciente-me,130,
impaciencia,130,
"re-
sciencia",130,
lencia,131,
