text,cluster,cluster_corrected
YISEON,0,
IL,0,
raccommoda,0,
GHATEAË DE,0,
Ga-,0,
noîre,0,
sur-le-champ,0,
Rentrée,0,
Anizy,0,
croisée,0,
N E,0,
Jo-,0,
Bussy-La-,0,
Cossé,0,
Parfaitement,0,
Nsetut,0,
château d'Anizy,0,
Argus,0,
Trouvez-,0,
Tout-à-coup,0,
Venez,0,
Jaquais,0,
continua-t,0,
Allons,0,
Flandre,0,
Derrière,0,
mademoiselle,0,
LE,0,
Roï,0,
Le - Une,0,
assassm,0,
M. de Bussy,0,
"M. de
Bussy",0,
Chaïlés,0,
"Cour de France dans.le vieux
château de François",0,
el,0,
pIXON,0,
subjügüer,0,
Prononcez,0,
auberge de Saint-Gabriel,0,
Villers-Cotterets,0,
AS,0,
J2À.,0,
verroux,0,
dePinon,0,
Etle,0,
"Ma-

138 LE CHATEAU DE PINON",0,
s’,0,
Cy,0,
—- J',0,
sès,0,
Émineñce,0,
CHÂTEAU DE PINON,0,
"| -
Vers le soir la comtesse",0,
Bourgogne,0,
piers,0,
Albret etle,0,
verras,0,
Cour de France,0,
feuse,0,
CHATEAU DÉ PINON,0,
CHATÉAU,0,
Pignerol,0,
GEAR,0,
"Cr

66",0,
cousine ger-,0,
Abbesse,0,
Quoiqu,0,
Rochetort,0,
Ïl,0,
Faut,0,
Mademoiselle,0,
Orléans,0,
Dangeau,0,
"Écu

de France",0,
Noyon,0,
mmaudant,0,
Ia,0,
Partez,0,
CHATEAU DE,0,
Jui,0,
Yage,0,
iesse,0,
Etqu,0,
sion,0,
J',0,
Iln',0,
selle,0,
château d’Anizy,0,
baïlli,0,
supporterai,0,
Bre,0,
Eh,0,
St,0,
sallon,0,
Na-,0,
GHAÏEAU DE BINON,0,
Etil,0,
Etsi,0,
"Haï-
val",0,
Dubois,0,
CHATEAU DE PINON,0,
ef,0,
Croyez-,0,
Sire,0,
Clany,0,
allät,0,
Char-,0,
Îl,0,
moiselle de Roucy,0,
Mothe,0,
aimais,0,
matu,0,
Voilà,0,
"AI-

bret",0,
Sis=,0,
La!comtesse,0,
"I ee

Ô",0,
Carrousel,0,
Jamais,0,
Saint-Jean-d'Acre,0,
CHATEAU DE PIFON,0,
"237

— Encore",0,
perle,0,
Attends,0,
fallüt,0,
Cest,0,
CHATEAU DE BINON,0,
Couey,0,
Villers-Cotierets,0,
brielle,0,
Lassée,0,
toul,0,
M. de Roucy,0,
nemie,0,
PEL TE,0,
LT Pas,0,
château de Fayel,0,
moi,0,
TE Se,0,
qu’,0,
vêque,0,
Chapelain,0,
Mortagne,0,
Comment,0,
Allemagne,0,
c1,0,
sou,0,
P,0,
D,0,
sais,0,
Väimera,0,
Lejeune,0,
nature.de,0,
Courval,0,
Enfer-,0,
Ï,0,
gie,0,
Rémond,0,
Made-,0,
Vousprendrez,0,
maine,0,
Tarenie,0,
span,0,
Comrient,0,
Picarde,0,
Cédéz,0,
SOISSONS,0,
Garde-moi,0,
rendré,0,
A TE,0,
Etils,0,
Rou-,0,
Lameth,0,
Céries,0,
DO,0,
rémonie,0,
Venise,0,
Gardez,0,
June,0,
proménade,0,
Ajoutez,0,
Tcielle,0,
"75

Ilsortit",0,
Choïisissez-en,0,
Hement,0,
PINON,0,
Îls,0,
|,0,
ES,0,
Vois,0,
ladie,0,
Louis-le-Grand,0,
Fiesque,0,
meuré,0,
CU,0,
Tours,0,
Grois,0,
Bohémiens,0,
Noñ,0,
tonnelle,0,
sailles,0,
Majesté,0,
Rochefort,0,
Lauzun,0,
Thurin,0,
Villeroi,0,
LE CHÂTEAU DE PINON,0,
jura,0,
Comptez,0,
jéunesse,0,
Choi-,0,
Saint-Quentin,0,
Ursulines de,0,
Devinez,0,
arquebuse,0,
PINON.-,0,
blis,0,
"auberge

de la Croix-Blanché",0,
PINOX,0,
Fontainebleau,0,
bure,0,
Heudicourt,0,
Mothe-Houdancourt,0,
Lamibeït,0,
sine,0,
Louison,0,
Quincy,0,
Soyons,0,
Craignez,0,
confianée,0,
Ver-,0,
Îles,0,
Î,0,
Ansizy-le-Châtel,0,
riette,0,
la France,0,
dence,0,
nôus,0,
Monsei-,0,
couvent des Ursulines,0,
Tonnay-Charente,0,
AÀ,0,
Providence,0,
"com-

-

tesse",0,
Cavois,0,
CHATEUA DE PINON,0,
Comprendre,0,
Desmonté,0,
Sais-tu ce,0,
"Hon-

grie",0,
houx,0,
Mademoiselle de Roucy,0,
mérveille,0,
Ma-,0,
Beaupré,0,
CHATEAU,0,
Écu de France,0,
Causa,0,
soleil,0,
Aixin,0,
La Vallière,0,
jardin des Hespérides,0,
125,0,
postillon,0,
ae Ven nae,0,
Roucy,0,
b59,0,
Delette,0,
Soissons,0,
Henrietie,0,
Ja-,0,
pagna,0,
Versailles,0,
Mets,0,
SOINS,0,
étre,0,
tourménter,0,
Ellé,0,
Paris,0,
adorable Hen.,0,
Hautefort,0,
AE,0,
Croix-Blanché,0,
Madainè,0,
Piéhard,0,
Lanissecourt,0,
nir,0,
longues,0,
Croïx-Blanche,0,
Pi-,0,
Oui,0,
Louis-le-Gros,0,
vis-à-,0,
perlé,0,
Je,0,
Jé,0,
1l,0,
homrie,0,
"mys-
Bre",0,
gne,0,
nel,0,
Pa-,0,
Mesdemoiselles,0,
"énée

L

des mains",0,
Henriette,0,
Ilaura,0,
Grois-tu,0,
Aniy,0,
Bouvines,0,
Couëy,0,
Savez,0,
Peur,0,
Avez,0,
Estrées,0,
Journée,0,
Normandie,0,
CHATAU,0,
abbaye de Prémoniré,0,
miens,0,
Lavallère,0,
Fr,0,
Cerbères,0,
quellesil,0,
Où voulez,0,
TR,0,
Bussy,0,
RL,0,
France,0,
Conscience,0,
Acceptez,0,
Coucy,0,
Lam-,0,
"Sis-
I",0,
Picardie,0,
HE,0,
"château
de Versailles",0,
Chavignon,0,
lüi,0,
Ÿ,0,
CHATTAU DE PINON,0,
Klle,0,
Hennecourt,0,
CHATEAU DE PENON,0,
Larneth,0,
Adien,0,
avac,0,
Jen',0,
"théâtre de
Corneille",0,
Îlme,0,
Rhin,0,
Fépondre,0,
Séulemiënt,0,
Suivrez,0,
Cour,0,
"Bussy
d'Amboise",0,
Écoutez,0,
chambre de mademoiselle de Roucy,0,
Fêtre,0,
tyranme,0,
moiselle,0,
Am-,0,
passe-t-1l,0,
"ON ee mere

ee age me

126 LE CHATEAU DË PINON",0,
Moyenbrie,0,
vienne,0,
Champagne de Navarre,0,
Retz,0,
po,0,
dese,0,
Houx,0,
palais de la reine,0,
d’,0,
Passionnément,0,
E,0,
Lambertremit,0,
Maintenant,0,
Cr,0,
Où,0,
Cherche,0,
Plût,0,
terie,0,
léur,0,
I,0,
château de Versailles,0,
séduire,0,
au-,0,
m’,0,
Lamethr,0,
Pas,0,
Henneite,0,
gesie,0,
Lil,0,
As-tu parlé,0,
Maures,0,
Anisy,0,
pp ee Emme,0,
"49

Vallière",0,
plir,0,
Demandes,0,
Manquerai,0,
tour,0,
LE.CHATFAU,0,
Corcy,0,
lout,0,
"repliqua Pi-

326",0,
Nousdemeureronstouteslesdeux,0,
Estrée,0,
galantin,0,
Carmélites,0,
Albret,0,
NH,0,
Surveillée,0,
Sissone,0,
Adorable Charlotte,0,
Ramasse,0,
écuriés,0,
t’,0,
LÉ,0,
Champagne,0,
Is,0,
Bussy-Laméth,0,
Ursulines,0,
chard,0,
Terre-Sainte,0,
Aucunes,0,
FautAl,0,
La Mothe,0,
Bussy-Lameth,0,
selle de Roucy,0,
Quelle,0,
chavannes,0,
rue Saint-Honoré,0,
crièreni-elles,0,
Fayel,0,
j’,0,
Cœur-de-Roy,0,
pälissant,0,
Imsensée,0,
sayez,0,
Grâces,0,
Ilen,0,
Laon,0,
"place de Jo-

guet",0,
Espagne,0,
| Pauvre,0,
Pinon,0,
de France,0,
M,0,
vingtans,0,
carioledeM. Cœur-de-Roy,0,
Voyez,0,
Lopison,0,
AIMÉE JUSQU'A LA MORT,0,
CHATEAU DE PIKON,0,
