text,cluster,cluster_corrected
J'hitachi,-1,
I,-1,
Tn,-1,
J'ai 1'il,-1,
W,-1,
N5,-1,
E,-1,
Es,-1,
ar-,-1,
champs de ble,-1,
ri Deslois,-1,
S5,-1,
peaUsserie,-1,
Istrie,-1,
voila Henri,-1,
deput,-1,
Disposer,-1,
"P S
D or",-1,
S,-1,
crmonie,-1,
expatri,-1,
Eugene,-1,
IM,-1,
M,-1,
I',-1,
passee,-1,
J',-1,
G,-1,
repara,-1,
Vin,-1,
garons,-1,
Bichkek,-1,
A,-1,
le soleil,-1,
S-,-1,
Pas tres,-1,
hesita,-1,
cognac,-1,
Augustine,-1,
"I
R",-1,
Rome,-1,
z=,-1,
cambrai,-1,
ainsi.r,-1,
Josai,-1,
Cache,-1,
menara,-1,
F,-1,
Sois,-1,
e,-1,
Bitche,-1,
Acheminer la Bete,0,
Acheminer,0,
leuse,1,
Orgueilleuse,1,
Acheminer l'Orgueilleuse,1,
reveillon,2,
IL,2,
Villevieille,2,
ILl,2,
Castille,2,
Ville-,2,
Bel-Il,2,
Gabrielle,3,
poche;elle,3,
Brioche,3,
precher,4,
bucheron,4,
pimbeche,4,
la manche,5,
manche,5,
Blanche,6,
la Blanche,6,
Premiere,7,
Apres,7,
M.Alphonse,8,
Danses,8,
Quelque,9,
Paques,9,
Quelquefois,9,
Desire-des-Anges,10,
Direct-des-Anges,10,
Desire-,10,
Saintes Huiles,11,
h saInte,11,
Sainte-Montagne,11,
La Saint-Jean,12,
Saint-Jean,12,
Saint-jean,12,
Vierge,13,
.Hier,13,
ger,14,
ge,14,
Ismerie,15,
Merci,15,
lingerie,15,
superieure,15,
"mer
Colas",16,
mer Colas,16,
Agathe,17,
nuages.a6,17,
gagea,17,
Pugne,18,
Sologne,18,
Parfois,19,
Paris,19,
buis,20,
Is,20,
voyais,21,
aimais,21,
Soeur Marie-Aimee,22,
arie-Aimee,22,
Marie-Aimee,22,
Maie-Aimee,22,
Aimee,22,
mee,22,
CARIB-CLAIRE,23,
mainMISE-CLAIRE,23,
notre Marie-Claire,23,
Marie-Claire,23,
clare,24,
delaware,24,
etais,25,
Jetais,25,
.'avais,26,
Javais,26,
c6te,27,
tete,27,
arrete,27,
"ma
tete",27,
tournai la tete,27,
betes,28,
Bete,28,
bete,28,
Madeleine,29,
Ad2le,29,
paule,29,
"L,-lE",29,
-L,29,
poele,30,
Noel,30,
Ronique,31,
Chronique,31,
Combien,32,
miens,32,
Communs,32,
alluma,33,
Malgre,33,
pre Chicon,34,
Chicon,34,
vecu,35,
piece,35,
chataignier,36,
Chataigners,36,
Lanie,37,
Melanie,37,
grosse Melanie,38,
La grosse Lanie,38,
grosse Lanie,38,
de France,39,
Tirande,39,
grace,39,
obeir,40,
bobo,40,
"II

S",41,
"II

l",41,
II,42,
"II
IIIIIII
YA",42,
Douze,43,
"EZEKIEL I.

ze",43,
"Gue
Perdu",44,
Gue Perdu,44,
chateau du Gue Perdu,44,
