text,cluster,cluster_corrected
"Sis— 
Sis— de là j'intenterai",-1,
I,-1,
Crois-tu,-1,
Cœur-de-Roy,-1,
Villers-Cotterets,-1,
Plût,-1,
Quincy,-1,
Pas,-1,
bibliothèque.-,-1,
Faut,-1,
Desmonté,-1,
Sire,-1,
MM,-1,
Carrousel,-1,
Rentrée,-1,
vis-à vis de vous,-1,
Venise,-1,
galantin,-1,
Haïval,-1,
Hongrie,-1,
Persistez,-1,
As-tu parlé,-1,
Grignan,-1,
Navarre,-1,
Cercle,-1,
Fayel,-1,
Croix-Blanche,-1,
Quatre,-1,
Lauzun,-1,
houx,-1,
M,-1,
Bouchavannes,-1,
mademoiselle de la Vallière,-1,
Tout-à-coup,-1,
J',-1,
jardin des Hespérides,-1,
Bourgogne,-1,
sire de Coucy,-1,
Ramasse,-1,
supporterai,-1,
Voilà,-1,
Moyenbrie,-1,
Dangeau,-1,
Albret,-1,
Gabrielle,-1,
Derrière,-1,
Carmélites,-1,
Fontainebleau,-1,
A,-1,
Laon,-1,
Mets,-1,
Voyez,-1,
M. de Roucy,-1,
Grâces,-1,
Eh,-1,
Inconséquence,-1,
Cerbères,-1,
Abbesse,-1,
perlé,-1,
Normandie,-1,
Maures,-1,
laquais,-1,
Venez,-1,
Bussy d'Amboise,-1,
Pauvre,-1,
Fiesque,-1,
Pons,0,
Attendons,0,
Attends,0,
Sissone,1,
Soissons,1,
Roucy de Sissone,1,
Coucy,2,
Roucy,2,
mademoiselle de Roucy,3,
chambre de mademoiselle de Roucy,3,
Mademoiselle de Roucy,3,
Mesdemoiselles,4,
mademoiselle,4,
Lavallière,5,
Vallière,5,
La Vallière,5,
M. de Bussy,6,
Bussy,6,
Lameth,7,
Bussy-Lameth,7,
Lanissecourt,8,
Hennecourt,8,
Courcy,8,
Corcy,8,
Heudicourt,8,
Cour,8,
Mothe-Houdancourt,8,
La Mothe,9,
Mothe,9,
Tours,10,
tour,10,
Cour de France,11,
Écu de France,11,
France,12,
la France,12,
Ajoutez,13,
Écoutez,13,
Ursulines de Laon,14,
Ursulines,14,
palais de la reine,14,
couvent des Ursulines,14,
Devinez,15,
Bouvines,15,
Gardez,16,
Cédez,16,
Picarde,17,
Picardie,17,
Acceptez,18,
Comptez,18,
Partez,19,
Paris,19,
Comment,20,
Parfaitement,20,
Vraiment,20,
AIMÉE,21,
aimais,21,
Sais-tu ce,22,
sais,22,
Rochefort,23,
Hautefort,23,
Cherche,23,
Flandre,24,
Clany,24,
Saint-Quentin,25,
rue Saint-Honoré,25,
Saint-Jean-d'Acre,25,
Maintenant,26,
Terre-Sainte,26,
Interrogez,26,
auberge de Saint-Gabriel,27,
auberge de Chavignon,27,
Chavignon,27,
tonnelle,28,
Quelle,28,
Rhin,29,
Aixin,29,
Thurin,29,
Prononce,30,
Pinon,30,
Providence,30,
Noyon,30,
château de Fayel,31,
château de Versailles,31,
Versailles,31,
château d'Anizy,32,
Anizy,32,
parc d'Anizy,32,
Ansizy-le-Châtel,33,
Mortagne,33,
Deschamps,33,
Allemagne,33,
Champagne,33,
Espagne,33,
sur-le-champ,33,
Tonnay-Charente,34,
Tarente,34,
Estrées,35,
Estrée,35,
Est,36,
Majesté,36,
Craignez,37,
Pignerol,37,
jura,38,
Peur,38,
Chapelain,39,
cela.—,39,
Henriette,40,
Delette,40,
Rémond,41,
abbaye de Prémontré,41,
forêt de Prémontré,41,
hauts-de-chausses,42,
rez-de-chaussée,42,
Lassée,43,
Cossé,43,
Avez,44,
Savez,44,
Louison Beaupré,45,
Louison,45,
Oui,45,
Beaupré,45,
Louis-le-Gros,46,
Louis-le-Grand,46,
Surveillée,47,
soleil,47,
Bohémiens,48,
miens,48,
