text,cluster,cluster_corrected
Courbée,-1,
après-midi-molles,-1,
barcarolle,-1,
Réfléchis,-1,
baie du houx,-1,
Attentive,-1,
Mont-Valérien,-1,
Îl,-1,
vinigt,-1,
Venez,-1,
Grèce,-1,
Rome,-1,
Ispahan,-1,
Messine,-1,
Pun,-1,
gènés,-1,
Cela l’,-1,
Tsolée,-1,
tristesse de l’,-1,
m'’asseoir,-1,
Jui,-1,
tersps,-1,
Île,-1,
Va-t’'en,-1,
Âl,-1,
conñu,-1,
Égypte,-1,
Xenri,-1,
jura,-1,
Je t’,-1,
ia,-1,
Nancy,-1,
du Louvre,-1,
Sapho,-1,
Hollande,-1,
Je l’,-1,
Moi aussi,-1,
Les,-1,
Bohême,-1,
Chantez,-1,
veules,-1,
Jérôme,-1,
Trocadéro,-1,
accablée,-1,
Bengale,-1,
gare tintante,-1,
jeun,-1,
blables,-1,
s’,-1,
Sèvres,-1,
de Saxe,-1,
colombes,-1,
CU,-1,
Penché,-1,
d’,-1,
Ï,-1,
Lausanne,-1,
Alsace,-1,
U,-1,
rue n’,-1,
immense,-1,
l'Espagne,-1,
Î d'air,-1,
Hostile,-1,
Allemagne,-1,
Partez,-1,
i’,-1,
Versailles,-1,
Étonnante,-1,
A,-1,
Vienne,-1,
alourdie,-1,
Bois de Boulogne,-1,
tranquille,-1,
boules-de-neige,-1,
Saint-Cloud,-1,
bu-,-1,
RER,-1,
N',0,
j’,0,
È,0,
V’,1,
A1,1,
lüi,1,
E,1,
I,1,
Î,1,
Mèke,1,
F,1,
qéi,1,
ué,1,
e,1,
Où,1,
D,1,
Œ,1,
T1,1,
K,1,
É,1,
xl,1,
Ü,1,
mà,1,
Ïl,1,
Manuscrits,2,
SC,2,
Pet Noagrnr,3,
Noûs,3,
FL ms Mn Fais À,4,
"LUS

méga

 

Î",4,
Atlas,5,
ceiffé,5,
sim,5,
Cetie,6,
cetle,6,
nervosités,7,
Ja rvolupté,7,
Votidraient,8,
voudrais,8,
s’'écoulaient,8,
goudron,8,
mouvanies,9,
l’'émouvant,9,
mer froide,10,
mer d’Azow,10,
mer d’,10,
Loire,11,
rOSOIr,11,
cymbalaire,11,
Bruyères,12,
Ja,12,
château des Bruyères,12,
Italie,13,
Italien,13,
d'Italie,14,
l'Italie,14,
Forbier,15,
Peffort,15,
Fabien,15,
EF,15,
"ra

-

62",15,
Ca,16,
Grenade,16,
ca,16,
|eoup,17,
Soupirs,17,
Mossoul,17,
véts,18,
Dété,18,
Eiie,19,
Joie,19,
joiie,19,
ii,19,
Anatolie,20,
Jolie,20,
Tolède,20,
de-Philippe,21,
Philippeun,21,
Philippé,21,
État,22,
fl+,22,
TA,22,
Ee,22,
Crétait,22,
Los Rs,23,
Rs,23,
rs,23,
Âlors,24,
Jorsqu,24,
"rue Jean-
Bart",25,
rue Jean-Bart,25,
menthe,26,
Corinthe,26,
Quittez,27,
Muette,27,
Quelquefois,28,
bouquets,28,
trefois,28,
Quelque,28,
Quelqu,28,
Docteur,29,
Wurtemberg,29,
l’heure,30,
Pheure,30,
Sois heureuse,30,
Asie Mineure,30,
Suisse,31,
Laisse,31,
Anglais,31,
plais?r,31,
Jouissait,31,
Tais-toi,32,
Voix,32,
vois-tu,32,
Que veux-lu,33,
Que vas-tu,33,
Veux-tu,33,
Obstinée,34,
Dauphiné,34,
Buiné,34,
Phi-,34,
Clichy,35,
Michelet,35,
Apaisée,36,
japonais,36,
sée,36,
Assise,37,
massif de myosotis,37,
Pas,38,
Passy,38,
m'’aimais,39,
Jemais,39,
He,40,
rudes£e,40,
Indes,40,
tudes,40,
sbrtir,41,
bruni,41,
ambbr?-,41,
Br,41,
brove,41,
Elseneur,42,
chamt,42,
Dépuis,43,
Pomone,43,
Berlin,44,
Be,44,
J'ai Pierre,45,
Pierre,45,
Piérre,46,
Dérrière,46,
de France,47,
Île visage de,47,
la France,47,
Collège de Frar,47,
t’,48,
Tut’,48,
UT,48,
crainie,49,
curinie,49,
Curieuse,49,
térieux,49,
Bourgogne,50,
Luxembourg,50,
Faut,51,
Vautl,51,
Fheauté,51,
Au-,52,
Auf,52,
au’,52,
gesie,53,
toisie,53,
Rouen,54,
Rous-,54,
Cousin,55,
Cordoue,55,
"pre=. |
is",56,
iäis,56,
Is,56,
l’,57,
L’,57,
besogne,58,
besogne nobiliaire,58,
Pologne,58,
Dans l’,59,
dañs l’,59,
Marsan,60,
Mersan,60,
par-,61,
Paris,61,
mar-,61,
Dépêchez,62,
moüstache,62,
Pourquoi l’,63,
Pour-,63,
Ji l’,63,
qu’,64,
quoiqu’,64,
Qu’'y,64,
jardin des Vosges,65,
jardin de l’,65,
Vosges,65,
sälon,66,
Voyons,66,
Salon,66,
Allons,66,
boiserie,67,
Bois,67,
l'Oise,68,
Oise,68,
Werther,69,
fächerie,69,
cher,69,
Herri,70,
Hermione,70,
rue de Tournon,71,
Tournon,71,
rue de l',71,
Ancienne-Comédié,72,
rue de l'Ancienne-Comédié,72,
Rentrée,73,
Régent,73,
Agrigente,73,
Genève,73,
Rozée,74,
Rorée,74,
Ellé,75,
Tyrol,75,
Pallée,75,
tine,76,
coñtinence,76,
Madémoisèlle,76,
Florence,76,
Säbine,76,
-en,77,
leni,77,
Sentez,78,
Entendez,78,
Anzin,79,
ñn’,79,
main,80,
maine,80,
Tourainé,81,
Touraine,81,
Montez,82,
Ponte,82,
deFontenay,83,
Fonteray,83,
Fontenaÿ,83,
tenay,83,
Fontenay,83,
Ilse,84,
hoïnmes,84,
Ferney,85,
tomne,85,
lune,86,
jéune,86,
vieill--,87,
vieillissanie,87,
"oo

 

LA NOUVELLE",88,
Kouvelle,88,
NOUVELLE ESPÉRANCE,89,
"Pa

 

LA NOUVELLE ESPÉRANCE 275

”",89,
LA NOUVELLE ESPÉRANCE,89,
t’habiller,90,
hirondelle,90,
veines,91,
Seine,91,
la Seine,91,
de la Seine,91,
Seine bleue,91,
Eile,92,
soleil,92,
bôñne,93,
NE,93,
Kane,93,
Vil,94,
VI,94,
IL,94,
Di,95,
je‘diîne,95,
Hérelle,96,
Appelle,96,
suelle,96,
"ii

Elle",96,
Séville,97,
gr 5eille,97,
Suresnes,98,
Gênes,98,
ES,99,
fes,99,
Es,99,
Jourd,100,
Bonjour,100,
élle,101,
Ælle,101,
talle,102,
Allez,102,
Alle,102,
Îles jours,103,
"45

Jours",103,
Ileest,104,
Ilest,104,
Est,105,
Cest,105,
Naples,106,
ples,106,
Îles s’,107,
Re Îles,107,
Îles,107,
