text,cluster,cluster_corrected
Autriche,0,
autriche,0,
leresle,1,
gsle,1,
les letlres,1,
Tuileries,1,
Angleterre,1,
aeugle,1,
inlerels do l'Est,1,
sln',1,
fleuree,1,
colere,1,
leslevres,1,
volers,1,
lAnglelerre,1,
Lendres,1,
got,2,
p6-,2,
Gothard,2,
gota,2,
Neue-es-,3,
nesiue,3,
aueun,3,
ieuesso,3,
ne-,3,
Neuve-des-Ma-,3,
pingeuieues,3,
ru-es,3,
subjugues,3,
Dauphin,4,
Phi-,4,
Dauphine,4,
Vandenesse,5,
Wandenesse,5,
Vande-,5,
la Havane,5,
send ssne st l piiei,5,
comtesse de Vande-,5,
bandenne,5,
Yandenesse,5,
Vandenessse,5,
Io monet rexr ao vndenese30,5,
gondesse,5,
aoul,6,
vroulut,6,
Raoul,6,
ouloir,6,
toul,6,
bult,6,
Iaoul,6,
Raooul,6,
vOulez,6,
suls,6,
Raouil,6,
Coulis-,6,
Mulhouse,6,
Marsay,7,
SAYARU,7,
Ayg,7,
Gersau,7,
Mars,7,
Cimaros,7,
Beau-,8,
beacoup,8,
Beauffremont,8,
bau-,8,
Eau,8,
Frace u beaunom,8,
chteau,8,
gr  eoereee s mr y-s y-,9,
Ee,9,
brossee,9,
ae ien aire eee,9,
gaee,9,
Ate.s eeeg,9,
Aoeel,9,
oecupee,9,
eiee  aest yvggntsuee,9,
ridee,9,
mol mystee I,9,
Poppee,9,
deentree,9,
youee,9,
jouee,9,
eeee,9,
ePseeee,9,
lnee,9,
aspeet,9,
etiee zee g,9,
2:2::EECI,9,
Bee,9,
Rmssee,9,
ellE - eee eeegi e]   ueae yeuessea,9,
Celte severe,10,
Celte,10,
severe,10,
Epictele at Spar-,10,
atee  e semut,10,
N1ai,11,
CE1a,11,
N1,11,
aaitbdALBERT,12,
Albertauraitgimile,12,
ALBBRT.y,12,
Albeit,12,
Aa,12,
enthousiasmeALBERT,12,
J-,12,
cesi1,13,
Ceciles,13,
sueces1 Blle,13,
eceole,13,
Iuliles,13,
Saintes-Ceciles,13,
vicilles,13,
y-,13,
Thetre,14,
Chlthbre,14,
strete,14,
Thettre,14,
Thetre-Francais,14,
Theatre,14,
thelres,14,
Rhetore,14,
pout-etre,14,
Thetre-,14,
etres-unis,14,
Lae Majeur,15,
lac Majeur,15,
sajeu-,15,
Leonarde,16,
jardih,16,
gard,16,
bard6,16,
