text,cluster,cluster_corrected
S6t6,0,
o6t6,0,
P,0,
Solango,1,
Solange,1,
d6sola,1,
Solungo aost li-bas,1,
elange,1,
N,1,
Solngo,1,
got,1,
dangar,1,
Penduant,2,
oinquanta,2,
uand,2,
cEpendant,2,
aommonoamont des vandunges,2,
aendurantae,2,
vendange,2,
d6fendu,2,
Y,2,
loanno,3,
anna,3,
BANNR,3,
nnl,3,
eonnaissanee,3,
IANNk,3,
nankin,3,
mre Nnnnatto,3,
mra Nanntte,3,
lMnnaips,3,
Remantranaes,3,
Poonnae,3,
maresta plush dannaer,3,
Nannatte,3,
Nunnatta,3,
Nannottat,3,
Louiso,4,
Louial,4,
ruisonnublo,4,
grdantlLouis,4,
ruison,4,
Louist,4,
Issouimn,4,
buis,4,
louede,4,
Louisjouissait,4,
Iouis,4,
oui80,4,
Louisl,4,
soupof,4,
Issoudun,4,
h Diu,5,
ai d6 Dit,5,
sIrE,6,
PRBMIIRRE,6,
T0IsIMIR,6,
ssir,6,
fiivre asi,6,
Sire,6,
vire,6,
n18,6,
couvertuire,6,
t0 Sire6,6,
Veux-tu done faire,6,
Muarguerito,7,
Murgurite,7,
Mlurguerito,7,
uerita,7,
eerivit,7,
Margue-,7,
Catharine,8,
therine,8,
KEt Catherine,8,
ner  sua,8,
Prinnerie,8,
Catherina,8,
ner,8,
autherino garto,8,
Gatharine,8,
ten,9,
B,9,
En0,9,
N.,9,
entendro,9,
"anfhntsl lle
v 8tre bien contente",9,
Tene,9,
ESt,10,
ees ides,10,
hestiaux,10,
Cost,10,
ESt-ce,10,
lJ,10,
parceeque cest,10,
est6e,10,
Est,10,
valt,11,
travalil,11,
maltre,11,
val,11,
fallt,11,
VOus,12,
voulez,12,
voulez-vaus,12,
lez,12,
st houl,12,
Loule,12,
voulao,12,
foree,13,
trs-fort,13,
A foree,13,
fortPRMIIRRE,13,
Nannette,14,
exueto,14,
Nannettoe,14,
Nannetto,14,
Nannettel,14,
Nannettef,14,
"mbre
Nannetto",14,
tto,14,
nettoyee,14,
Nunnetto,14,
Etionnel,14,
Nannetts,14,
je.ne,15,
Neunet-sur-,15,
Jounne,15,
lunno,15,
Jeunne,15,
launne,15,
Junne,15,
Lejeun oolporteur,15,
leunne,15,
Meunet,15,
Iesnne,15,
Lejeun,15,
--La jeunesse,15,
Paris,16,
Grise,16,
w,16,
Narie,16,
Écris,16,
mari6,16,
prisr,16,
Jappris,16,
paruatt,16,
paros,16,
bris6,16,
nit do parlsr,16,
