text,cluster,cluster_corrected
atrozêlo,-1,
elle lhas,-1,
"casa dos
Carneiros",-1,
Farta,-1,
oças,-1,
Perdão,-1,
Pobre 'Ferczinha,-1,
"Biblioteca de propaganda educativos
e distribuição gratuita",-1,
fui-mo,-1,
metro partiu-lho uma aza,-1,
Aplausos,-1,
vólhote,-1,
FEL Intona,-1,
Ulane,-1,
Medroso Rodrigues,-1,
Havana,-1,
aquella calúnia,-1,
Mariquinhas,-1,
herdaste,-1,
Lima Vida,-1,
EN,-1,
Auto da « Sebenta,-1,
Lembrara,-1,
Cacilda,-1,
saude,-1,
Tavares Cardoso,-1,
Vai-to,-1,
braza,-1,
Pautino de Oliveira,-1,
Zarôlha,-1,
Tearão,-1,
dornas,-1,
porto delle,-1,
Martinho,-1,
SACRIFÇADA,-1,
Santas,-1,
materialisar,-1,
Oh,-1,
Aquella,-1,
Esplendores do Srcerdocio,-1,
Senhora Gertrudes,-1,
Coisa,-1,
Aninhei-me,-1,
TANGO,-1,
ANcIçÕES,-1,
paquêta,-1,
"mem-
ro da aristocracia britanica",-1,
"Lisa da
Roda",-1,
bom do padre,-1,
Pedro Cem,-1,
hade sahir,-1,
BACRIRICADA,-1,
"SACRIFICADA

familia",-1,
caldeirinha magica,-1,
Estremoz,-1,
Plantado,-1,
Paris,-1,
desconfiança,-1,
amnito serena,-1,
Ilte,-1,
Jarras,-1,
Vamos,-1,
sêér,-1,
Córei,-1,
ello,-1,
elle,-1,
lua,-1,
Decerto,-1,
Adro Claudoa,-1,
Clara,-1,
Disseração,-1,
Zéfinha da horta,-1,
volta delle,-1,
Abraçava,-1,
se-,-1,
Casas,-1,
"Santas
Terezas de Jesus",-1,
feitôr,-1,
Diga,-1,
Pôs,0,
S.º,0,
Já,0,
Áaôm,0,
HU,0,
k,1,
!,1,
Ds,1,
dôce,2,
dôco,2,
Longa,3,
"da-
goas",3,
Peniche...,4,
Peniche,4,
Alemtejo,5,
Tejo,5,
céo azul,6,
Barba Azul,6,
pequenino,7,
Pequena,7,
gião,8,
Pés,8,
Comborço,9,
Colombo,9,
Qnom,10,
tôr comnosco,10,
& cova,10,
Acordara,11,
Recordava,11,
"ú

Acordara",11,
atordoava,11,
sahir,12,
Sahira,12,
Sahi,12,
Sahir,12,
Dahi,13,
ahi,13,
NOSSA HOMENAGEM,14,
Tigre,14,
nossa velha igreja,14,
alegre,15,
Alegre,15,
Abrenuncio,16,
lugubre,16,
opulencia,16,
flôr,17,
valôr,17,
Jhiam,18,
Dispensariam,18,
Pa-,19,
pavôr,19,
"pas-
sar",20,
"pas-
ava",20,
vêr,21,
vêr-me,21,
revêr,21,
Ultimas,22,
lagrimas,22,
proxima,22,
dulcida,22,
Teresita do barbeiro,23,
Situa Gameiro,23,
Veja-a,24,
Veja-lhe,24,
álêm,25,
Estive,25,
Dizialhe,26,
"Via

DIARIO DUMA",26,
Dizia-me,26,
mo dizia,26,
Importa-me,26,
Morgado,27,
salvadora,27,
Sagrado,27,
Una,28,
"una
pessõa",28,
pessõas,28,
roca,29,
Viol,29,
Invas,30,
vonva,30,
vasia,31,
bôca vasia,31,
silvas,31,
escrevaninha portugal,32,
Escrevia,32,
n'Portugal,32,
em Portugal,32,
portugal,32,
têo,33,
Mêos,33,
Espanha,33,
Desatou,34,
Esquecia,34,
Marquez-,34,
Marques,34,
contér,35,
Contos,35,
Continuará,35,
Ponte do Inferno,36,
Fonte do Inferno?,36,
Ífonte,36,
Fonte do Inferno,36,
Próspera,37,
Pedir,37,
Cinta,37,
hóspeda,37,
Prós-,37,
úti-,38,
si-,38,
bôas,39,
Bôn,39,
Lisbôa,39,
Podia,40,
Diabo,40,
"proprio
Diabo em pessôa !",40,
"cam-
pos amanhecer",41,
Campos Lima,41,
"cam-
pos",41,
us,42,
Dous,42,
sus el,42,
voluntario,43,
Vol,43,
Vou,43,
I vol,43,
Crédo,43,
normalisou,44,
pormenorisava,44,
"quasi
odiento",45,
intemperies,45,
"quasi
caveira",45,
Quasi,45,
Santo Deus,46,
santo Deus,46,
cadete,46,
Adeus,46,
Mon-,47,
Real,47,
Infias,48,
Inf,48,
damasco,49,
Ama,49,
Chamou-a,49,
tomara,49,
Chamaram-mo,49,
Grão-Vasco,49,
tam-,49,
Confiando da Ama-Rita,50,
Ama-Rita,50,
bemaventurança,51,
França,51,
terra,52,
Inglaterra,52,
mamã sabe,53,
Saber,53,
sabbat,53,
Relia,54,
Eulalia,54,
Numero,54,
Eóló,54,
oleografia barata,54,
Peito,55,
Geitoso,55,
Surrateiramente,56,
Francamente,56,
"Presentimento-
tos",56,
Sentia-so,56,
Entroncamento,56,
Ina da Camera Rego,57,
Serra da Estrella,57,
ix,58,
Ai,58,
Caia,58,
Baixa,58,
této,59,
aféto,59,
sen bonito,60,
sen bonito bigode,60,
Tonito,60,
gôto,61,
TO,61,
Horída,62,
ceremonia,62,
Resignada,63,
álacres,63,
Leves,63,
Sévres,63,
"300
Gomes Leal",63,
Mes,63,
es viajantes,63,
Jages,63,
Ouves,63,
Nortyres,63,
es,63,
desmantelos,63,
Fitava-a,64,
Saltava,64,
Encostada,64,
Gostava,64,
Amhos,65,
Conselhos,65,
Aconselhava-a,65,
Conseguira,65,
Joelhos,65,
Choravam,66,
Chorava,66,
Cavalinho,66,
"Christina
Será",67,
Christina,67,
Christo,67,
Ohristina,67,
Triste,68,
tristeza,68,
Clara do Reza-,69,
Manél da Clara do Rezadeira,69,
Clara do Rezadoira,69,
"Clara de
Rezedeira",70,
Trepadeira,70,
"Clara do
Trepadeira",70,
grande chapéo,71,
Cederia,71,
chapéo,71,
"sen
chapéo",71,
Grande,71,
Candeia,71,
girandola,71,
Freira,72,
Primeiras,72,
palreiras,72,
ICEIRA,73,
FEITICEIRA,73,
vianda,74,
Iria,74,
Mancela,75,
Ixreutzss,75,
"rOmancE

Ixreutzss",75,
fôra,76,
Fôra,76,
fósso,77,
Posso,77,
Sorria,78,
Sorrisos,78,
So,78,
pre,79,
pola,79,
Compreendia,79,
Premia,79,
Repreensões,79,
Desprender,80,
Vergonhas,80,
Hãde,80,
minas batatinhas,81,
mévinagre,81,
Chinas,81,
ruinas,81,
Ina,81,
olla,82,
"olla mote-
java",82,
Manel,83,
Janelas,83,
Mand,84,
Mania,84,
Ihe,85,
Er,85,
Viera,85,
herva,85,
COIMBRA,86,
Coimbra,86,
Academia do Coimbra,86,
tragedia,87,
estrada,87,
comedia,87,
Talhados,88,
Estados-Unidos,88,
visinho,89,
Miguel,89,
Miguelsinho,89,
visinho cemiterio grasnaram,90,
cemiterio público,90,
Paraphraso,91,
Paraizo,91,
Saudades do Ceu,92,
Poeta Saudade,92,
Cho-,93,
Fechou,93,
Olho-o,93,
fóra,94,
ra,94,
fúra,94,
Cura,95,
tra,95,
tisica,96,
Tica,96,
Chico,97,
Rico,97,
Africa,98,
America,98,
Maricas,98,
Amérricana,99,
Amérrica,99,
nella,100,
g'ellas,100,
lha,101,
Filhas,101,
Olha,101,
Olhe,102,
Eolheto,102,
"fa-
emilia",103,
familia,103,
Tenho,104,
Tenha,104,
BACHIFICADA,105,
SACHIFICADA,105,
"SACRIFIGADA

Falou",106,
SACRIFIGADA,106,
"SACRIFIGADA

Y",106,
santa casa,107,
aquella santa casa,107,
coitadinha,108,
Vinha,108,
condessinha,108,
cosinha,108,
Superior,109,
Madre Superior,109,
Senhora de Castelo,110,
Senhora do Castelo,110,
Senhora do Castelo...,110,
"Terezinha da Zófa
do Padre",111,
Torezinha,111,
Terezinha,111,
Senhora,112,
"Senhorã
dos Verdes",112,
Nosso Senhor,112,
Senhorã,112,
Senhora Condessa,112,
Aquelle,113,
aquelle,113,
Naquelle,114,
naquelle,114,
Madre Clandea,115,
Madre Claudes,115,
"241

Angelica",116,
Soror Angelica,116,
Madre Angelica,116,
SACRIPICADA,117,
BACRIFICADA,117,
SACRIFICADA,117,
"Madre

 

 

 

 

BACRIFICADA",117,
BAORIFICADA,118,
BAPRIFICADA,118,
Soror Claudea,119,
Pobre Soror Claudoa,119,
Claudea,119,
"Seror
Manoel",120,
"Soror
Manoel",120,
Soror Manoel,120,
Soror Magyoela,120,
Manoel,120,
Soror,120,
Soror Gertrudes,121,
Soror Gertrudes —,121,
Madre,122,
Padre,122,
Madrid,122,
"Pobre Madre Lan-
den!",123,
Pobre Madre,123,
"Gertrudes
Zarôlha",124,
Gertrudes Zarôlha,124,
Madre Gertrudes,125,
"Ó
Gertrudes",125,
