text,cluster,cluster_corrected
CE,0,
t’,0,
nice,0,
Grèce,0,
comtesse Gilberte,1,
A comtesse,1,
Aït,1,
|,1,
Gilberte,1,
A,1,
Suisse,2,
Laisse-,2,
Palais-Royal,2,
Encaissée,2,
F,2,
alaise,2,
dain,3,
Sainte-Hélène,3,
hümains,3,
Saint-Léonard,3,
Soudain,3,
Fois,4,
Voix,4,
moi,4,
Dis,4,
bois bruni,4,
isra,4,
Quelquefois,4,
Autrefois,4,
crois,4,
Roi-Louis,4,
Trois-Mares,4,
rère,5,
Madère,5,
mon-beau-frère,5,
Bastia,6,
barôn,6,
BA,6,
"ba-
ron",6,
cuba,6,
Ïl,6,
Barbes,6,
Méditerranée,7,
Jeané,7,
Ù,7,
la-Méditerranée,7,
"Rue

Dès",8,
Rue,8,
Dè,8,
tricotani,9,
"É
3 Æ",9,
Picot,9,
stan,9,
HU,9,
Écoutez,10,
i,10,
Coup,10,
deuxijouts,10,
Coutelier,10,
Comptez,10,
Italie,11,
V'escalier,11,
Æt,11,
d'Italie,11,
Cri-,12,
Ilécrivit,12,
crispé,12,
mer par-dessus,13,
mer invisible,13,
Évisa,13,
sôr,13,
trôinvit,13,
A84,13,
mer r bleu À,13,
Harfleur,14,
Lheure,14,
Eure,14,
Impureté,14,
heuressans,14,
Ç,14,
EURE,14,
heurta,14,
É,14,
Laäre de l'Eure,14,
rer,15,
m'’aimer,15,
Er,15,
Fer,15,
ler,15,
rêver,15,
Coder-,15,
vert-de-gris,15,
Per,15,
ER,15,
Croquerat,15,
Gésirer,15,
poür,16,
toujoürs,16,
Toüt,16,
Tolbiac,17,
Bolbec,17,
bé Tolbiac,17,
Sitôt,18,
Assit,18,
habitué,18,
Ôt,18,
Faire,19,
l'Empire,19,
Lemaire,19,
Lire,19,
Impatienté,20,
naie,20,
Tiens,20,
blaient,20,
kB,20,
Bientôt,20,
Oriental,20,
semblaïenchanté,20,
"col
fl",21,
fl,21,
u%,21,
Coco,21,
ine,22,
Jardin,22,
Madeleines,22,
Capitaine,22,
Romäines,22,
la Seine,22,
Chine,22,
sapins,22,
La plaine,22,
éotnme,23,
Mâdame,23,
Pyrame,23,
Me,23,
Larmes,23,
rome,23,
Mädame,23,
m-,24,
taillis dépouillés,24,
Varneville,24,
d’aiguille,24,
ille,24,
Brisseville,24,
marseille,24,
Oreilles,24,
Folle,24,
m’,24,
IL,24,
fille;Elle,24,
daille,24,
lille,24,
s’agenouill-,24,
Marseille,24,
élle,24,
Libreville,24,
dormeuse,25,
meuse,25,
honteuse,25,
Vouset,25,
"Écu-
meuse",25,
émus,25,
us,25,
rs-,26,
rs,26,
rs-accourait,26,
aipardonna,27,
Paris,27,
paris,27,
pau,27,
un',28,
N'ai-je,28,
-.Je',28,
e Havre,29,
au Havre,29,
du Havre,29,
le Havre,29,
rue du Havre,29,
collège du Havre,29,
1 Havre,29,
Val,30,
val,30,
eval,30,
galo,30,
dévala,30,
"air
du Val",30,
D,31,
Fa,31,
surfabeno,31,
fa-,31,
Fans,31,
"courant d' air
du porche",32,
Ur,32,
tourneré,32,
el hourrue,32,
Four,32,
Livourne,32,
Pourriez-,32,
Four-,32,
Coursil,32,
Dour,32,
choua,32,
I,32,
Bourse,32,
Î,33,
sais-tu,33,
Sais-tu,33,
sais,33,
trouves-tu,33,
ciguëne,34,
Ci,34,
Cité,34,
Ajaccio,34,
mignonne,35,
Mignonne,35,
garonne,35,
J1,35,
He,36,
b,36,
c0chér,36,
cher,36,
pôche,36,
Corniche,36,
P'Angle-,37,
Péuples,37,
mariez-les,37,
Naples,37,
Îles,37,
Les,37,
Lexpertise des Vaud,37,
Île,37,
Lest.partout,37,
Le,37,
riple,37,
È,37,
moselle de la Roche-Aubert,38,
ellis,38,
javelle,38,
Éternelle,38,
tonnelle,38,
Elle-s’,38,
Elle,38,
Bassolle,38,
"|

- Elle",38,
Ellerentrait,38,
ÏS,38,
Chambre-aux-Demoiselles,38,
el,38,
Ellé,38,
U— Plus,39,
Niolu,39,
Lu,39,
t-luis,39,
lune,39,
Yport,40,
apporte-les-moi,40,
Port,40,
| Yport,40,
Évaporée,40,
Torturée,40,
Port ‘,40,
anca,41,
calmé,41,
Ca,41,
ca,41,
Cargèse,41,
Cana,41,
caleçon,41,
calme-toi,41,
Cany,41,
"pays de
L tout parsemée",42,
pays qu’,42,
pays de Ceux,42,
Pas de lune,42,
Rollebosc,43,
Allemagne,43,
alle,43,
Aller-,43,
alluma,43,
"Co |

Dè rares",44,
Athènes,44,
.$eS,44,
Sèvres,44,
ES,44,
Es,44,
pides,44,
"facon des
mans",44,
Apôtres,44,
ôres,44,
jura,45,
Juï,45,
au-,45,
Sou-,45,
Ju-,45,
nu-bras,45,
E,45,
d2,46,
Ils’,46,
s’'enfoncer,46,
s’assoupir,46,
S’,46,
s’,46,
s’as-,46,
Watteville,47,
Batteviile,47,
Batteville,47,
château de la Villette,47,
Batte-,47,
Villette,47,
"hôtel de

Normandie",48,
Ÿ,48,
Normande,48,
Normand,48,
Hôtel de Normandie,48,
Hollande,48,
Normandie,48,
vicomtesse de Libreville,49,
M. de Brisbane,49,
aüt de la chaire des imprécations,49,
gare de Beuzeville,49,
terre de Barville,49,
Beuzeville,49,
golfe de Sagone,49,
j’,50,
Lampre,50,
Fécamp,50,
Camp,50,
phare de Fécamp,50,
P,50,
hameau de Verneuil,51,
ÿ Xi,51,
"couvent

de Versailles",51,
Verneuil,51,
ls,52,
Be,52,
Jambes,52,
Jambe,52,
-de-Ganache,53,
Gao,53,
Ganache,53,
Sachez,53,
Piana,53,
z0n€,54,
Thysé,54,
Lys,54,
Fourville,55,
Courville,55,
Barville,55,
Tourville,55,
Gourville,55,
Godarville,55,
R,55,
Goderville,55,
japon,56,
Répondez,56,
Réponds,56,
bosquet,57,
Qué,57,
Océan jusqu’,57,
jusqu’,57,
jusqu,57,
qu’,57,
v’'la,58,
V’,58,
sson,59,
maison,59,
Songe,59,
Lise,59,
Sonna,59,
Lison,59,
Bonsoir,59,
Lisan,59,
nne,60,
enne,60,
Océan,60,
éanne,60,
EtJeannes’,60,
Jéanne,60,
Le soleil,61,
le soleil,61,
Île s’,61,
soleil,61,
nsäet,62,
Jet,62,
etle,62,
Etle,62,
iäseté,62,
Rouen,63,
Providence,63,
J,63,
Florence,63,
Provence,63,
FE,64,
Religion,64,
Fection,64,
Ro-,65,
LS,65,
Voyez,65,
Fuyez,65,
Croyez->ou,65,
Crott,65,
Croyez-,65,
rpré,66,
Brise-,66,
suré,66,
Æ,66,
Surprise,66,
Ts,67,
"| |

Hauts",67,
Là-haut,67,
Ilsne,68,
e’,68,
neûs,68,
F7,68,
ne’,68,
Lo,69,
bonIëu£,69,
Tongs,69,
G,69,
Londres,69,
Bouillon,69,
LON,69,
bäton,69,
on.se,69,
rémonie,69,
"el
morne",70,
d’alternes,70,
Mornes,70,
s‘blancs.-,71,
L{ran,71,
Fr,71,
franchit,71,
la France,71,
sance,71,
France,71,
Avez,72,
àvec,72,
"Raven-

Soirés",72,
Savez,72,
changée,73,
Enchaînée,73,
Remontée,73,
gônflée,73,
Chicorées,73,
Béelzébuth,73,
Ée,73,
laée,73,
mélée,73,
Cigogne,74,
champagne,74,
ogne,74,
cognac,74,
bésigne,74,
Cologne,74,
Notre-Dame du Gros-Ventre,75,
Éetretat,75,
Étre,75,
Étretat,75,
Életat,75,
"rue
Sauvage",76,
ge,76,
rue du Sauvage,76,
vallon sauvage d'Ota,76,
L’,77,
l’,77,
Quittez-le,78,
Pontet,78,
s’exalter,78,
Mascotte,78,
droïte,78,
Côte,78,
BÉTE S,78,
édroite,78,
chuckôter,78,
Te,78,
Voulez,79,
piéds;. Poulet,79,
Paulet,79,
