text,cluster,cluster_corrected
P,-1,
AIMÉE JUSQU'A LA MORT,-1,
Quincy,-1,
Jo-,-1,
Le - Une,-1,
1l,-1,
Mortagne,-1,
Imsensée,-1,
douai,-1,
J2À.,-1,
M. de Bussy,-1,
italie,-1,
sou,-1,
palais de la reine,-1,
Où voulez,-1,
Carrousel,-1,
sès,-1,
m-,-1,
Craignez,-1,
"ON ee mere

ee age me

126 LE CHATEAU DË PINON",-1,
galantin,-1,
tonnelle,-1,
Cria-,-1,
longues,-1,
château de Fayel,-1,
Fayel,-1,
Dubois,-1,
Côté,-1,
vingtans,-1,
125,-1,
Ellé,-1,
Conscience,-1,
écuriés,-1,
Jui,-1,
"237

— Encore",-1,
Où,-1,
Tarenie,-1,
N|,-1,
Väimera,-1,
aimais,-1,
Moyenbrie,-1,
Prononcez,-1,
Nousdemeureronstouteslesdeux,-1,
Émineñce,-1,
Carmélites,-1,
Attends,-1,
"théâtre de
Oreille",-1,
Puisqu,-1,
b59,-1,
l.,-1,
Partez,-1,
Madainè,-1,
fallüt,-1,
sur-le-champ,-1,
tyranme,-1,
Larneth,-1,
château d'Ainsi,-1,
proménade,-1,
Mothe-Houdancourt,-1,
| ET—,-1,
d’,-1,
auberge de Saint-Gabriel,-1,
piers,-1,
I,-1,
CHATEAU,-1,
Cédéz,-1,
lüi,-1,
subjügüer,-1,
t’,-1,
Lanissecourt,-1,
vienne,-1,
maine,-1,
confianée,-1,
CU,-1,
Séulemiënt,-1,
po,-1,
Desmonté,-1,
Henneite,-1,
pp ee Emme,-1,
"Haï-
val",-1,
ae Ven nae,-1,
Rentrée,-1,
Chapelain,-1,
j’,-1,
Made-,-1,
Chaïlés,-1,
Jaquais,-1,
Allemagne,-1,
nir,-1,
Demandes,-1,
baïlli,-1,
Rou-,-1,
L|,-1,
Trouvez-,-1,
CHATEUA DE PINON,-1,
Roï,-1,
gie,-1,
GHATEAË DE,-1,
sais,-1,
Rhin,-1,
Hennecourt,-1,
M,-1,
Îles,-1,
D,-1,
lout,-1,
AÀ,-1,
YISEON,-1,
Tout-à-coup,-1,
cousine ger-,-1,
crièreni-elles,-1,
c1,-1,
M|,-1,
Choïisissez-enNemi,-1,
Pignerol,-1,
Vivant,-1,
brielle,-1,
Derrière,-1,
Fontainebleau,-1,
A,-1,
L’,-1,
Hui-,-1,
gesie,-1,
Suivrez,-1,
Thurin,-1,
Eh,-1,
m’,-1,
Normandie,-1,
el,-1,
