text,cluster,cluster_corrected
froid—,-1,
trom—,-1,
Es-tu malade,-1,
éner—,-1,
ohassez—,-1,
Brie,-1,
endor—,-1,
hypothè—,-1,
Eaux—Vives,-1,
médi—,-1,
Rabat,-1,
ouen,-1,
Rupt,-1,
Piémont,-1,
"parisien,,le",-1,
Servir,-1,
admi—,-1,
ue noble el beau lulieur,-1,
"il—
meuse",-1,
N1,-1,
Sicile,-1,
Couture,-1,
moiNs’,-1,
Vernon,-1,
Par-de,-1,
Bisonlins,-1,
Basse—du—Rempart,-1,
Schwilz,-1,
jasmin,-1,
légitimél,-1,
dépen—,-1,
t’écrirel Oui,-1,
Eh‘lesl,-1,
de Neufchâtel,-1,
àune,-1,
Paris.—aiMer,-1,
parve—,-1,
N5,-1,
évauoui,-1,
Autriche,-1,
momentané—,-1,
vouS aveZ l’,-1,
rantiras,-1,
Moniteur,-1,
Est Juste,-1,
Bruel,-1,
com—-,-1,
Gramont,-1,
conti—,-1,
aio:;t,-1,
Suis,-1,
T_1tlet,-1,
ner,-1,
-Volre,-1,
trempe de Florine,-1,
mﬁtu—,-1,
natu—,-1,
rose—,-1,
Arcier,-1,
Visconti,-1,
ﬁe’,-1,
Montemisselle,-1,
Granaey,-1,
som—,-1,
Lons—leSaul—,-1,
ti—,-1,
allu—,-1,
"lac de
Genève",-1,
kios—,-1,
éduca—,-1,
N,-1,
promon—,-1,
Espard,-1,
Sàihte,-1,
Iiasses,-1,
Auglaiso,-1,
réﬂéchir,-1,
appar—,-1,
alle,-1,
Pont de Ward,-1,
t’ai vu‘e,-1,
Banque,-1,
malheu—,-1,
a—,-1,
Normandie,-1,
Neufchâtel,-1,
L,-1,
Zittol,-1,
Coralie,-1,
Lyon,-1,
extraor—,-1,
Vlu,-1,
Bayeux,-1,
jusquﬁé,-1,
déta—,-1,
rape—,-1,
rue du Rocher,-1,
"niteuse,,sa",-1,
comtesse de Seules,-1,
Spéciale,-1,
Chavoncourt,-1,
lende—,-1,
trouverez,-1,
Bresse,-1,
Les Saules,-1,
t’embrassa—,-1,
dénoue—,-1,
riuet,-1,
l’A,-1,
exem—,-1,
luil,-1,
parfaite—,-1,
Vandenesso,-1,
Rodol-,-1,
atteville;éæièntr‘emplis,-1,
attelleras,-1,
ESpagne,-1,
Sire,-1,
Bouirienne,-1,
Villa-Diodeti,-1,
Fon-,-1,
"De

-' semblables affaires",-1,
un',-1,
aper—,-1,
Mont—,-1,
remar—,-1,
cetair,-1,
sour—,-1,
Vandene‘sse,-1,
politi—,-1,
Framäâca,-1,
Votre,-1,
Ynoi,-1,
pascnnoùs,-1,
Vlves,-1,
Sais,-1,
Asëiêés,-1,
vleillards,-1,
L'rê—,-1,
Les Rouxey,-1,
Brabant qu‘une,-1,
lac des Bouxey,-1,
deman—,-1,
Allons,-1,
Gerbau,-1,
Lombardie,-1,
inaperçuejus—,-1,
promp—,-1,
guet—,-1,
né—,-1,
lajouissance,-1,
nienteudu,-1,
atta—,-1,
"dan—
ger",-1,
dispu—,-1,
théâtre l’,-1,
salëte,-1,
Bupt,-1,
Ville,-1,
toumienter,-1,
l‘accom—,-1,
Bohême,-1,
Grande Chartreuse,-1,
Sicitienne,-1,
Ghav‘oncourt,-1,
hébé—,-1,
Peuple,-1,
grand—sur,-1,
chèvre-—,-1,
"lac
’",-1,
protoco—,-1,
bonho—,-1,
"théâtre de
la Scala",-1,
—- Non,-1,
terre des Rouxey,-1,
yavoir,-1,
Vetterille,-1,
repritl,-1,
Portsmouth,-1,
econo—,-1,
cathé—,-1,
éton—,-1,
Nobles,-1,
Strasbourg,-1,
piste des intl—,-1,
allauten italie,-1,
calom—,-1,
Soyez,-1,
costu—,-1,
cdmpas$il,-1,
Conti,-1,
.Florine,-1,
qu’,-1,
Cettc;Froidﬁnr,-1,
conﬁ,-1,
car—-,-1,
belvcdèrc,-1,
Nleorivez,-1,
pour—,-1,
"rue
Neuve",-1,
invo—,-1,
passans,-1,
eûtadou—,-1,
exces—,-1,
DiÈVE,-1,
m2A‘t,-1,
Romains,-1,
Vdioi,-1,
néces—,-1,
l‘aire,-1,
Bois,-1,
malpropre—,-1,
gallique,-1,
Décidément,-1,
Dent de Nilard,-1,
mu—,-1,
Siiisse,-1,
Croissant,-1,
concentree,-1,
lille,-1,
circons—,-1,
Eaux—Vlves,-1,
Florence,-1,
rassurez—,-1,
ger,-1,
litté—,-1,
devaitsecou—,-1,
jeunèSse,-1,
disaitRaoul,-1,
Virginie,-1,
latieille,-1,
Paësiello,-1,
Besan-,-1,
intel—,-1,
S-,-1,
Afrique-,-1,
granitrongé,-1,
conversa—,-1,
Grande-Chartreuse,-1,
intl—,-1,
Enﬁn,-1,
Chaillot,-1,
Terme,-1,
Sois,-1,
souslequel“on,-1,
tran—,-1,
hôtel de Root,-1,
Walteville,-1,
Épaule,-1,
le Rhône,-1,
indispen—,-1,
développa—,-1,
quel—,-1,
porte & l’,-1,
Romy,-1,
"cac—. -

veau",-1,
cohé—,-1,
soufﬁair,-1,
Graueey,-1,
Bor—,-1,
Ghapitre,-1,
Céciles,-1,
la Havane,-1,
mada—,-1,
gand,-1,
bourgeoise—,-1,
Composition,-1,
V1(1la1,-1,
Corso,-1,
Clermont,-1,
Rhin,-1,
Ette,-1,
denxpios,-1,
Tuchurs,-1,
serpens,-1,
tx‘dŸäille,-1,
celui—,-1,
vi.—,-1,
indif—,-1,
i’,-1,
Théâtre—Français,-1,
Tuileries,-1,
prome—,-1,
L’Espagne,-1,
Amédée,-1,
au.-,-1,
Argaiolo,-1,
trahi—,-1,
Y,-1,
Soulas,-1,
Quﬁi,-1,
BOLOGNINI,-1,
"faire,-et",-1,
ge—,-1,
Van—,-1,
Genève,-1,
Sieilet,-1,
gaie Eugénie,-1,
L1en,-1,
aﬁuN,-1,
Aime‘e,-1,
Be-,-1,
comtesse de,-1,
Watlevdle,-1,
beau—frère,-1,
"bois de
Boulogne",-1,
ma1‘ital,-1,
Nucin-,-1,
vien—,-1,
igno—,-1,
el,-1,
public—,-1,
Lampbrani,-1,
contraste_que,-1,
Heureux,-1,
drame—,-1,
Conseillers de la cour,-1,
Gcrsau,-1,
lac pur n’,-1,
reper—,-1,
lumi—,-1,
Saxe,-1,
départen1est‘des,-1,
Départemental,-1,
Hummel,-1,
meil—,-1,
Curiosité,-1,
souleVer,-1,
Énergie,-1,
vicndrai,-1,
Gersàu,-1,
Ève,-1,
Eden,-1,
J ung,-1,
l’Est,-1,
Chaulieu,-1,
Mont—Saint—Jean,-1,
trouverait—,-1,
singulière—,-1,
arran—,-1,
Lesjournaux,-1,
Telle,-1,
lbUée,-1,
.esT luI.euhappur,-1,
Venez,-1,
Alberta,-1,
reve—,-1,
de Besançon,-1,
C‘étaitjouer,-1,
Patriote,-1,
Bergmaun,-1,
gour—,-1,
iran—,-1,
dix—-,-1,
Àlber 't!,-1,
dange—,-1,
Rou—,-1,
Oimèl,-1,
-.-,-1,
hom—,-1,
préten—,-1,
pres—,-1,
splen—,-1,
ce’,-1,
déses—,-1,
Beli—,-1,
Sacriﬁé,-1,
Granuey,-1,
etlïu—,-1,
înelheu—,-1,
Saverne,-1,
considéra—,-1,
hôtel du Marais,-1,
Bppnenant,-1,
Sommes,-1,
Sensible,-1,
Ghampfort,-1,
Lui?jamais,-1,
simple—,-1,
applaudisse—,-1,
"t’aimel Hélas l""j’",-1,
Borromécs,-1,
Wat,-1,
desti—,-1,
résul—,-1,
Demiﬁ,-1,
sardo—,-1,
créa—,-1,
Savaron,-1,
rue Basse—du—Rempart,-1,
Utrecht,-1,
Gy@gne,-1,
Depnis,-1,
Mulhouse,-1,
athlète—,-1,
incv,-1,
instru—,-1,
BALZAG,-1,
Nﬁlles,-1,
tell,-1,
N“couche,-1,
remarqua—,-1,
Serait,-1,
sensles.jam—.,-1,
Grenoble,-1,
Bourse,-1,
henri_i,-1,
Grâccs,-1,
Çhavoncom‘t,-1,
Vilardwetæ,-1,
MADAME,-1,
pourrèz,-1,
ex—pair de France,-1,
bien—,-1,
rappe—,-1,
peuvent—,-1,
Lu-,-1,
de France,-1,
interroga—,-1,
tignac,-1,
Love-,-1,
bourg—pourri,-1,
Glisinbre-,-1,
Nodier,-1,
ordon—,-1,
Wattoville,-1,
lac des Quatre—Can—,-1,
Flo—,-1,
ﬁ Du Moins,-1,
inêinës,-1,
Eau—,-1,
état de nour—,-1,
fastueuse—,-1,
mrs—,-1,
Ghavoncourt,-1,
complai—,-1,
Vandcnesse,-1,
Chavou-,-1,
Bonheurl,-1,
Previdenœ,-1,
rue de Nevers,-1,
beau—,-1,
Bouxey,-1,
Parismonsieur,-1,
"au-
cone",-1,
puyé,-1,
Retournez,-1,
Blondet,-1,
convul—,-1,
habi—,-1,
souf—,-1,
Schmulce,-1,
ﬁde’,-1,
moteur—,-1,
Chavon,-1,
Ferney,-1,
Rhône,-1,
Babylas,-1,
Divinité,-1,
Rivarol,-1,
sfécria:.t,-1,
Ëonsieur,-1,
Rodolpheles,-1,
dessiné—,-1,
employer—,-1,
Sutton,-1,
s«=,-1,
Chav0,-1,
Communal,-1,
Savarus l’,-1,
iles dudu,-1,
de Boulogne,-1,
sous—pieds,-1,
Comtois,-1,
justi—,-1,
résis—,-1,
Céli—,-1,
ﬁaüce,-1,
Ursiui,-1,
Compter,-1,
courtisa—,-1,
Lousteau,-1,
Théâtre n’,-1,
Providence,-1,
"parisien,,le lac de
Genève",-1,
grave—,-1,
grand—pénitencier,-1,
Père-L&—,-1,
Léonarde,-1,
Andantez,-1,
Vabdenesse,-1,
Gentillet,-1,
Marie—Eugénie,-1,
nevoulaitpas,-1,
Réveillon,-1,
Angleterre,-1,
lapisscr l’,-1,
BeSañçaﬁ.,-1,
Nantua,-1,
Saint—Martin,-1,
pè1e,-1,
Cimarosa,-1,
napoléo—,-1,
anti—,-1,
senti—,-1,
espa—,-1,
éj,-1,
Hier—,-1,
Etrangers,-1,
Dent de' Vilaid,-1,
.3.——,-1,
I',-1,
Hôtel National,-1,
Touches,-1,
Libéral,-1,
compas—,-1,
Famjtié,-1,
Sais-tu,-1,
Nucingen,-1,
-Oui,-1,
appor—,-1,
Charirm-i.,-1,
regar—,-1,
parti—,-1,
I‘illet,-1,
Avant1830,-1,
éclairerai,-1,
répu—,-1,
galoper,-1,
para—,-1,
Besancon,-1,
Méditerranée,-1,
Besan—,-1,
C0'—,-1,
la France,-1,
Russes,-1,
Chavoncou‘t,-1,
l830,-1,
Näurez,-1,
Grati-,-1,
Obl,-1,
Ras',-1,
soli—,-1,
laPeyre—,-1,
lac des Quatre—Cantons,-1,
Chavoneourt,-1,
Rodol—,-1,
Lñi' Et‘iit,-1,
Rliigi,-1,
chauf—,-1,
cathédrale de Besançon,-1,
C.peinlre,-1,
Quillet,-1,
impru—,-1,
Venise,-1,
Fédéral,-1,
Ilouxey,-1,
Philo-,-1,
Wattevill‘e,-1,
Espagnols,-1,
Granvelle,-1,
hôtel de _Il‘t,-1,
aupara—,-1,
Comédie humaine,-1,
Woiei,-1,
gitàtibn,-1,
Etc,-1,
comtesse de Granville,-1,
Naples,-1,
faussementaccusè,-1,
Mouy—,-1,
eurdie,-1,
l—,-1,
ambassa—,-1,
demain—,-1,
"vieuX château des
Colonna",-1,
Néan—,-1,
la Mairie,-1,
consi—,-1,
compren—,-1,
soIrﬂn,-1,
jus—-,-1,
jardin Bergmann,-1,
plai—,-1,
tendresse,-1,
abbé de Giancey,-1,
remon—,-1,
élec—,-1,
Doubs,-1,
"maison,-je",-1,
auberge du Gy@gne,-1,
ba—,-1,
Eh Bien,-1,
Save ron,-1,
Belgique;Argent,-1,
méca—,-1,
caire,-1,
rue de,-1,
Acier,-1,
obser—,-1,
du Doubs,-1,
efi',-1,
Albcr,-1,
.Emue,-1,
étre,-1,
désagréa—,-1,
brasàsa,-1,
"la‘,base de la Dent de
Vilard",-1,
Partez,-1,
présentil,-1,
Ice,-1,
Brunet,-1,
prenez—,-1,
Autre,-1,
Wattevilla,-1,
char—,-1,
la Comtoise,-1,
Chose,-1,
fade,-1,
Êt ﬁt;—=elle…,-1,
impatroni,-1,
aulre,-1,
Versailles,-1,
Euphrasie,-1,
Michel,-1,
terra55,-1,
Est—on,-1,
thçon,-1,
Hé-,-1,
diplo—,-1,
bois de Boulogne,-1,
précipitam—,-1,
Salle,-1,
Mont—Cenis,-1,
rupes,-1,
"A BELGIBA‘I‘E,— Lac Majeur",-1,
rue Saint—Lazare,-1,
Ah0hier,-1,
Belgirele,-1,
facile—,-1,
connais—,-1,
sachez—,-1,
maiS,-1,
ﬁnesse,-1,
Brabant,-1,
Toulouse,-1,
épouse—-,-1,
cdnter,-1,
Altiance,-1,
no—,-1,
conﬁer,-1,
Riceys,-1,
d—,-1,
rue Neuve,-1,
>,-1,
lais—,-1,
Eiceys,-1,
rehaus—,-1,
trou—,-1,
pp05il‘on,-1,
Cé,-1,
"Re,—",-1,
comtesse l’,-1,
Précisément,-1,
Be—,-1,
your,-1,
Bi—,-1,
géné—,-1,
mettras demain,-1,
4-- c’,-1,
Floride,-1,
"grandîchose,’dit",-1,
Londres,-1,
I,-1,
haute littéra—,-1,
constdéra—,-1,
peti—,-1,
Tillet le présentachez,-1,
Fond,-1,
Faune,-1,
cru—-,-1,
Gersau,-1,
Combien,-1,
elle—,-1,
Gandolphini,-1,
hais—,-1,
varon,-1,
t823,-1,
ou$sé,-1,
Modinier,-1,
Vaudille,-1,
Qu-,-1,
|omène,-1,
Flo-,-1,
abbe,-1,
commeil,-1,
Dent de Vilard,-1,
Lejeune,-1,
Cérès,-1,
plusle,-1,
diamans,-1,
Tinti,-1,
nonchalani—,-1,
L”s’,-1,
"pleurait,4mais",-1,
"Saint—
Gothard",-1,
Les.partraits,-1,
caissier,-1,
lorgnetles,-1,
- —,-1,
Wattcville,-1,
carac—,-1,
brillàiÎz,-1,
Boulogne,-1,
Renaissance,-1,
avoir—,-1,
Salins,-1,
meuse,-1,
artset leslettres,-1,
mais—,-1,
soixante—quinze,-1,
Visages,-1,
Pas,-1,
Hésilé,-1,
cachemire,-1,
dente—,-1,
lé‘poëte,-1,
Schmulre,-1,
mani,-1,
la Républiquey,-1,
comtesse de Vande-,-1,
moiselle Savarus,-1,
Graneey,-1,
"pulpe
blanche",-1,
incroya—,-1,
Mort-,-1,
écono—,-1,
triom—,-1,
Les‘Romains,-1,
Waüovillel,-1,
cloî—,-1,
L1econnaissent,-1,
Serais,-1,
Madre,-1,
aléa—,-1,
N_Btsonltns,-1,
A Besançr.t,-1,
Wattevitlv,-1,
Be1gmann,-1,
Ares—150us,-1,
A l’hôpital,-1,
réﬂenfin,-1,
"lac
'arec‘uuè pierre",-1,
consis—,-1,
Gymnase,-1,
cachât,-1,
yeux_de,-1,
Saintes—Céciles,-1,
Fais,-1,
menaienr,-1,
conju—,-1,
déjeu—,-1,
t’,-1,
lionmy,-1,
conte—,-1,
boulevards de Paris,-1,
vol—,-1,
Bbdolphd,-1,
Haüysséæ,-1,
An-daise muette,-1,
Hollande,-1,
Florentine,-1,
En',-1,
éldgmtt,-1,
Intention,-1,
delliesäbijbn,-1,
se-‘-,-1,
Qu—,-1,
