cluster,elem_0,elem_1,elem_2,elem_3,elem_4,elem_5,elem_6,elem_7,elem_8,elem_9,elem_10,elem_11,elem_12,elem_13,elem_14,elem_15,elem_16,elem_17,elem_18,elem_19,elem_20,elem_21,elem_22,elem_23,elem_24,elem_25,elem_26,elem_27,elem_28,elem_29,elem_30,elem_31,elem_32,elem_33,elem_34,elem_35,elem_36,elem_37,elem_38,elem_39,elem_40,elem_41
0,secet,oi,Océan,piece,us,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Laisse,Mlais,tete baissee,I11,z=,Laissons,S-,Mississipi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ordes,mavkawis,Accordez,Bordeaux,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,"A
 I
l--
I
riii",ES,Luy,L--7,"A

I
1","E
A

I",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,soldut,soldatd',m-,"or,-",toldos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,fort Necessite,7I,Necessite,"fort
Rupert",.-Je,fort Ncessite,.C,c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Quoi7,- Pourquoi7,by God,poulquoi,Quoil,lroquois,"g2
 
I",Pdldu,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Voil,Voilh,voila,A,Voili,ELD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ompagnons,accompague,cotpagnon,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,FORT DUQUESNE,fort Duquesne,Iort Duquesne,aprbes,Duquesne,fort Duquesnel,"I
cI.",Chuque,"fort
Duquesne",Duquese,fot Duquesne,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Kouha-Hande,louha-Hande,Iouha-,Iouha-Hand6,Kouha,Iouha-Hande,IKouha-Hande,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,Viens,Inliens,Viens-tu?,revienlt,Tiens,s6,miens,II,z-,Reviendrez,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Etats-Unis,etat,Y-:s,Mnis,"etat de
defense",zeeta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Couleuwre,"P,-F",.r-3-r-,Coulon,Couleure,soulenir,Couleuve,Couleuure,toules,oula,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,pourvU,pouR,poude,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,cmpagne,d'Espagne,capagne,r-,espagne,Espace,"com-
espagne",Espagnol,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,chegz,sachem,tche,chefl,el,sachet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,PensA7,noyens,y-,Pensa,N7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,ijeune,Lejeune,Lajeune,lejeune,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,tompei,I.1,trompei,".,.3-",Wad,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,senor Palamede,Palez,palce,Jerusalem,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Cunadien,MI,L.oR,--'1,Canadien,Canudien,metropole canadienne,Canadieon,Cnadien,Canada,Canadiens,Le Canadienjelta,Canadions,Cauadien,A4,Canadienne,ILe Canadien,Canadien loes,Cana-,chasseu canadien,le Caadien,,,,,,,,,,,,,,,,,,,,,
22,vincre,mediocre,Ancre,eNcre,grinca,Nlck,.L,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Fance,L1,dislance,r-N,Fancis,cyes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,tistesse,Même,E7,Sans-Piste,maitesse,z-7,resister,.qu',foteresse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,¬¬,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,Bonjou,Anjou,jours;.,Is,jou,bon7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,Anticosti,tantbt,lDevant,eflechissant,caignant,Tuant,AI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,chassel,chasseu,Ehl,chasseui,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,caractee,"L,5",LIN,Nhecte,Il:-,car--,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,lJistorique,Amerique,Americains,Amerique septentrionale,briquet,l'Amerique,meritee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,Mnais,i.naiiei,Eu,Inais,Franais,ceonnaissant,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,XIY,obeir,baron de Grigny,baron do Grigny,endre temoin de .son bonheue,buron de Grigny,M. de Grigny,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,alpio,ecurt,P,vecu,.g-c,I4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,- Reproduclion,stupetaclion,"N
I",rEprit,Keproduelion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,jusque-lh,Risque-loup,A6,IN,Risque-Tout,jUsque-la,mousquet,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,clairiere,claiiere,- Arriere,c0,clairiee,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,lAigle-NYolant,"E
N",Aigle-Volant,1'igle-Volant,Aigle-Volant roula,Aigle-Vous,1'Aigle-Volant,L'Aigle-Volnt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,aneantirent le Iruit,plant6 le Ioten,Ioten,t.,plantets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,centve,Ioissements,- Nullement,tristemenl,- Completement,bleme,dementi,Fatalement,entieement us,Caen,Matheueusement,TIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Pite,precipitee,depit,Iacilite,excitee,lEh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,"9

UI",apport6e,appiopiees,appuyees,Fuyez,M,Irappa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,pluie glacee,tauie,ge,plupurt,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,irentrer,".,L",atlire,SIRE,Dire,Vire,dire7,Sire,conslruire,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,"E


I
E.
IL","Z
e.
E",.:a-,"I'
IL",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,failliai,Villiersl,Yillies,Villies,x.L,alliees,taillis,Villiets,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,Anglais,Es,Cc,sentihelles anglaises placees,ILes Indiens auxiliaires des Anglais,sanglols,Aiglais,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Grigny,Carignan,Gigny,Griguy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,grace,Iace,Pace,E,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
49,Relevez,alever,s-r,elevees,fidele,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
50,Pittsbourg,r7-,ce',Itt,laville de Pittsbourg,Boucle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,"EEl

 ET",EEl,"S
el
 
 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
52,fouinie,Yirginie,Virginie,Inieux,N1,Viginie,Nirginie,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
53,Ouebec,Caudebec,Doue,Quebec,echoue,Qubec,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,"L,;.",abbe,263,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
55,pise,maquise,quif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
56,place de nolre daim,"II
vOYAGIE DE NU1I",1'epoque de nolre recit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,amarree,amaree,marqulse,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
58,Joignez,besogne,Seigneu,- Signe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
59,sepre,popre,wigwvm,amour-popre,Propre-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
60,"I

M
III","M
I","LÀ

I
 M7",LIv,"IL,1",CI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
