text,cluster,cluster_corrected
Po,0,
Pouah,0,
d’hippopotames,0,
poète!.,0,
Impossible,0,
Poussé,0,
Comprenez,1,
Comprends-tu cela,1,
recopiât,1,
Rendez,1,
Venez,1,
Alfort,2,
Infortunes,2,
F,2,
École d’Alfort,2,
Or,2,
Daniel,3,
Géniès,3,
Danielo,3,
RCE,4,
O,4,
Turc,4,
«Ce,4,
RCE S ON,4,
Nice,4,
Angélus,5,
Langlumeau,5,
les Angélus,5,
lui!.,5,
Grand-Cercle,6,
Petit-Cercle,6,
Grand-Orient,6,
salie!.,7,
Italie,7,
Italiens,7,
Sitôt,7,
lit n’,7,
Hospitalier,7,
Italien,7,
l'Italie,7,
"RÊVE 229

D",8,
RÊVE,8,
boulevard Montparnasse,9,
Montparnasse,9,
D,9,
m’,9,
théâtre Montparnasse,9,
voyais,10,
Palais-Royal,10,
Palais-Mazarin,10,
Kalatçala,10,
théâtre de Paris Quant,11,
théâtre de Paris,11,
bourrée,12,
—- Bonjour,12,
Tribou,12,
Luxembourg,12,
beurrées,12,
guide-ballon n’,13,
Papillon,13,
PAPILLON,13,
"PAPILLON

Je crois bien!",13,
"PAPILLON

C’",13,
Grillon,13,
Cap,13,
cimetière des Papillons,13,
"PAPILLON
Chut",13,
"PAPILLON

Est",13,
"PAPILLON S
Ah!",13,
Anastasie,14,
mastoïdes,14,
Lakçamana,14,
Gymnase,14,
Rà,14,
Anastagille,14,
Rue des Dames,15,
rue des Dames,15,
"Ù
Ê",15,
DAME,15,
Dame,15,
A TRUE,15,
rue de Lille,15,
victoria de la dame,15,
lapromenade,16,
Rome,16,
Rogé,16,
trompe-la-mort,16,
Promettez,16,
porte Zéperons,17,
ronfla,17,
Emporte,17,
C’,17,
Zéperons,17,
Désir-de-plaire,18,
Prairie,18,
la Prairie,18,
Araignée,18,
le Midi,19,
Midi,19,
Î,20,
"CHOSE

RSS RER E SR R",20,
RSR R RER,20,
dr rs,20,
SRE,20,
"FETE

AE",21,
AE,21,
Fe,21,
Saint-Théophile,22,
église Saint-Pierre,22,
Saint-,22,
Saint-Esprit,22,
Saint-Nizier,22,
Saint-Pétesbourg,22,
Saint-Pierre,22,
rue Saint-Benoît,22,
Saint-Emilion,22,
Saint-Cloud,22,
Frinc,23,
Port-au-Prince,23,
principal,23,
principal n’,23,
Dsnemeete- Di,24,
EE,24,
mitra,25,
Raspail,25,
Travaille,25,
Hacqueville,25,
As-tu bien travaillé,25,
"Toloco-
totignan",26,
Tolocototignan,26,
tolocototignan,26,
Toto do do dd,26,
Toloco-,26,
d’,26,
oo ot oo todo,26,
È,26,
LA BÊTE A BON DIEU,27,
"Ps

A ii

D",27,
"LA BÊTE A BON DIEU

Quoi donc ?

LE PAPILLON",27,
LA BÊTE À BON DIEU,27,
LA BÊTE A BON,27,
Perroquet,28,
"PIERROTTE 145

oo",28,
"Pierrotte!

Pierrotte",28,
Pierrotte,28,
"BABAROTTES 17

LS",28,
"Pierrotte…
Est",28,
Pierrotte s’,28,
Mile Pierrotte,28,
Mie Pierrotte,28,
Enr,29,
Men,29,
ben,29,
Pme,29,
Bohême,29,
Confusément,29,
Attention,30,
Attends,30,
Religion,30,
Éttenez,30,
mans,31,
"mer

 

 

 

 

LE ROMAN DE",31,
"mer

 

 

 

 

LE ROMAN",31,
Voilà,32,
ILE,32,
MIle,32,
Æ,32,
lilas,32,
80 LE,32,
soleil,32,
pyramide d'Egypte,33,
Egypte,33,
Lo,34,
fort Loyasse,34,
Embrasse,34,
Loyasse,34,
m'’asseoir,34,
soufHe,35,
Pérou,35,
Soubeyrol,35,
Souwaroff,35,
Sd,36,
LL LL Sd,36,
"ENLÈVEMENT 217

w / ae SI LL Sd",36,
LL LPS,36,
critérium!.,37,
Rio,37,
Écris,37,
Nécro-,37,
Cristaux,37,
m'’écrivaient,37,
Chauve-Souris,37,
Crusoé,37,
Barbette… Allons!,38,
Barbette,38,
cette Bastille,38,
Barbette!.,38,
s’entr’,39,
m'’entraînant,39,
Lx,39,
s’,39,
Chardon,40,
Parthénon,40,
Pardon,40,
Courage,41,
Agen,41,
wagon,41,
vages,41,
Rhône,42,
le Rhône,42,
Le Rhône,42,
Lombards,43,
Colombine,43,
Combien,43,
Eyssette,44,
Ë,44,
Musette,44,
Mne Evyssette,44,
aimais,45,
J',45,
J'aimais,45,
"RUE
— J'ai",45,
"CRISTAUX
Ancienne Maison Lalouette

|
|
|",46,
Ebloui,46,
Fouette,46,
Lalouette,46,
goutte,46,
Rana-Valo,46,
"vieux
Lalouette",46,
Odéon,47,
Montez,47,
"-

Moi",47,
Mont-,47,
mont-de-piété,47,
Lyon,47,
Montmartre,47,
Montélimart,47,
honte!.,47,
LS L,48,
LS,48,
LT LS,48,
Petit Chose,49,
"CHOSE

Tr

 

 

 

tot",49,
Chose,49,
Holà,49,
Pilois,50,
kss!.,50,
Pilois!.,50,
Pilouitt!.,50,
S,50,
mois!.,50,
m'’effraya,51,
m'’invitait,51,
m'’introduire,51,
m'’inspiraient,51,
n'’irai,51,
Beaucaire,52,
Sceaux,52,
Pruneaux,52,
Faust,52,
bordeaux,52,
Beaux,52,
BE,52,
Ménalque,53,
Quels,53,
Laquelle,53,
Bouzanquet,53,
Quelque,53,
Quelquefois,53,
Jacques,53,
Rime,54,
Aïmez,54,
t’,54,
estimez,54,
ST St,54,
Quartier-Latin,55,
Quartier Latin,55,
Lamartine d’Elvire,55,
"Quartier
Latin",55,
Quartier-,55,
Moustier,55,
"Quartier
Latin!",55,
Latin,55,
Ê,56,
"Bati-
gnolles",56,
Batignolles,56,
"Coucou-
Blanc",57,
Écoutez,57,
Micou,57,
Mile Coucou-Blanc,57,
"CAOUTCHOUCS III

rs",57,
Coucou-,57,
COUCOU-BLANC,57,
Blanc,57,
Annou,57,
Coucou,57,
Coucou-Blanc,57,
Coucou-Blanc!.,57,
Boucoyran,57,
"TES

Sd",58,
"Tes

l’air",58,
Carmélites,58,
bte,58,
Tes,58,
