text,cluster,cluster_corrected
Hasard,0,
bard6,0,
gard,0,
Leonarde,0,
Gothard,0,
Europe,1,
meurtrirs,1,
rope,1,
Europeen,1,
Sije,1,
l'Europe,1,
sinau aesnior,2,
--Gina,2,
e,3,
vecu,3,
In,3,
ambilieux,4,
Humilie,4,
Emilio,4,
familiarite,4,
rantiras,5,
iran,5,
dranaes,5,
Irappent,5,
Irancs,5,
Girar-,5,
lupin,5,
R MIcuB,6,
Dicu,6,
youee,7,
jouee,7,
Bnfin,7,
pelsoue,7,
lazr,7,
mouel Y,7,
iois,8,
iois aoi,8,
"a3
.:;,:,,,,,.:A",8,
Ioi,8,
pn,8,
Bois,8,
Cle,9,
moustacles,9,
SIBCLE,9,
L SIkcLE,9,
fe,9,
sv onnuyes,10,
baronno,10,
Barque,10,
varon,10,
chnaroneourt,10,
evue de 'Est,11,
oup de deux heu-,11,
toile de Ilollandel,11,
manege de la vie,11,
tieux de la literature,11,
baie de Nuples,11,
Ia tte de san,11,
rohe de chambre de merinos,11,
riolece de lorag,11,
rue de Ne-,11,
venez  lhotel de Rupl,11,
--Je,12,
Saiut-Jean,12,
Accpt,12,
abbe,12,
S,13,
monie,13,
lironie,13,
Moniteur,13,
z:::t,13,
Monvel,13,
I,13,
Sidonie,13,
adiu,14,
Frangais,14,
midi-Frangaise,14,
Grancey,15,
abbe de Grancey,15,
monsicur do Grancey,15,
Granceyt,15,
Grance,15,
Nancey,15,
Ruhens,16,
renseignemens,16,
condimens,16,
serpens,16,
"pensa-t-
- Poterol",16,
ensoe,16,
torrens,16,
largens,16,
metaphysiciens,16,
momens,16,
niens,16,
Per-,17,
Perugin,17,
Perou,17,
Pere-La-],17,
echanper,17,
legain,18,
Lekain,18,
aGaiGrGGi,18,
Argaiolo,18,
legr,18,
Cerci,19,
ceRtes-,19,
cerclo,19,
Cercle,19,
Suisses,20,
Suisse,20,
jouissailt,20,
suii,20,
Belgique,21,
poliuique,21,
de Belgique,21,
Na-,21,
Belgirate,21,
Belzebulh,21,
le Corso,22,
Corso,22,
.'f,22,
trsos,22,
daecord,22,
I',22,
Ioeux,23,
Hleuxe-,23,
ne-,23,
Lu-,23,
sugca,23,
deuxinterlo--,23,
Bayeux,23,
Nerlve,24,
ner,24,
lix,25,
Irable,25,
Irable chaleur,25,
meie esimable,25,
diableI,25,
vued',26,
4 L,26,
Revue,26,
auteuil,27,
luil,27,
vsoyaut,27,
teut,27,
Il-,27,
sln',27,
"au-
Iontes",28,
cliont,28,
Tes,28,
scne,28,
y-,28,
bau-,28,
luiont,28,
gte-saues erontes,28,
cbamhre,29,
enfant.-,29,
renoncant,29,
Fantaisie,29,
Nantua,29,
Brabant,29,
sausaiianta,29,
io,30,
E,30,
"G1:::,%",30,
N1,30,
acsa,30,
Pais,31,
Paia,31,
Ro-,31,
Pailez,31,
Si-,31,
ahbe,31,
La Paia,31,
tiennes7,32,
N1ai,32,
Quotidienne,32,
Etienne,32,
Sicilienne,32,
vienne,32,
Tiens,32,
liennes,32,
comedienne,32,
Vienne,32,
Gymnase,33,
asese,33,
braset lamena,33,
lac des Quatre-Cantons,34,
lac de ] ture,34,
lac des Quatre-Cantonsa,34,
Quatre-Can-,34,
porte du boudoir,35,
rue du Perron,35,
rue asseu-Rempart,35,
rue du Rocher,35,
IL,35,
